disease_name,disease_name_clean,vector_species,vector_species_clean,vector_group,vector_group_clean,best_evidence_level,best_evidence_basis,record_sources,source_count,supporting_row_count,locations_summary,sources_summary,notes_summary,has_lit_review,has_efsa,vector_species_rule_cleaned,taxonomy_cleanup_method,vector_species_original,vector_species_taxonomy_cleaned,vector_taxon_rank,review_needed,review_note,vector_join_key
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus (Boophilus) annulatus,rhipicephalus boophilus annulatus,tick,tick,candidate,review,lit_review,1,1,,Celina et al. 2025,potential vector,TRUE,FALSE,rhipicephalus boophilus annulatus,no_change,Rhipicephalus (Boophilus) annulatus,rhipicephalus boophilus annulatus,infraspecific,FALSE,,rhipicephalus boophilus annulatus
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus (Boophilus) decoloratus,rhipicephalus boophilus decoloratus,tick,tick,candidate,review,lit_review,1,1,,Celina et al. 2025,potential vector,TRUE,FALSE,rhipicephalus boophilus decoloratus,no_change,Rhipicephalus (Boophilus) decoloratus,rhipicephalus boophilus decoloratus,infraspecific,FALSE,,rhipicephalus boophilus decoloratus
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus evertsi evertsi,rhipicephalus evertsi evertsi,tick,tick,candidate,review,lit_review,1,2,Mauritania,Celina et al. 2025; Spengler et al. 2016,PCR only; potential vector,TRUE,FALSE,rhipicephalus evertsi evertsi,no_change,Rhipicephalus evertsi evertsi,rhipicephalus evertsi evertsi,infraspecific,FALSE,,rhipicephalus evertsi evertsi
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus pumilio,rhipicephalus pumilio,tick,tick,candidate,review,lit_review,1,1,,EFSA 2010,associated with CCHFV,TRUE,FALSE,rhipicephalus pumilio,no_change,Rhipicephalus pumilio,rhipicephalus pumilio,species,FALSE,,rhipicephalus pumilio
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Rhipicephalus spp.,rhipicephalus spp,tick,tick,candidate,review,lit_review,1,1,,Spengler et al. 2016,isolated from ticks,TRUE,FALSE,rhipicephalus spp,no_change,Rhipicephalus spp.,rhipicephalus spp,genus_only,FALSE,,rhipicephalus spp
Dengue,dengue,Aedes cretinus,aedes cretinus,mosquito,mosquito,candidate,review,lit_review,1,1,Greece and Turkey,Schaffner and Mathis 2014,potential vector,TRUE,FALSE,aedes cretinus,no_change,Aedes cretinus,aedes cretinus,species,FALSE,,aedes cretinus
Dengue,dengue,Aedes furcifer,aedes furcifer,mosquito,mosquito,confirmed,review,lit_review,1,1,Senegal,Althouse et al. 2012,main vector in Senegal,TRUE,FALSE,aedes furcifer,no_change,Aedes furcifer,aedes furcifer,species,FALSE,,aedes furcifer
Dengue,dengue,Aedes hensilli,aedes hensilli,mosquito,mosquito,weak,field+lab,lit_review,1,1,"Yap State, Federated States of Micronesia","(Ledermann et al., 2014)",low competence; debated,TRUE,FALSE,aedes hensilli,no_change,Aedes hensilli,aedes hensilli,species,FALSE,,aedes hensilli
Dengue,dengue,Aedes luteocephalus,aedes luteocephalus,mosquito,mosquito,confirmed,review,lit_review,1,1,Senegal,Althouse et al. 2012,main vector in Senegal,TRUE,FALSE,aedes luteocephalus,no_change,Aedes luteocephalus,aedes luteocephalus,species,FALSE,,aedes luteocephalus
Dengue,dengue,Aedes malayensis,aedes malayensis,mosquito,mosquito,confirmed,review,lit_review,1,2,Cambodia,Doeurk et al. 2024; Rakotonirina et al. 2022,potential vector; vector of DENV and CHIKV,TRUE,FALSE,aedes malayensis,no_change,Aedes malayensis,aedes malayensis,species,FALSE,,aedes malayensis
Dengue,dengue,Aedes niveus,aedes niveus,mosquito,mosquito,probable,review,lit_review,1,1,,Islam et al. 2021,secondary vector,TRUE,FALSE,aedes niveus,no_change,Aedes niveus,aedes niveus,species,FALSE,,aedes niveus
