Pathogen,Host_clean,Disease_name,HostTaxID,PathogenTaxID,PathogenGenus,PathogenFamily,PathogenOrder,PathogenClass,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,in_gibb_etal,in_empres_i,PHEIC risk,MainSource
Mammarenavirus lassaense,Mus musculus,Lassa fever,10090,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,Antibodies,FALSE,FALSE,detection_method=Antibodies,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Mastomys natalensis,Lassa fever,10112,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,Isolation/Observation,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Mastomys natalensis,Lassa fever,10112,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,Not specified,FALSE,FALSE,detection_method=Not specified,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Mastomys natalensis,Lassa fever,10112,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,PCR/Sequencing,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,praomys daltoni,Lassa fever,10113,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,NA,NA,NA,NA,Antibodies,FALSE,FALSE,detection_method=Antibodies,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Rattus norvegicus,Lassa fever,10116,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,Antibodies,FALSE,FALSE,detection_method=Antibodies,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Rattus norvegicus,Lassa fever,10116,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,PCR/Sequencing,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Rattus rattus,Lassa fever,10117,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,Antibodies,FALSE,FALSE,detection_method=Antibodies,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Rattus rattus,Lassa fever,10117,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,PCR/Sequencing,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Cavia porcellus,Lassa fever,10141,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,CAVIIDAE,RODENTIA,PCR/Sequencing,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,rattus exulans,Lassa fever,34854,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,NA,NA,NA,NA,Antibodies,FALSE,FALSE,detection_method=Antibodies,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Mastomys erythroleucus,Lassa fever,41268,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,Isolation/Observation,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Mastomys erythroleucus,Lassa fever,41268,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,PCR/Sequencing,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Arvicanthis niloticus,Lassa fever,61156,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,Antibodies,FALSE,FALSE,detection_method=Antibodies,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Mastomys,Lassa fever,70830,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Lophuromys sikapusi,Lassa fever,83535,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,PCR/Sequencing,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Mastomys huberti,Lassa fever,121569,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,Isolation/Observation,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Bandicota indica,Lassa fever,456472,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,Antibodies,FALSE,FALSE,detection_method=Antibodies,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,bandicota savilei,Lassa fever,456473,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,NA,NA,NA,NA,Antibodies,FALSE,FALSE,detection_method=Antibodies,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,praomys rostratus,Lassa fever,476587,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,NA,NA,NA,NA,Antibodies,FALSE,FALSE,detection_method=Antibodies,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Mus baoulei,Lassa fever,544437,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,PCR/Sequencing,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus lassaense,Hylomyscus pamfi,Lassa fever,913014,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,CHORDATA,MAMMALIA,MURIDAE,RODENTIA,PCR/Sequencing,TRUE,TRUE,NA,TRUE,FALSE,High,VIRION
Mammarenavirus lujoense,Homo sapiens,Lujo hemorrhagic fever,9606,3052314,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,NA,NA,NA,NA,Isolation/Observation,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
Mammarenavirus lujoense,Homo sapiens,Lujo hemorrhagic fever,9606,3052314,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
Orthobornavirus bornaense,Anas platyrhynchos,Borna disease (encephalitis),8839,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,AVES,ANATIDAE,ANSERIFORMES,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Erinaceus europaeus,Borna disease (encephalitis),9365,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,ERINACEIDAE,EULIPOTYPHLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Macaca fuscata,Borna disease (encephalitis),9542,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,CERCOPITHECIDAE,PRIMATES,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Homo sapiens,Borna disease (encephalitis),9606,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Canis lupus,Borna disease (encephalitis),9615,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,CANIDAE,CARNIVORA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Vulpes vulpes,Borna disease (encephalitis),9627,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,CANIDAE,CARNIVORA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Procyon lotor,Borna disease (encephalitis),9654,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,PROCYONIDAE,CARNIVORA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Felis catus,Borna disease (encephalitis),9685,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,FELIDAE,CARNIVORA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Equus asinus,Borna disease (encephalitis),9793,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,EQUIDAE,PERISSODACTYLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Equus caballus,Borna disease (encephalitis),9796,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,EQUIDAE,PERISSODACTYLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Lama glama,Borna disease (encephalitis),9844,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Bos taurus,Borna disease (encephalitis),9913,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Ovis aries,Borna disease (encephalitis),9940,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,BOVIDAE,ARTIODACTYLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Oryctolagus cuniculus,Borna disease (encephalitis),9986,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,LEPORIDAE,LAGOMORPHA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
