Pathogen_raw,PathogenTaxID,Disease_name_raw,Pathogen_canonical,Disease_name_canonical,canonicalization_status,Family_canonical,PHEIC_risk_canonical,previous_name_canonical,msl39_viral_name_canonical,is_zoonotic,zoonotic_status
Alphavirus chikungunya,37124,Chikungunya fever,Alphavirus chikungunya,Chikungunya fever,identity,Togaviridae,High,Chikungunya virus,Alphavirus chikungunya,TRUE,zoonotic
Enterovirus c,138950,Poliomyelitis,Enterovirus coxsackiepol,Poliomyelitis,manual_synonym_map,Picornaviridae,Medium,Polio virus,Enterovirus coxsackiepol,FALSE,not_zoonotic_or_out_of_scope
Enterovirus coxsackiepol,138950,Poliomyelitis,Enterovirus coxsackiepol,Poliomyelitis,identity,Picornaviridae,Medium,Polio virus,Enterovirus coxsackiepol,FALSE,not_zoonotic_or_out_of_scope
Enterovirus coxsackiepol,3428505,Poliomyelitis,Enterovirus coxsackiepol,Poliomyelitis,identity,Picornaviridae,Medium,Polio virus,Enterovirus coxsackiepol,FALSE,not_zoonotic_or_out_of_scope
Enterovirus alphacoxsackie,138948,Hand foot and mouth disease,Enterovirus alphacoxsackie 71,Hand foot and mouth disease,manual_synonym_map,Picornaviridae,Medium,Enterovirus A71 (EV-A71),Enterovirus alphacoxsackie 71,FALSE,not_zoonotic_or_out_of_scope
Enterovirus a,138948,,Enterovirus alphacoxsackie 71,Hand foot and mouth disease,manual_synonym_map,Picornaviridae,Medium,Enterovirus A71 (EV-A71),Enterovirus alphacoxsackie 71,FALSE,not_zoonotic_or_out_of_scope
Enterovirus deconjuncti,138951,Enterovirus D68 respiratory disease,Enterovirus deconjucti 68,Enterovirus D68 respiratory disease,manual_synonym_map,Picornaviridae,Medium,Enterovirus D68 (EV-D68),Enterovirus deconjucti 68,FALSE,not_zoonotic_or_out_of_scope
Lentivirus humimdef1,11676,HIV infection / AIDS,Lentivirus humimdef1,HIV infection / AIDS,identity,Retroviridae,Medium,Human immunodeficiency virus 1 (HIV-1),Lentivirus humimdef1,FALSE,not_zoonotic_or_out_of_scope
Lentivirus humimdef1,3418650,HIV infection / AIDS,Lentivirus humimdef1,HIV infection / AIDS,identity,Retroviridae,Medium,Human immunodeficiency virus 1 (HIV-1),Lentivirus humimdef1,FALSE,not_zoonotic_or_out_of_scope
Metapneumovirus hominis,162145,Human metapneumovirus infection,Metapneumovirus hominis,Human metapneumovirus infection,identity,Pneumoviridae,Low-Medium,Human metapneumovirus,Metapneumovirus hominis,FALSE,not_zoonotic_or_out_of_scope
Metapneumovirus hominis,3048148,Human metapneumovirus infection,Metapneumovirus hominis,Human metapneumovirus infection,identity,Pneumoviridae,Low-Medium,Human metapneumovirus,Metapneumovirus hominis,FALSE,not_zoonotic_or_out_of_scope
Mamastrovirus virginiaense,1239573,Astrovirus gastroenteritis,Mamastrovirus virginiaense,Astrovirus gastroenteritis,identity,Astroviridae,Low,Mamastrovirus 9,Mamastrovirus virginiaense,FALSE,not_zoonotic_or_out_of_scope
Mamastrovirus 9,1239573,Astrovirus gastroenteritis,Mamastrovirus virginiaense,Astrovirus gastroenteritis,who_alias_match,Astroviridae,Low,Mamastrovirus 9,Mamastrovirus virginiaense,FALSE,not_zoonotic_or_out_of_scope
Mamastrovirus virginiaense,3430641,Astrovirus gastroenteritis,Mamastrovirus virginiaense,Astrovirus gastroenteritis,identity,Astroviridae,Low,Mamastrovirus 9,Mamastrovirus virginiaense,FALSE,not_zoonotic_or_out_of_scope
Paslahepevirus balayani,1678143,Hepatitis E,Paslahepevirus balayani genotype 3,Hepatitis E,who_alias_match,Hepeviridae,Low,Hepatitis E virus,Paslahepevirus balayani,TRUE,zoonotic
Protoparvovirus carnivoran1,3052707,No known human disease,Protoparvovirus carnivoran,No known human disease,manual_group_map,Parvoviridae,Low,Carnivore protoparvoviruses,Protoparvovirus carnivoran,FALSE,not_zoonotic_or_out_of_scope
Protoparvovirus carnivoran3,3052709,No known human disease,Protoparvovirus carnivoran,No known human disease,manual_group_map,Parvoviridae,Low,Carnivore protoparvoviruses,Protoparvovirus carnivoran,FALSE,not_zoonotic_or_out_of_scope
Protoparvovirus carnivoran4,3052710,No known human disease,Protoparvovirus carnivoran,No known human disease,manual_group_map,Parvoviridae,Low,Carnivore protoparvoviruses,Protoparvovirus carnivoran,FALSE,not_zoonotic_or_out_of_scope
Protoparvovirus carnivoran5,2880839,No known human disease,Protoparvovirus carnivoran,No known human disease,manual_group_map,Parvoviridae,Low,Carnivore protoparvoviruses,Protoparvovirus carnivoran,FALSE,not_zoonotic_or_out_of_scope
Protoparvovirus carnivoran5,3060656,No known human disease,Protoparvovirus carnivoran,No known human disease,manual_group_map,Parvoviridae,Low,Carnivore protoparvoviruses,Protoparvovirus carnivoran,FALSE,not_zoonotic_or_out_of_scope
Orthopicobirnavirus hominis,145856,Picobirnavirus gastroenteritis,Orthopicobirnavirus hominis,Picobirnavirus gastroenteritis,identity,Picobirnaviridae,Low,Human picobirnavirus,Orthopicobirnavirus hominis,FALSE,not_zoonotic_or_out_of_scope
Orthopicobirnavirus hominis,2956252,Picobirnavirus gastroenteritis,Orthopicobirnavirus hominis,Picobirnavirus gastroenteritis,identity,Picobirnaviridae,Low,Human picobirnavirus,Orthopicobirnavirus hominis,FALSE,not_zoonotic_or_out_of_scope
Orthoreovirus mammalis,3422298,Reovirus infection (usually mild),Orthoreovirus mammalis,Reovirus infection (usually mild),identity,Spinareoviridae,Low,Mammalian orthoreovirus,Orthoreovirus mammalis,TRUE,zoonotic
Orthoreovirus mammalis,351073,Reovirus infection (usually mild),Orthoreovirus mammalis,Reovirus infection (usually mild),identity,Spinareoviridae,Low,Mammalian orthoreovirus,Orthoreovirus mammalis,TRUE,zoonotic
Mammarenavirus juninense,2169991,Argentine hemorrhagic fever,Mammarenavirus juninense,Argentine hemorrhagic fever,identity,Arenaviridae,High,Junin virus,Mammarenavirus juninense,TRUE,zoonotic
Orthoflavivirus encephalitidis,11084,Tick-borne encephalitis,Orthoflavivirus encephalitidis,Tick-borne encephalitis,identity,Flaviviridae,High,Tick-borne encephalitis virus,Orthoflavivirus encephalitidis,TRUE,zoonotic
Orthoflavivirus encephalitidis,3052465,Tick-borne encephalitis,Orthoflavivirus encephalitidis,Tick-borne encephalitis,identity,Flaviviridae,High,Tick-borne encephalitis virus,Orthoflavivirus encephalitidis,TRUE,zoonotic
Orthohantavirus sinnombreense,3052499,Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome,identity,Hantaviridae,High,Sinnombre virus,Orthohantavirus sinnombreense,TRUE,zoonotic
Orthohantavirus sinnombreense,44755,Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome,identity,Hantaviridae,High,Sinnombre virus,Orthohantavirus sinnombreense,TRUE,zoonotic
Orthopoxvirus vaccinia,10245,Vaccinia (vaccinia virus infection),Orthopoxvirus vaccinia,Vaccinia (vaccinia virus infection),identity,Poxviridae,High,Vaccinia virus,Orthopoxvirus vaccinia,FALSE,not_zoonotic_or_out_of_scope
Venezuelan equine encephalitis virus,11036,Venezuelan equine encephalitis,Alphavirus venezuelan,Venezuelan equine encephalitis,who_alias_match,Togaviridae,High,Venezuelan equine encephalitis virus,Alphavirus venezuelan,TRUE,zoonotic
Mastadenovirus blackbeardi,108098,Adenovirus acute respiratory disease,Mastadenovirus blackbeardi serotype 14,Adenovirus acute respiratory disease,who_alias_match,Adenoviridae,Low-Medium,Adenovirus B,Mastadenovirus blackbeardi,FALSE,not_zoonotic_or_out_of_scope
Mastadenovirus blackbeardi,3241406,Adenovirus acute respiratory disease,Mastadenovirus blackbeardi serotype 14,Adenovirus acute respiratory disease,who_alias_match,Adenoviridae,Low-Medium,Adenovirus B,Mastadenovirus blackbeardi,FALSE,not_zoonotic_or_out_of_scope
Orthobunyavirus oropoucheense,3052429,Oropouche fever,Orthobunyavirus oropoucheense,Oropouche fever,identity,Peribunyaviridae,Low,Oropouche virus,Orthobunyavirus oropoucheense,TRUE,zoonotic
Orthohantavirus hantanense,286540,Hemorrhagic fever with renal syndrome (Hantaan virus),Orthohantavirus hantanense,Hemorrhagic fever with renal syndrome (Hantaan virus),identity,Hantaviridae,High,Hantaan orthohantavirus,Orthohantavirus hantanense,TRUE,zoonotic
Orthohantavirus hantanense,3052480,Hemorrhagic fever with renal syndrome (Hantaan virus),Orthohantavirus hantanense,Hemorrhagic fever with renal syndrome (Hantaan virus),identity,Hantaviridae,High,Hantaan orthohantavirus,Orthohantavirus hantanense,TRUE,zoonotic
Orthohantavirus hantanense,86782,Hemorrhagic fever with renal syndrome (Hantaan virus),Orthohantavirus hantanense,Hemorrhagic fever with renal syndrome (Hantaan virus),identity,Hantaviridae,High,Hantaan orthohantavirus,Orthohantavirus hantanense,TRUE,zoonotic
Orthobornavirus bornaense,1714619,Borna disease (encephalitis),Orthobornavirus bornaense,Borna disease (encephalitis),identity,Bornaviridae,Low,Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,TRUE,zoonotic
Betacoronavirus cameli,1335626,,Subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),manual_synonym_map,Coronaviridae,High,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,TRUE,zoonotic
Betacoronavirus cameli,3433633,,Subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),manual_synonym_map,Coronaviridae,High,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,TRUE,zoonotic
Henipavirus nipahense,3052225,Nipah virus disease,Henipavirus nipahense,Nipah virus disease,identity,Paramyxoviridae,High,Nipah virus,Henipavirus nipahense,TRUE,zoonotic
Bandavirus dabieense,1933190,Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Severe fever with thrombocytopenia syndrome (SFTS),identity,Phenuiviridae,High,SFTS virus,Bandavirus dabieense,TRUE,zoonotic
Bandavirus dabieense,2748958,Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Severe fever with thrombocytopenia syndrome (SFTS),identity,Phenuiviridae,High,SFTS virus,Bandavirus dabieense,TRUE,zoonotic
Orthohepadnavirus hominoidei,10407,,Orthohepadnavirus hominoidei,,identity,Hepadnaviridae,Low,,,FALSE,not_zoonotic_or_out_of_scope
Orthohepadnavirus hominoidei,3431302,,Orthohepadnavirus hominoidei,,identity,Hepadnaviridae,Low,,,FALSE,not_zoonotic_or_out_of_scope
Human poliovirus,40278,Poliomyelitis,Enterovirus coxsackiepol,Poliomyelitis,manual_synonym_map,Picornaviridae,Medium,Polio virus,Enterovirus coxsackiepol,FALSE,not_zoonotic_or_out_of_scope
