Disease_name,output_path,mapped_countries
Kyasanur Forest disease,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Kyasanur_Forest_disease.png,4
La Crosse encephalitis,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/La_Crosse_encephalitis.png,1
Lassa fever,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Lassa_fever.png,11
Leishmania aethiopica,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Leishmania_aethiopica.png,3
Lujo hemorrhagic fever,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Lujo_hemorrhagic_fever.png,3
Lumpy skin disease,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Lumpy_skin_disease.png,57
Machupo,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Machupo.png,3
Marburg virus disease,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Marburg_virus_disease.png,16
Mayaro,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Mayaro.png,9
Menangle,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Menangle.png,1
Mpox (Monkeypox),/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Mpox_Monkeypox.png,59
Murine typhus,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Murine_typhus.png,20
