Host,HostTaxID,correct_name,type,taxon_level,Genus,Family,Order,Class,Phylum,host_species,Spp_syn,IUCN_spp,Or_name,IUCN_Present,IUCN_id,IUCN_name,IUCN_latest,IUCN_date,IUCN_Category,IUCN_N_syn,IUCN_syn,IUCN_status,IUCN_Phylum,IUCN_Class,IUCN_Order,IUCN_Family,ITIS_Present,ITIS_is_valid,ITIS_id,ITIS_name,ITIS_Phylum,ITIS_N_syn,ITIS_syn,ITIS_Class,ITIS_Order,ITIS_Family,ITIS_species_in_genus,GBIF_Present,GBIF_id,GBIF_name,GBIF_N_syn,GBIF_syn,GBIF_Phylum,GBIF_Status,GBIF_Class,GBIF_Order,GBIF_Family
Dermanura phaeotis,40229,Dermanura phaeotis,host,species,Dermanura,PHYLLOSTOMIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Dermanura phaeotis,,Dermanura phaeotis,Dermanura phaeotis,Yes,83683287,Dermanura phaeotis,TRUE,2015,LC,1,Artibeus phaeotis,ACCEPTED,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Yes,valid,947072,Artibeus phaeotis phaeotis,CHORDATA,2,Dermanura phaeotis;Artibeus turpis,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,,Yes,8263789,Artibeus phaeotis,1,Artibeus phaeotis,,ACCEPTED,,,
Desmodus rotundus,9430,Desmodus rotundus,host,species,Desmodus,PHYLLOSTOMIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Desmodus rotundus,Desmodus rotundus; Phyllostoma rotundum,Desmodus rotundus,Desmodus rotundus,Yes,6510,Desmodus rotundus,TRUE,2015,LC,,,,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Yes,valid,631886,Desmodus rotundus,CHORDATA,1,Phyllostoma rotundum,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,,Yes,2433298,Desmodus rotundus,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE
Didelphis marsupialis,9268,Didelphis marsupialis,host,species,Didelphis,DIDELPHIDAE,DIDELPHIMORPHIA,MAMMALIA,CHORDATA,Didelphis marsupialis,Didelphis marsupialis,Didelphis marsupialis,Didelphis marsupialis,Yes,40501,Didelphis marsupialis,TRUE,2021,LC,,,,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Yes,valid,552536,Didelphis marsupialis,CHORDATA,0,,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,,Yes,2439920,Didelphis marsupialis,,,CHORDATA,ACCEPTED,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE
Didelphis virginiana,9267,Didelphis virginiana,host,species,Didelphis,DIDELPHIDAE,DIDELPHIMORPHIA,MAMMALIA,CHORDATA,Didelphis virginiana,Didelphis virginiana,Didelphis virginiana,Didelphis virginiana,Yes,40502,Didelphis virginiana,TRUE,2016,LC,,,,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Yes,valid,179921,Didelphis virginiana,CHORDATA,,,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,,Yes,2439923,Didelphis virginiana,,,CHORDATA,ACCEPTED,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE
Dromaius novaehollandiae,8790,Dromaius novaehollandiae,host,species,Dromaius,CASUARIIDAE,STRUTHIONIFORMES,AVES,CHORDATA,Dromaius novaehollandiae,Dromaius novaehollandiae; Dromaius ater; Dromaius diemenensis; Dromaius minor; Dromaius baudinianus,Dromaius novaehollandiae,Dromaius novaehollandiae,Yes,22678117,Dromaius novaehollandiae,TRUE,2018,LC,,,,CHORDATA,AVES,STRUTHIONIFORMES,CASUARIIDAE,Yes,valid,174385,Dromaius novaehollandiae,CHORDATA,4,Dromaius ater;Dromaius diemenensis;Dromaius minor;Dromaius baudinianus,AVES,CASUARIIFORMES,DROMAIIDAE,,Yes,2495134,Dromaius novaehollandiae,,,CHORDATA,ACCEPTED,AVES,CASUARIIFORMES,DROMAIIDAE
Drymotoxeres pucheranii,761979,Drymotoxeres pucheranii,host,species,Drymotoxeres,FURNARIIDAE,PASSERIFORMES,AVES,CHORDATA,Drymotoxeres pucheranii,,Drymotoxeres pucheranii,Drymotoxeres pucheranii,Yes,22703177,Drymotoxeres pucheranii,TRUE,2023,LC,4,Campylorhamphus pucherani;Campylorhamphus pucherani;Campylorhamphus pucherani;Drymotoxeres pucherani,ACCEPTED;ACCEPTED;ACCEPTED;ACCEPTED,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Yes,valid,1266512,Drymotoxeres pucheranii,CHORDATA,3,Campylorhamphus pucherani;Campylorhamphus pucheranii;Xyphorhynchus pucheranii,AVES,PASSERIFORMES,FURNARIIDAE,,Yes,6085997,Drymotoxeres pucheranii,1,Campylorhamphus pucheranii,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,FURNARIIDAE
Egretta caerulea,110682,Egretta caerulea,host,species,Egretta,ARDEIDAE,PELECANIFORMES,AVES,CHORDATA,Egretta caerulea,,Egretta caerulea,Egretta caerulea,Yes,22696944,Egretta caerulea,TRUE,2017,LC,0,,ACCEPTED,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Yes,valid,174827,Egretta caerulea,CHORDATA,2,Florida caerulea;Ardea caerulea,AVES,PELECANIFORMES,ARDEIDAE,,Yes,2480894,Egretta caerulea,1,Ehretia obtusifolia,CHORDATA,ACCEPTED,AVES,PELECANIFORMES,ARDEIDAE
Egretta garzetta,188379,Egretta garzetta,host,species,Egretta,ARDEIDAE,PELECANIFORMES,AVES,CHORDATA,Egretta garzetta,Egretta garzetta; Ardea garzetta; Ardea nigripes; Herodias immaculata,Egretta garzetta,Egretta garzetta,Yes,62774969,Egretta garzetta,TRUE,2021; 2016,LC,,,,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Yes,valid,174816,Egretta garzetta,CHORDATA,3,Ardea garzetta;Ardea nigripes;Herodias immaculata,AVES,PELECANIFORMES,ARDEIDAE,,Yes,2480876,Egretta garzetta,,,CHORDATA,ACCEPTED,AVES,PELECANIFORMES,ARDEIDAE
Egretta thula,110681,Egretta thula,host,species,Egretta,ARDEIDAE,PELECANIFORMES,AVES,CHORDATA,Egretta thula,Egretta thula; Ardea thula,Egretta thula,Egretta thula,Yes,22696974,Egretta thula,TRUE,2016,LC,,,,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Yes,valid,174813,Egretta thula,CHORDATA,1,Ardea thula,AVES,PELECANIFORMES,ARDEIDAE,,Yes,2480873,Egretta thula,,,CHORDATA,ACCEPTED,AVES,PELECANIFORMES,ARDEIDAE
Eidolon helvum,77214,Eidolon helvum,host,species,Eidolon,PTEROPODIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Eidolon helvum,,Eidolon helvum,Eidolon helvum,Yes,7084,Eidolon helvum,TRUE,2020,NT,0,,ACCEPTED;ACCEPTED,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Yes,valid,631569,Eidolon helvum,CHORDATA,1,Pterocyon sabaeus,MAMMALIA,CHIROPTERA,PTEROPODIDAE,,Yes,2432851,Eidolon helvum,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,PTEROPODIDAE
Emberiza citrinella,37595,Emberiza citrinella,host,species,Emberiza,EMBERIZIDAE,PASSERIFORMES,AVES,CHORDATA,Emberiza citrinella,Emberiza citrinella; Emberiza erythrogenys,Emberiza citrinella,Emberiza citrinella,Yes,22720878,Emberiza citrinella,TRUE,2024; 2021,LC,,,,CHORDATA,AVES,PASSERIFORMES,EMBERIZIDAE,Yes,valid,179537,Emberiza citrinella,CHORDATA,1,Emberiza erythrogenys,AVES,PASSERIFORMES,EMBERIZIDAE,,Yes,2491534,Emberiza citrinella,,,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,EMBERIZIDAE
Emberiza spodocephala,125294,Emberiza spodocephala,host,species,Emberiza,EMBERIZIDAE,PASSERIFORMES,AVES,CHORDATA,Emberiza spodocephala,Emberiza spodocephala; Schoeniclus spodocephala; Emberiza sordida,Emberiza spodocephala,Emberiza spodocephala,Yes,103768039,Emberiza spodocephala,TRUE,2016,LC,,,,CHORDATA,AVES,PASSERIFORMES,EMBERIZIDAE,Yes,valid,559890,Emberiza spodocephala,CHORDATA,2,Schoeniclus spodocephala;Emberiza sordida,AVES,PASSERIFORMES,EMBERIZIDAE,,Yes,2491522,Emberiza spodocephala,,,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,EMBERIZIDAE
Empidonax alnorum,209618,Empidonax alnorum,host,species,Empidonax,TYRANNIDAE,PASSERIFORMES,AVES,CHORDATA,Empidonax alnorum,Empidonax alnorum; Vireo nanus,Empidonax alnorum,Empidonax alnorum,Yes,22699845,Empidonax alnorum,TRUE,2021,LC,,,,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Yes,valid,178340,Empidonax alnorum,CHORDATA,,,AVES,PASSERIFORMES,TYRANNIDAE,,Yes,2482809,Empidonax alnorum,1,Vireo nanus,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,TYRANNIDAE
Empidonax difficilis,183525,Empidonax difficilis,host,species,Empidonax,TYRANNIDAE,PASSERIFORMES,AVES,CHORDATA,Empidonax difficilis,Empidonax difficilis; Empidonax occidentalis,Empidonax difficilis,Empidonax difficilis,Yes,22699871,Empidonax difficilis,TRUE,2021,LC,,,,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Yes,valid,178348,Empidonax difficilis,CHORDATA,1,Empidonax occidentalis,AVES,PASSERIFORMES,TYRANNIDAE,,Yes,9568685,Empidonax difficilis,,,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,TYRANNIDAE
Enicognathus leptorhynchus,345190,Enicognathus leptorhynchus,host,species,Enicognathus,PSITTACIDAE,PSITTACIFORMES,AVES,CHORDATA,Enicognathus leptorhynchus,Enicognathus leptorhynchus; Psittacara leptorhyncha,Enicognathus leptorhynchus,Enicognathus leptorhynchus,Yes,22685891,Enicognathus leptorhynchus,TRUE,2022,LC,,,,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Yes,valid,177721,Enicognathus leptorhynchus,CHORDATA,1,Psittacara leptorhyncha,AVES,PSITTACIFORMES,PSITTACIDAE,,Yes,5229097,Enicognathus leptorhynchus,,,CHORDATA,ACCEPTED,AVES,PSITTACIFORMES,PSITTACIDAE
Eonycteris spelaea,58065,Eonycteris spelaea,host,species,Eonycteris,PTEROPODIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Eonycteris spelaea,,Eonycteris spelaea,Eonycteris spelaea,Yes,7787,Eonycteris spelaea,TRUE,2020,LC,2,Eonycteris bernsteini;Macroglossus spelaeus,New;New;New;New;New,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Yes,valid,631681,Eonycteris spelaea,CHORDATA,2,Macroglossus spelaeus;Callinycteris rosenbergii,MAMMALIA,CHIROPTERA,PTEROPODIDAE,,Yes,2432968,Eonycteris spelaea,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,PTEROPODIDAE
Epomophorus labiatus,903567,Epomophorus labiatus,host,species,Epomophorus,PTEROPODIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Epomophorus labiatus,,Epomophorus labiatus,Epomophorus labiatus,Yes,84457881,Epomophorus labiatus,TRUE,2016,LC,2,Epomophorus anurus;Pteropus labiatus,ACCEPTED;ACCEPTED,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Yes,valid,631573,Epomophorus labiatus,CHORDATA,1,Pteropus labiatus,MAMMALIA,CHIROPTERA,PTEROPODIDAE,,Yes,2432791,Epomophorus labiatus,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,PTEROPODIDAE
Epomophorus pusillus,2853157,Epomophorus pusillus,host,species,Epomophorus,PTEROPODIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Epomophorus pusillus,,Epomophorus pusillus,Epomophorus pusillus,Yes,13402,Epomophorus pusillus,TRUE,2020,LC,2,Micropteropus pusillus;Epomophorus pusillus,NEW;ACCEPTED,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Yes,valid,946866,Epomophorus pusillus,CHORDATA,1,Micropteropus pusillus,MAMMALIA,CHIROPTERA,PTEROPODIDAE,,Yes,7447191,Epomophorus pusillus,1,Epomophorus minor,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,PTEROPODIDAE
Epomops franqueti,77231,Epomops franqueti,host,species,Epomops,PTEROPODIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Epomops franqueti,,Epomops franqueti,Epomops franqueti,Yes,7909,Epomops franqueti,TRUE,2020,LC,1,Epomophorus franqueti,ACCEPTED,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Yes,valid,631578,Epomops franqueti,CHORDATA,1,Epomophorus franqueti,MAMMALIA,CHIROPTERA,PTEROPODIDAE,,Yes,2432802,Epomops franqueti,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,PTEROPODIDAE
Eptesicus fuscus,29078,Eptesicus fuscus,host,species,Eptesicus,VESPERTILIONIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Eptesicus fuscus,Eptesicus fuscus; Vespertilio fuscus; Vespertilio dutertreus; Eptesicus hispaniolae; Eptesicus lynni; Scotophilus miradorensis; Eptesicus pallidus; Eptesicus wetmorei,Eptesicus fuscus,Eptesicus fuscus,Yes,7928,Eptesicus fuscus,TRUE,2016,LC,,,,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Yes,valid,180008,Eptesicus fuscus,CHORDATA,7,Vespertilio fuscus;Vespertilio dutertreus;Eptesicus hispaniolae;Eptesicus lynni;Scotophilus miradorensis;Eptesicus pallidus;Eptesicus wetmorei,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,,Yes,2432352,Eptesicus fuscus,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE
Equus asinus,9793;582580,Equus asinus,host,species,Equus,EQUIDAE,PERISSODACTYLA,MAMMALIA,CHORDATA,Equus asinus,Equus asinus; Asinus vulgaris,Equus asinus,Equus asinus,Yes,203893,Equus asinus,,,,,,,CHORDATA,MAMMALIA,PERISSODACTYLA,EQUIDAE,Yes,valid,180690,Equus asinus,CHORDATA,1,Asinus vulgaris,MAMMALIA,PERISSODACTYLA,EQUIDAE,,Yes,2440891,Equus asinus,,,CHORDATA,ACCEPTED,MAMMALIA,PERISSODACTYLA,EQUIDAE
Equus caballus,9796,Equus caballus,host,species,Equus,EQUIDAE,PERISSODACTYLA,MAMMALIA,CHORDATA,Equus caballus,Equus caballus; Leiognathus equulus,Equus caballus,Equus caballus,Yes,203894,Equus caballus,,,,,,,CHORDATA,MAMMALIA,PERISSODACTYLA,EQUIDAE,Yes,valid,180691,Equus caballus,CHORDATA,0,,MAMMALIA,PERISSODACTYLA,EQUIDAE,,Yes,2440886,Equus caballus,1,Leiognathus equulus,CHORDATA,ACCEPTED,MAMMALIA,PERISSODACTYLA,EQUIDAE
Equus ferus,1114792,Equus ferus,host,species,Equus,EQUIDAE,PERISSODACTYLA,MAMMALIA,CHORDATA,Equus ferus,,Equus ferus,Equus ferus,Yes,41763,Equus ferus,TRUE,2015,EN,1,Equus przewalskii,S,CHORDATA,MAMMALIA,PERISSODACTYLA,EQUIDAE,Yes,valid,926143,Equus ferus,CHORDATA,2,Equus sylvestris;Equus gmelini,MAMMALIA,PERISSODACTYLA,EQUIDAE,,Yes,4409270,Equus ferus,1,Equus hemionus,CHORDATA,ACCEPTED,MAMMALIA,PERISSODACTYLA,EQUIDAE
Equus przewalskii,9798,Equus przewalskii,host,species,Equus,,,,,Equus przewalskii,Equus przewalskii,,Equus przewalskii,No,,,,,,,,,,,,,Yes,valid,926144,Equus przewalskii,CHORDATA,0,,MAMMALIA,PERISSODACTYLA,EQUIDAE,,Yes,5787169,Equus przewalskii,,,CHORDATA,ACCEPTED,MAMMALIA,PERISSODACTYLA,EQUIDAE
Equus sp.,46122,Equus,host,genus,Equus,,,,,Equus sp.,Equus,,Equus,No,,,,,,,,,,,,,Yes,valid,180689,Equus,CHORDATA,,,MAMMALIA,PERISSODACTYLA,EQUIDAE,,Yes,8652950,Equus,,,CHORDATA,,MAMMALIA,PERISSODACTYLA,EQUIDAE
Erinaceus amurensis,757341,Erinaceus amurensis,host,species,Erinaceus,ERINACEIDAE,EULIPOTYPHLA,MAMMALIA,CHORDATA,Erinaceus amurensis,Erinaceus amurensis; Erinaceus hanensis; Erinaceus tschifuensis; Erinaceus ussuriensis; Erinaceus chinensis; Erinaceus koreensis; Erinaceus orientalis; Erinaceus dealbatus; Erinaceus kreyenbergi; Erinaceus koreanus,Erinaceus amurensis,Erinaceus amurensis,Yes,40604,Erinaceus amurensis,TRUE,2016,LC,9,Erinaceus hanensis;Erinaceus tschifuensis;Erinaceus ussuriensis;Erinaceus chinensis;Erinaceus koreensis;Erinaceus orientalis;Erinaceus dealbatus;Erinaceus kreyenbergi;Erinaceus koreanus,New;New;New;New;New;New;New;New;New,CHORDATA,MAMMALIA,EULIPOTYPHLA,ERINACEIDAE,Yes,valid,633538,Erinaceus amurensis,CHORDATA,,,MAMMALIA,EULIPOTYPHLA,ERINACEIDAE,,Yes,5219617,Erinaceus amurensis,,,CHORDATA,ACCEPTED,MAMMALIA,ERINACEOMORPHA,ERINACEIDAE
Erinaceus europaeus,9365,Erinaceus europaeus,host,species,Erinaceus,ERINACEIDAE,EULIPOTYPHLA,MAMMALIA,CHORDATA,Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,Yes,29650,Erinaceus europaeus,TRUE,2024; 2010,NT; LC,,,,CHORDATA,MAMMALIA,EULIPOTYPHLA,ERINACEIDAE,Yes,valid,633540,Erinaceus europaeus,CHORDATA,,,MAMMALIA,EULIPOTYPHLA,ERINACEIDAE,,Yes,5219616,Erinaceus europaeus,,,CHORDATA,ACCEPTED,MAMMALIA,ERINACEOMORPHA,ERINACEIDAE
Erinaceus roumanicus,1052165,Erinaceus roumanicus,host,species,Erinaceus,ERINACEIDAE,EULIPOTYPHLA,MAMMALIA,CHORDATA,Erinaceus roumanicus,Erinaceus roumanicus,Erinaceus roumanicus,Erinaceus roumanicus,Yes,136344,Erinaceus roumanicus,TRUE,2024; 2021; 2010,LC,,,,CHORDATA,MAMMALIA,EULIPOTYPHLA,ERINACEIDAE,Yes,valid,709723,Erinaceus roumanicus,CHORDATA,,,MAMMALIA,EULIPOTYPHLA,ERINACEIDAE,,Yes,5219618,Erinaceus roumanicus,,,CHORDATA,ACCEPTED,MAMMALIA,ERINACEOMORPHA,ERINACEIDAE
Erythrocebus patas,9538,Erythrocebus patas,host,species,Erythrocebus,CERCOPITHECIDAE,PRIMATES,MAMMALIA,CHORDATA,Erythrocebus patas,,Erythrocebus patas,Erythrocebus patas,Yes,174391079,Erythrocebus patas,TRUE,2025,NT,1,Simia patas,ACCEPTED,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Yes,valid,573015,Erythrocebus patas,CHORDATA,10,Cercopithecus circumcinctus;Cercopithecus kerstingi;Erythrocebus langheldi;Simia rubra;Simia rufa;Erythrocebus whitei;Erythrocebus zechi;Simia patas;Erythrocebus formosus;Cercopithecus pyrrhonotus,MAMMALIA,PRIMATES,CERCOPITHECIDAE,,Yes,2436548,Erythrocebus patas,,,CHORDATA,ACCEPTED,MAMMALIA,PRIMATES,CERCOPITHECIDAE
Euphagus cyanocephalus,84817,Euphagus cyanocephalus,host,species,Euphagus,ICTERIDAE,PASSERIFORMES,AVES,CHORDATA,Euphagus cyanocephalus,Euphagus cyanocephalus; Psarocolius cyanocephalus,Euphagus cyanocephalus,Euphagus cyanocephalus,Yes,22724332,Euphagus cyanocephalus,TRUE,2016,LC,,,,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Yes,valid,179094,Euphagus cyanocephalus,CHORDATA,1,Psarocolius cyanocephalus,AVES,PASSERIFORMES,ICTERIDAE,,Yes,2484183,Euphagus cyanocephalus,,,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,ICTERIDAE
Eupodotis senegalensis,89385,Eupodotis senegalensis,host,species,Eupodotis,OTIDIDAE,OTIDIFORMES,AVES,CHORDATA,Eupodotis senegalensis,Eupodotis senegalensis; Otis senegalensis; Otis barrowii; Otis canicollis; Houbaropsis bengalensis,Eupodotis senegalensis,Eupodotis senegalensis,Yes,22691996,Eupodotis senegalensis,TRUE,2024,LC,,,,CHORDATA,AVES,OTIDIFORMES,OTIDIDAE,Yes,valid,176441,Eupodotis senegalensis,CHORDATA,3,Otis senegalensis;Otis barrowii;Otis canicollis,AVES,OTIDIFORMES,OTIDIDAE,,Yes,2474890,Eupodotis senegalensis,1,Houbaropsis bengalensis,CHORDATA,ACCEPTED,AVES,OTIDIFORMES,OTIDIDAE
Falco cherrug,345164,Falco cherrug,host,species,Falco,FALCONIDAE,FALCONIFORMES,AVES,CHORDATA,Falco cherrug,Falco cherrug; Falco hendersoni; Falco milvipes,Falco cherrug,Falco cherrug,Yes,22696495,Falco cherrug,TRUE,2022; 2021,CR; EN,,,,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Yes,valid,175633,Falco cherrug,CHORDATA,2,Falco hendersoni;Falco milvipes,AVES,FALCONIFORMES,FALCONIDAE,,Yes,2481034,Falco cherrug,,,CHORDATA,ACCEPTED,AVES,FALCONIFORMES,FALCONIDAE
Falco columbarius,8953,Falco columbarius,host,species,Falco,FALCONIDAE,FALCONIFORMES,AVES,CHORDATA,Falco columbarius,Falco columbarius; Falco aesalon; Falco richardsonii; Accipiter gentilis,Falco columbarius,Falco columbarius,Yes,22696453,Falco columbarius,TRUE,2021,LC; VU,,,,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Yes,valid,175613,Falco columbarius,CHORDATA,2,Falco aesalon;Falco richardsonii,AVES,FALCONIFORMES,FALCONIDAE,,Yes,9813242,Falco columbarius,1,Accipiter gentilis,CHORDATA,ACCEPTED,AVES,FALCONIFORMES,FALCONIDAE
Falco naumanni,148594,Falco naumanni,host,species,Falco,FALCONIDAE,FALCONIFORMES,AVES,CHORDATA,Falco naumanni,Falco naumanni,Falco naumanni,Falco naumanni,Yes,22696357,Falco naumanni,TRUE,2022; 2021,LC,,,,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Yes,valid,175646,Falco naumanni,CHORDATA,,,AVES,FALCONIFORMES,FALCONIDAE,,Yes,9584698,Falco naumanni,,,CHORDATA,ACCEPTED,AVES,FALCONIFORMES,FALCONIDAE
Falco peregrinus,8954,Falco peregrinus,host,species,Falco,FALCONIDAE,FALCONIFORMES,AVES,CHORDATA,Falco peregrinus,,Falco peregrinus,Falco peregrinus,Yes,45354964,Falco peregrinus,TRUE,2022; 2021,LC,1,Falco pelegrinoides,ACCEPTED,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Yes,valid,175604,Falco peregrinus,CHORDATA,13,Falco anatum;Falco kreyenborgi;Falco cassini;Falco calidus;Falco japonensis;Falco brookei;Falco ernesti;Falco macropus;Falco minor;Falco peregrinator;Falco radama;Falco babylonicus;Falco pelegrinoides,AVES,FALCONIFORMES,FALCONIDAE,,Yes,2481047,Falco peregrinus,,,CHORDATA,ACCEPTED,AVES,FALCONIFORMES,FALCONIDAE
Falco punctatus,148596,Falco punctatus,host,species,Falco,FALCONIDAE,FALCONIFORMES,AVES,CHORDATA,Falco punctatus,Falco punctatus,Falco punctatus,Falco punctatus,Yes,22696373,Falco punctatus,TRUE,2023,EN,,,,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Yes,valid,175650,Falco punctatus,CHORDATA,,,AVES,FALCONIFORMES,FALCONIDAE,,Yes,2481005,Falco punctatus,,,CHORDATA,ACCEPTED,AVES,FALCONIFORMES,FALCONIDAE
Falco rusticolus,120794,Falco rusticolus,host,species,Falco,FALCONIDAE,FALCONIFORMES,AVES,CHORDATA,Falco rusticolus,Falco rusticolus; Falco chicquera,Falco rusticolus,Falco rusticolus,Yes,22696500,Falco rusticolus,TRUE,2021,LC,,,,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Yes,valid,175599,Falco rusticolus,CHORDATA,0,,AVES,FALCONIFORMES,FALCONIDAE,,Yes,8069880,Falco rusticolus,1,Falco chicquera,CHORDATA,ACCEPTED,AVES,FALCONIFORMES,FALCONIDAE
Falco sparverius,56350,Falco sparverius,host,species,Falco,FALCONIDAE,FALCONIFORMES,AVES,CHORDATA,Falco sparverius,Falco sparverius; Falco caribaearum; Falco cinnamominus; Falco dominicensis; Falco isabellinus,Falco sparverius,Falco sparverius,Yes,22696395,Falco sparverius,TRUE,2016,LC,,,,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Yes,valid,175622,Falco sparverius,CHORDATA,4,Falco caribaearum;Falco cinnamominus;Falco dominicensis;Falco isabellinus,AVES,FALCONIFORMES,FALCONIDAE,,Yes,9685907,Falco sparverius,,,CHORDATA,ACCEPTED,AVES,FALCONIFORMES,FALCONIDAE
Falco tinnunculus,100819,Falco tinnunculus,host,species,Falco,FALCONIDAE,FALCONIFORMES,AVES,CHORDATA,Falco tinnunculus,Falco tinnunculus; Falco interstinctus; Falco neglectus; Cerchneis perpallida; Falco rufescens; Cerchneis rupicolaeformis,Falco tinnunculus,Falco tinnunculus,Yes,22696362,Falco tinnunculus,TRUE,2022; 2021,LC,,,,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Yes,valid,175620,Falco tinnunculus,CHORDATA,5,Falco interstinctus;Falco neglectus;Cerchneis perpallida;Falco rufescens;Cerchneis rupicolaeformis,AVES,FALCONIFORMES,FALCONIDAE,,Yes,9616058,Falco tinnunculus,,,CHORDATA,ACCEPTED,AVES,FALCONIFORMES,FALCONIDAE
Felis catus,9685,Felis catus,host,species,Felis,FELIDAE,CARNIVORA,MAMMALIA,CHORDATA,Felis catus,Felis catus,Felis catus,Felis catus,Yes,203895,Felis catus,,,,,,,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Yes,valid,183798,Felis catus,CHORDATA,0,,MAMMALIA,CARNIVORA,FELIDAE,,Yes,2435035,Felis catus,,,CHORDATA,ACCEPTED,MAMMALIA,CARNIVORA,FELIDAE
Felis nigripes,61379,Felis nigripes,host,species,Felis,FELIDAE,CARNIVORA,MAMMALIA,CHORDATA,Felis nigripes,Felis nigripes,Felis nigripes,Felis nigripes,Yes,8542,Felis nigripes,TRUE,2016,VU,,,,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Yes,valid,183800,Felis nigripes,CHORDATA,0,,MAMMALIA,CARNIVORA,FELIDAE,,Yes,2435037,Felis nigripes,,,CHORDATA,ACCEPTED,MAMMALIA,CARNIVORA,FELIDAE
Felis silvestris,9683,Felis silvestris,host,species,Felis,FELIDAE,CARNIVORA,MAMMALIA,CHORDATA,Felis silvestris,,Felis silvestris,Felis silvestris,Yes,181049859,Felis silvestris,TRUE,2025; 2023,LC,0,,ACCEPTED;ACCEPTED,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Yes,valid,180589,Felis silvestris,CHORDATA,0,,MAMMALIA,CARNIVORA,FELIDAE,,Yes,7964291,Felis silvestris,,,CHORDATA,ACCEPTED,MAMMALIA,CARNIVORA,FELIDAE
