combined_pathogen,combined_disease_name,efsa_pathogen,efsa_pathogen_clean,efsa_abbreviation,vector_species,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,source,match_method,match_confidence,review_needed,vector_species_raw,vector_group_raw,vector_status_raw,field_results_raw,laboratory_results_raw
,,St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex tarsalis,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex tarsalis,M,Potential,,Positive
,,Thogoto virus,thogoto virus,THOV,Haemaphysalis longicornis,tick,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Haemaphysalis longicornis,T,Potential,,Positive
Alphavirus venezuelan,Venezuelan equine encephalitis,Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,VEEV,Aedes detritus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,exact_alias_disease,exact,FALSE,Aedes detritus,M,Potential,,Positive
Alphavirus venezuelan,Venezuelan equine encephalitis,Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,VEEV,Culex gnomatos,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_alias_disease,exact,FALSE,Culex gnomatos,M,Potential,,Positive
Alphavirus venezuelan,Venezuelan equine encephalitis,Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,VEEV,Culex gnomatos/vomerifer,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_alias_disease,exact,FALSE,Culex gnomatos/vomerifer,M,Potential,,Positive
Alphavirus venezuelan,Venezuelan equine encephalitis,Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,VEEV,Culex taeniopus,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_alias_disease,exact,FALSE,Culex taeniopus,M,Potential,,Positive
Alphavirus venezuelan,Venezuelan equine encephalitis,Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,VEEV,Psorophora columbiae,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_alias_disease,exact,FALSE,Psorophora columbiae,M,Potential,,Positive
Vesicular stomatitis Indiana virus,Vesicular stomatitis,Vesicular stomatitis - Alagoas virus,vesicular stomatitis alagoas virus,VSAV,Culicoides sonorensis,biting_midge,potential,,positive,no,no,EFSA Appendix G,exact_alias_disease,exact,FALSE,Culicoides sonorensis,BM,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes albopictus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes albopictus,M,Potential,,Positive'
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes australis,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes australis,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes canadensis,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes canadensis,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes detritus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes detritus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes dorsalis,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes dorsalis,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes japonicus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes japonicus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes kochi,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes kochi,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes melanimon,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes melanimon,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes notoscriptus,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes notoscriptus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes procax,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes procax,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes sierrensis,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes sierrensis,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes taeniorhynchus,mosquito,potential,positive,,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes taeniorhynchus,M,Potential,Positive,
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes triseriatus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes triseriatus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes vexans,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes vexans,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Aedes vigilax,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Aedes vigilax,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Coquillettidia linealis,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Coquillettidia linealis,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Coquillettidia perturbans,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Coquillettidia perturbans,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex annulirostris,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex annulirostris,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex bitaeniorhynchus,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex bitaeniorhynchus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex erythrothorax,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex erythrothorax,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex gelidus,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex gelidus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex incidens,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex incidens,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex modestus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Culex modestus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex neavei group,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex neavei group,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex nigripalpus,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex nigripalpus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex pervigilans,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex pervigilans,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex pipiens,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Culex pipiens,M,Highly likely,Positive,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex pipiens biotype molestus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Culex pipiens biotype molestus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex pipiens biotype molestus x Culex quinquefasciatus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Culex pipiens biotype molestus x Culex quinquefasciatus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex pipiens biotype pipiens,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Culex pipiens biotype pipiens,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex pipiens biotype pipiens x Culex quinquefasciatus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Culex pipiens biotype pipiens x Culex quinquefasciatus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex pipiens biotype pipiens x biotype molestus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Culex pipiens biotype pipiens x biotype molestus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex pipiens s.l.,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Culex pipiens s.l.,M,Highly likely,Positive,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex pipiens/restuans,mosquito,potential,positive,,yes,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex pipiens/restuans,M,Potential,Positive,
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex quinquefasciatus,mosquito,highly_likely,positive,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex quinquefasciatus,M,Highly likely,Positive,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex restuans,mosquito,highly_likely,positive,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex restuans,M,Highly likely,Positive,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex salinarius,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex salinarius,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex sitiens,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex sitiens,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex stigmatosoma,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex stigmatosoma,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex tarsalis,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex tarsalis,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex thriambus,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex thriambus,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex torrentium,mosquito,potential,,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Culex torrentium,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex univittatus,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,manual_synonym,manual,TRUE,Culex univittatus,M,Highly likely,Positive,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culex vansomereni,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culex vansomereni,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culiseta inornata,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culiseta inornata,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Culiseta melanura,mosquito,potential,positive,,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Culiseta melanura,M,Potential,Positive,
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Verrallina carmenti,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Verrallina carmenti,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Verrallina funerea,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Verrallina funerea,M,Potential,,Positive
Orthoflavivirus nilense,West Nile fever,West Nile virus,west nile virus,WNV,Verrallina lineato,mosquito,potential,,positive,no,no,EFSA Appendix G,manual_synonym,manual,TRUE,Verrallina lineato,M,Potential,,Positive
,,Western equine encephalitis virus,western equine encephalitis virus,WEEV,Aedes aegypti,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes aegypti,M,Potential,,Positive
,,Western equine encephalitis virus,western equine encephalitis virus,WEEV,Aedes albopictus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Aedes albopictus,M,Potential,,Positive
,,Western equine encephalitis virus,western equine encephalitis virus,WEEV,Culex pipiens pallens,mosquito,potential,,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culex pipiens pallens,M,Potential,,Positive
,,Western equine encephalitis virus,western equine encephalitis virus,WEEV,Culex quinquefasciatus,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex quinquefasciatus,M,Potential,,Positive
,,Western equine encephalitis virus,western equine encephalitis virus,WEEV,Culex tarsalis,mosquito,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Culex tarsalis,M,Potential,,Positive
,,Yunnan orbivirus,yunnan orbivirus,YUOV,Anopheles sinensis,mosquito,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Anopheles sinensis,M,Potential,Positive,
,,Yunnan orbivirus,yunnan orbivirus,YUOV,Culex tritaeniorhynchus,mosquito,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Culex tritaeniorhynchus,M,Potential,Positive,
