pathogen,pathogen_raw_examples,pathogen_tax_id,pheic_risk,disease_name,disease_name_raw_examples,host_tax_id,host,pathogen_class,pathogen_order,pathogen_family,pathogen_genus,host_phylum,host_class,host_family,host_order,detection_method,main_source,pathogen_type,is_zoonotic,zoonotic_status,canonicalization_status,pathogen_raw,disease_name_raw,pathogen_family_raw,pathogen_genus_raw,pathogen_type_raw,pathogen_clean,disease_name_clean,pathogen_family_clean,pathogen_genus_clean,pathogen_type_clean
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),9615,Canis lupus,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,canidae,carnivora,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),331605,Castor fiber,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,castoridae,rodentia,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),30423,Coloeus monedula,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,,,,,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),109474,Crocidura leucodon,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,soricidae,eulipotyphla,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),36802,Crocidura russula,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,soricidae,eulipotyphla,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),9793,Equus asinus,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,equidae,perissodactyla,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),9796,Equus caballus,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,equidae,perissodactyla,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),1114792,Equus ferus,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,equidae,perissodactyla,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),9365,Erinaceus europaeus,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,erinaceidae,eulipotyphla,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),9685,Felis catus,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,felidae,carnivora,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
