  Family                    PHEIC risk Pathogens                                  previous_name                                 msl39_viral_name                       
58 Orthomyxoviridae          High         Alphainfluenzavirus influenzae (H5Nx)      Influenza A                                   Alphainfluenzavirus influenzae         
59 Orthomyxoviridae          High         Alphainfluenzavirus influenzae (H6Nx)      Influenza A                                   Alphainfluenzavirus influenzae         
60 Orthomyxoviridae          High         Alphainfluenzavirus influenzae (H7Nx)      Influenza A                                   Alphainfluenzavirus influenzae         
61 Orthomyxoviridae          High         Alphainfluenzavirus influenzae (H10Nx)     Influenza A                                   Alphainfluenzavirus influenzae         
62 Paramyxoviridae           High         Orthopoxvirus vaccinia                     Vaccinia virus                                Orthopoxvirus vaccinia                 
63 Picornaviridae            Medium       Human polioviruses                         NA                                            NA                                     
64 Picornaviridae            Medium       Enterovirus D68 (EV-D68)                   Enterovirus D68 (EV-D68)                      Enterovirus deconjucti 68              
65 Picornaviridae            Medium       Enterovirus A71 (EV-A71)                   Enterovirus A71 (EV-A71)                      Enterovirus alphacoxsackie 71          
66 Retroviridae              Medium       Human immunodeficiency virus 1 (HIV-1)     Human immunodeficiency virus 1 (HIV-1)        Lentivirus humimdef1                   
67 Adenoviridae              Low-Medium   Human mastadenovirus B                     NA                                            NA                                     
68 Astroviridae              Low          Mamastrovirus 9 (GIl.B-human)              Mamastrovirus 9                               Mamastrovirus virginiaense             
69 Parvoviridae              Low          Carnivore protoparvoviruses (CPV)          Carnivore protoparvoviruses                   Protoparvovirus carnivoran             
70 Picobirnaviridae          Low          Human picobirnavirus                       Human picobirnavirus                          Orthopicobirnavirus hominis            
71 Reoviriales               Low          Orthoreovirus mammalis                     Mammalian orthoreovirus                       Orthoreovirus mammalis                 
