disease_name,disease_name_clean,pathogen,pathogen_tax_id,pathogen_type,pathogen_family,pathogen_genus,pheic_risk,host,host_tax_id,host_class,host_order,host_family,detection_method,main_source,vector_species,vector_group,evidence_strength,vector_evidence_basis,vector_record_sources,vector_supporting_row_count,assignment_basis,host_vector_species,vector_taxon_rank,vector_species_needs_review,vector_host_record_count,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,vector_join_key,link_type,vector_join_match_type,taxonomy_caution
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,PCR/Sequencing,VIRION,Aedes vexans,mosquito,candidate,review,lit_review,1,disease_level_inherited,Aedes vexans,species,FALSE,18,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Hungary; Russia; Serbia; Switzerland; Unites States,,aedes vexans,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Aedes vexans,mosquito,candidate,review,lit_review,1,disease_level_inherited,Aedes vexans,species,FALSE,18,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Hungary; Russia; Serbia; Switzerland; Unites States,,aedes vexans,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,PCR/Sequencing,VIRION,Aedes vigilax,mosquito,probable,lab,lit_review,1,disease_level_inherited,Aedes vigilax,species,FALSE,3,Aedes vigilax,VectorMap,BloodMealMap,blood_meal,Australia,,aedes vigilax,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Aedes vigilax,mosquito,probable,lab,lit_review,1,disease_level_inherited,Aedes vigilax,species,FALSE,3,Aedes vigilax,VectorMap,BloodMealMap,blood_meal,Australia,,aedes vigilax,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,PCR/Sequencing,VIRION,Aedes vittatus,mosquito,candidate,review,lit_review,1,disease_level_inherited,Aedes vittatus,species,FALSE,2,Aedes vittatus,VectorMap,BloodMealMap,blood_meal,Kenya; Nigeria,,aedes vittatus,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Aedes vittatus,mosquito,candidate,review,lit_review,1,disease_level_inherited,Aedes vittatus,species,FALSE,2,Aedes vittatus,VectorMap,BloodMealMap,blood_meal,Kenya; Nigeria,,aedes vittatus,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,PCR/Sequencing,VIRION,Coquillettidia linealis,mosquito,probable,lab,lit_review,1,disease_level_inherited,Coquillettidia linealis,species,FALSE,3,Coquillettidia linealis,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Australia,,coquillettidia linealis,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Coquillettidia linealis,mosquito,probable,lab,lit_review,1,disease_level_inherited,Coquillettidia linealis,species,FALSE,3,Coquillettidia linealis,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Australia,,coquillettidia linealis,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,PCR/Sequencing,VIRION,Culex annulirostris,mosquito,weak,lab,lit_review,1,disease_level_inherited,Culex annulirostris,species,FALSE,26,Culex annulirostris,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Australia; Papua New Guinea,,culex annulirostris,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Culex annulirostris,mosquito,weak,lab,lit_review,1,disease_level_inherited,Culex annulirostris,species,FALSE,26,Culex annulirostris,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Australia; Papua New Guinea,,culex annulirostris,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
