disease_name,disease_name_clean,host,host_tax_id,host_class,host_order,host_family,pathogen_count_in_disease_host_network,pathogen_examples,detection_method_examples,main_source_examples,vector_species,vector_group,best_evidence_level,best_evidence_basis,record_sources,supporting_row_count,disease_vector_taxon_rank,disease_vector_review_needed,host_vector_species,vector_taxon_rank,vector_species_needs_review,vector_host_record_count,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,vector_join_key,link_type,vector_join_match_type,taxonomy_caution
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Antidorcas marsupialis,59523,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Antibodies,VIRION,rhipicephalus evertsi,tick,candidate,review,lit_review,4,species,FALSE,Rhipicephalus evertsi,infraspecific,FALSE,1,Rhipicephalus evertsi evertsi,VectorMap,TickMap,on_host_occurrence,South Africa,,rhipicephalus evertsi,disease_host_vector_derived,exact_normalized_vector_name,TRUE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation,VIRION,amblyomma variegatum,tick,confirmed,review,lit_review,3,species,FALSE,Amblyomma variegatum,species,FALSE,3,Amblyomma variegatum,VectorMap,TickMap,on_host_occurrence,Cameroon; Nigeria; Sudan,,amblyomma variegatum,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation,VIRION,hyalomma rufipes,tick,confirmed,review,lit_review,9,species,FALSE,Hyalomma rufipes,species,FALSE,1,Hyalomma rufipes,VectorMap,TickMap,on_host_occurrence,Cameroon,,hyalomma rufipes,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation,VIRION,hyalomma truncatum,tick,confirmed,review,lit_review,7,species,FALSE,Hyalomma truncatum,species,FALSE,1,Hyalomma truncatum,VectorMap,TickMap,on_host_occurrence,Cameroon,,hyalomma truncatum,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation,VIRION,rhipicephalus guilhoni,tick,candidate,review,lit_review,2,species,FALSE,Rhipicephalus guilhoni,species,FALSE,1,Rhipicephalus guilhoni,VectorMap,TickMap,on_host_occurrence,Cameroon,,rhipicephalus guilhoni,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation,VIRION,rhipicephalus sanguineus,tick,candidate,review,lit_review,5,species,FALSE,Rhipicephalus sanguineus,species,FALSE,4,Rhipicephalus sanguineus,VectorMap,TickMap,on_host_occurrence,Nigeria; Sudan,,rhipicephalus sanguineus,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,amblyomma lepidum,tick,candidate,review,lit_review,1,species,FALSE,Amblyomma lepidum,species,FALSE,53,Amblyomma lepidum,VectorMap,TickMap,on_host_occurrence,"Central African Republic; Egypt; Kenya; South Africa; Sudan; Tanzania, United Republic of; Zambia",,amblyomma lepidum,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,amblyomma variegatum,tick,confirmed,review,lit_review,3,species,FALSE,Amblyomma variegatum,species,FALSE,531,Amblyomma variegatum,VectorMap,TickMap,on_host_occurrence,"Benin; Botswana; Burkina Faso; Burundi; Cameroon; Congo, The Democratic Republic of The; Cote D'Ivoire; Gambia; Ghana; Guinea; Guinea-Bissau; Kenya; Malawi; Mali; Nigeria; Rwanda; Senegal; Sierra Leone; South Africa; Sudan; Tanzania, United Republic of; Uganda; Zambia",,amblyomma variegatum,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,dermacentor marginatus,tick,candidate,review,lit_review,3,species,FALSE,Dermacentor marginatus,species,FALSE,27,Dermacentor marginatus,VectorMap,TickMap,on_host_occurrence,Algeria; Georgia,,dermacentor marginatus,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,dermacentor nuttalli,tick,candidate,review,lit_review,1,species,FALSE,Dermacentor nuttalli,species,FALSE,20,Dermacentor nuttalli,VectorMap,TickMap,on_host_occurrence,Mongolia,,dermacentor nuttalli,disease_host_vector_derived,exact_normalized_vector_name,FALSE
