disease,v_species,v_group,evidence_level,evidence_basis,location,source,notes,record_source
dengue,Aedes japonicus,mosquito,candidate,review,central Europe,Schaffner and Mathis 2014,potential vector,lit_review
dengue,Aedes vittatus,mosquito,weak,review,India; western Mediterranean,Schaffner and Mathis 2014,occasionally mentioned; role likely restricted,lit_review
oropouche fever,Culicoides paraensis,midge,confirmed,review,,Ayres et al. 2026,principal urban vector,lit_review
oropouche fever,Culex quinquefasciatus,mosquito,candidate,review,,Ayres et al. 2026,secondary vector; debated,lit_review
oropouche fever,Coquillettidia venezuelensis,mosquito,candidate,review,,Ayres et al. 2026,sylvatic cycle,lit_review
oropouche fever,Aedes serratus,mosquito,candidate,review,,Ayres et al. 2026,sylvatic cycle,lit_review
oropouche fever,Culicoides sonorensis,midge,candidate,review,North America,Ayres et al. 2026,lab competence,lit_review
oropouche fever,Culicoides insignis,midge,candidate,review,Peru,Ayres et al. 2026,possible new vector,lit_review
oropouche fever,Aedes albopictus,mosquito,weak,review,,Ayres et al. 2026,mixed lab evidence,lit_review
oropouche fever,Aedes aegypti,mosquito,weak,review,Brazil,Ayres et al. 2026,vertical transmission/PCR,lit_review
oropouche fever,Limatus durhamii,mosquito,weak,review,Brazil,Ayres et al. 2026,PCR only,lit_review
oropouche fever,Culicoides paraensis,midge,confirmed,review,,Gallichotte et al. 2025,principal vector,lit_review
oropouche fever,Culicoides sonorensis,midge,probable,review,,Gallichotte et al. 2025,high competence,lit_review
oropouche fever,Coquillettidia venezuelensis,mosquito,candidate,review,Trinidad and Tobago,Gallichotte et al. 2025,potential sylvatic vector,lit_review
oropouche fever,Aedes serratus,mosquito,candidate,review,Brazil,Gallichotte et al. 2025,potential sylvatic vector,lit_review
oropouche fever,Culex quinquefasciatus,mosquito,candidate,review,,Gallichotte et al. 2025,poor vector; low competence,lit_review
oropouche fever,Aedes aegypti,mosquito,candidate,review,,Gallichotte et al. 2025,limited competence,lit_review
oropouche fever,Aedes albopictus,mosquito,candidate,review,,Gallichotte et al. 2025,limited competence,lit_review
oropouche fever,Aedes scapularis,mosquito,weak,review,,Gallichotte et al. 2025,parenteral inoculation only,lit_review
oropouche fever,Psorophora ferox,mosquito,weak,review,,Gallichotte et al. 2025,parenteral inoculation only,lit_review
oropouche fever,Culex tarsalis,mosquito,candidate,review,,Gallichotte et al. 2025,limited transmission,lit_review
oropouche fever,Culicoides paraensis,midge,confirmed,review,,González et al. 2025,principal vector,lit_review
oropouche fever,Culex quinquefasciatus,mosquito,candidate,field,Cuba,González et al. 2025,PCR only; Cuban outbreak,lit_review
oropouche fever,Aedes aegypti,mosquito,candidate,field,Cuba,González et al. 2025,PCR only; Cuban outbreak,lit_review
oropouche fever,Coquillettidia venezuelensis,mosquito,candidate,review,,González et al. 2025,potential vector,lit_review
oropouche fever,Aedes serratus,mosquito,candidate,review,,González et al. 2025,potential vector,lit_review
oropouche fever,Culex pipiens,mosquito,weak,lab,Italy,Mancuso et al. 2025,no competence detected,lit_review
oropouche fever,Aedes albopictus,mosquito,weak,lab,Italy,Mancuso et al. 2025,no competence detected,lit_review
oropouche fever,Culicoides paraensis,midge,confirmed,review,,Romero-Alvarez and Escobar 2018,main vector,lit_review
oropouche fever,Coquillettidia venezuelensis,mosquito,candidate,review,Trinidad,Romero-Alvarez and Escobar 2018,sylvatic cycle,lit_review
oropouche fever,Aedes (Ochlerotatus) serratus,mosquito,candidate,review,Brazil,Romero-Alvarez and Escobar 2018,sylvatic cycle,lit_review
oropouche fever,Culex quinquefasciatus,mosquito,candidate,review,Brazil,Romero-Alvarez and Escobar 2018,candidate competent vector,lit_review
oropouche fever,Culicoides paraensis,midge,confirmed,review,,Sakkas et al. 2018,primary urban vector,lit_review
oropouche fever,Coquillettidia venezuelensis,mosquito,probable,review,,Sakkas et al. 2018,secondary vector; sylvatic cycle,lit_review
oropouche fever,Aedes (Ochlerotatus) serratus,mosquito,probable,review,,Sakkas et al. 2018,secondary vector; sylvatic cycle,lit_review
oropouche fever,Culex quinquefasciatus,mosquito,candidate,review,,Sakkas et al. 2018,less important vector,lit_review
oropouche fever,Culicoides,midge,candidate,review,,Sakkas et al. 2018,genus-level sylvatic vector,lit_review
oropouche fever,Culicoides paraensis,midge,confirmed,review,Brazil,Sciancalepore et al. 2022,primary vector,lit_review
oropouche fever,Culex quinquefasciatus,mosquito,probable,review,Brazil,Sciancalepore et al. 2022,considerable urban vector,lit_review
oropouche fever,Ochlerotatus serratus,mosquito,candidate,review,Brazil,Sciancalepore et al. 2022,listed mosquito vector,lit_review
oropouche fever,Aedes aegypti,mosquito,candidate,review,Brazil,Sciancalepore et al. 2022,listed mosquito vector,lit_review
oropouche fever,Culicoides paraensis,midge,confirmed,review,,Ayres et al. 2026,principal urban vector,lit_review
oropouche fever,Culex quinquefasciatus,mosquito,candidate,review,,Ayres et al. 2026,secondary vector; debated,lit_review
plague,Xenopsylla cheopis,flea,probable,review,,Ben Ari et al. 2011,likely main vector in human foci,lit_review
plague,Citellophilus tesquorum altaicus,flea,candidate,review,,Ben Ari et al. 2011,winter maintenance in hibernating rodents,lit_review
plague,Aetheca wagneri,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Ctenocephalides felis,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Echidnophaga gallinaceus,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Epitedia wenmanni,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Epitedia eumolpi,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Hoplopsyllus anomalus,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Hystrichopsylla linsdalei,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Malaraeus telchinum,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Megabothris abantis,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Nosopsyllus fasciatus,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Opisodasys nesiotis,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,OCR spelling uncertain,lit_review
plague,Orchopeas sexdentatus,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Oropsylla bruneri,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Oropsylla hirsuta,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Oropsylla idahoensis,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Oropsylla labis,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Oropsylla montana,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Oropsylla rupestris,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Oropsylla tuberculata,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Oropsylla tuberculata cynomuris,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Pleochaetis exilis,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Polygenis gwyni,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Pulex irritans,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Thrassis acamantis,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Thrassis arizonensis,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Thrassis bacchi,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Thrassis fotus,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Thrassis francisi,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Thrassis pandorae,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Xenopsylla cheopis,flea,confirmed,review,North America,Eisen et al. 2009 Table 1,experimentally confirmed,lit_review
plague,Xenopsylla cheopis,flea,confirmed,review,,Gage and Kosoy 2005,principal vector,lit_review
plague,Citellophilus tesquorum altaicus,flea,confirmed,review,southern Siberia,Gage and Kosoy 2005,important vector,lit_review
plague,Oropsylla montana,flea,probable,review,,Gage and Kosoy 2005,less efficient vector,lit_review
plague,Citellophilus tesquorum,flea,probable,review,,Gage and Kosoy 2005,blocking and transmission studies,lit_review
plague,Neopsylla setosa,flea,probable,review,,Gage and Kosoy 2005,blocking study,lit_review
plague,Xenopsylla brasiliensis,flea,candidate,review,,Gage and Kosoy 2005,possible exception among common rat fleas,lit_review
plague,Xenopsylla astia,flea,probable,review,southern Asia,Gage and Kosoy 2005,relatively inefficient transmitter,lit_review
plague,Nosopsyllus fasciatus,flea,probable,review,,Gage and Kosoy 2005,northern rat flea,lit_review
plague,Rhadinopsylla rothschildi,flea,probable,review,,Gage and Kosoy 2005,block-free transmission,lit_review
plague,Rhadinopsylla daurica,flea,probable,review,,Gage and Kosoy 2005,block-free transmission,lit_review
plague,Malaraeus telchinum,flea,probable,review,,Gage and Kosoy 2005,mechanical transmission,lit_review
plague,Hystrichopsylla linsdalei,flea,probable,review,,Gage and Kosoy 2005,important in enzootic transmission,lit_review
plague,Pulex irritans,flea,weak,review,,Gage and Kosoy 2005,"mechanical vector, poor biological vector",lit_review
plague,Xenopsylla cheopis,flea,weak,review,,Krasnov et al. 2006,example species; low transmission efficiency,lit_review
plague,Paradoxopsyllus curvispinus,flea,weak,review,Japan; Southeast Asia,Medvedev et al. 2022,historical claim; debated,lit_review
plague,Paradoxopsyllus custodis,flea,candidate,review,"Yunnan, China",Medvedev et al. 2022,limited epizootic mention,lit_review
plague,Paradoxopsyllus dashidorzhii,flea,confirmed,review,Mongolia; Russia,Medvedev et al. 2022,main vector,lit_review
plague,Paradoxopsyllus hesperius kalabukhovi,flea,confirmed,review,China; Mongolia; Russia,Medvedev et al. 2022,accessory vector,lit_review
plague,Paradoxopsyllus repandus,flea,confirmed,review,Kazakhstan; Turkmenistan,Medvedev et al. 2022,accessory or occasional vector,lit_review
plague,Paradoxopsyllus scorodumovi,flea,confirmed,review,Mongolia; Russia,Medvedev et al. 2022,main vector; occasional in Tuva,lit_review
plague,Paradoxopsyllus teretifrons,flea,confirmed,review,Kazakhstan; Turkmenistan,Medvedev et al. 2022,plague vector,lit_review
plague,Polygenis bohlsi bohlsi,flea,candidate,review,Northeast Brazil,Reis et al. 2021,naturally infected,lit_review
plague,Polygenis tripus,flea,confirmed,review,Northeast Brazil,Reis et al. 2021,efficient vector; naturally infected,lit_review
plague,Polygenis bohlsi jordani,flea,confirmed,review,Northeast Brazil,Reis et al. 2021,most effective vector,lit_review
plague,Pulex irritans,flea,candidate,review,Northeast Brazil; Serra dos Orgaos (RJ),Reis et al. 2021,naturally infected,lit_review
plague,Xenopsylla cheopis,flea,confirmed,review,Northeast Brazil; Serra dos Orgaos (RJ),Reis et al. 2021,classic plague vector; naturally infected,lit_review
plague,Ctenocephalides felis,flea,candidate,review,Northeast Brazil; Serra dos Orgaos (RJ),Reis et al. 2021,naturally infected,lit_review
Rift Valley fever,Aedes vexans,mosquito,probable,field+lab,Begues municipality; Catalonia; Spain,Birnberg et al. 2019,field-captured population,lit_review
Rift Valley fever,Culex pipiens form molestus,mosquito,weak,lab,Spain,Brustolin et al. 2017,infection only; no dissemination,lit_review
Rift Valley fever,Culex pipiens hybrid form,mosquito,probable,lab,Spain,Brustolin et al. 2017,infectious saliva,lit_review
Rift Valley fever,Stegomyia albopicta,mosquito,probable,lab,Spain,Brustolin et al. 2017,infectious saliva,lit_review
Rift Valley fever,Aedes caspius,mosquito,probable,review,Mediterranean Basin,Drouin et al. 2022,most competent among five,lit_review
Rift Valley fever,Aedes detritus,mosquito,probable,review,Mediterranean Basin,Drouin et al. 2022,sensu lato pooled; high IR and moderate transmission,lit_review
Rift Valley fever,Aedes vexans,mosquito,probable,review,Mediterranean Basin,Drouin et al. 2022,moderately competent,lit_review
Rift Valley fever,Culex pipiens,mosquito,probable,review,Mediterranean Basin,Drouin et al. 2022,high transmission with midgut barriers,lit_review
Rift Valley fever,Culex theileri,mosquito,candidate,review,Mediterranean Basin,Drouin et al. 2022,few data; only infection-rate summary,lit_review
Rift Valley fever,Coquillettidia perturbans,mosquito,probable,review,United States,Golnar et al. 2014 Table 1,highest measured vector competence,lit_review
Rift Valley fever,Aedes japonicus japonicus,mosquito,probable,review,United States,Golnar et al. 2014 Table 1,highest measured vector competence,lit_review
Rift Valley fever,Culex tarsalis,mosquito,probable,review,United States,Golnar et al. 2014 Table 1,high measured vector competence,lit_review
Rift Valley fever,Aedes excrucians,mosquito,probable,review,United States,Golnar et al. 2014 Table 1,high measured vector competence,lit_review
Rift Valley fever,Aedes canadensis,mosquito,probable,review,United States,Golnar et al. 2014 Table 1,measured vector competence,lit_review
Rift Valley fever,Aedes sollicitans,mosquito,probable,review,United States,Golnar et al. 2014 Table 1,measured vector competence,lit_review
Rift Valley fever,Aedes triseriatus,mosquito,probable,review,United States,Golnar et al. 2014 Table 1,measured vector competence,lit_review
Rift Valley fever,Psorophora ferox,mosquito,probable,review,United States,Golnar et al. 2014 Table 1,measured vector competence,lit_review
Rift Valley fever,Culex territans,mosquito,candidate,review,United States,Golnar et al. 2014 Table 1,lower measured vector competence,lit_review
Rift Valley fever,Aedes atlanticus,mosquito,candidate,review,United States,Golnar et al. 2014 Table 1,lower measured vector competence,lit_review
Rift Valley fever,Aedes taeniorhynchus,mosquito,candidate,review,United States,Golnar et al. 2014 Table 1,lower measured vector competence,lit_review
Rift Valley fever,Aedes albopictus,mosquito,candidate,review,United States,Golnar et al. 2014 Table 1,lower measured vector competence,lit_review
Rift Valley fever,Culex salinarius,mosquito,candidate,review,United States,Golnar et al. 2014 Table 1,lower measured vector competence,lit_review
Rift Valley fever,Culex pipiens,mosquito,candidate,review,United States,Golnar et al. 2014 Table 1,lower measured vector competence,lit_review
Rift Valley fever,Aedes vexans,mosquito,candidate,review,United States,Golnar et al. 2014 Table 1,lower measured vector competence,lit_review
Rift Valley fever,Aedes aegypti,mosquito,candidate,review,United States,Golnar et al. 2014 Table 1,low measured vector competence,lit_review
Rift Valley fever,Aedes cantator,mosquito,candidate,review,United States,Golnar et al. 2014 Table 1,low measured vector competence,lit_review
Rift Valley fever,Mansonia dyari,mosquito,candidate,review,United States,Golnar et al. 2014 Table 1,low measured vector competence,lit_review
Rift Valley fever,Culex erythrothorax,mosquito,weak,review,United States,Golnar et al. 2014 Table 1,very low measured vector competence,lit_review
Rift Valley fever,Culex erraticus,mosquito,weak,review,United States,Golnar et al. 2014 Table 1,very low measured vector competence,lit_review
Rift Valley fever,Culex nigripalpus,mosquito,weak,review,United States,Golnar et al. 2014 Table 1,near-zero measured vector competence,lit_review
Rift Valley fever,Anopheles bradleyi-crucians,mosquito,weak,review,United States,Golnar et al. 2014 Table 1,near-zero measured vector competence,lit_review
Rift Valley fever,Aedes circumluteolus,mosquito,probable,review,Africa,Mgongoma et al. 2026,review cites isolation,lit_review
Rift Valley fever,Aedes mcintoshi,mosquito,probable,review,Africa,Mgongoma et al. 2026,review cites isolation,lit_review
Rift Valley fever,Aedes ochraceus,mosquito,probable,review,Africa,Mgongoma et al. 2026,review cites isolation and field detection,lit_review
Rift Valley fever,Aedes pembaensis,mosquito,probable,review,Africa,Mgongoma et al. 2026,review cites isolation,lit_review
Rift Valley fever,Aedes aegypti,mosquito,candidate,review,Northern and Eastern Africa,Mgongoma et al. 2026,field detection,lit_review
Rift Valley fever,Aedes durbanensis,mosquito,candidate,review,Southern Africa,Mgongoma et al. 2026,field detection,lit_review
Rift Valley fever,Aedes sudanensis,mosquito,candidate,review,Eastern Africa,Mgongoma et al. 2026,field detection,lit_review
Rift Valley fever,Aedes spp.,mosquito,candidate,review,Eastern and Southern Africa,Mgongoma et al. 2026,genus-level field detection,lit_review
Rift Valley fever,Anopheles coustani,mosquito,candidate,review,Northern and Eastern Africa,Mgongoma et al. 2026,field detection,lit_review
Rift Valley fever,Anopheles gambiae,mosquito,candidate,review,Western and Southern Africa,Mgongoma et al. 2026,field detection,lit_review
Rift Valley fever,Anopheles gambiae arabiensis,mosquito,candidate,review,Northern Africa,Mgongoma et al. 2026,field detection,lit_review
Rift Valley fever,Anopheles pharoensis,mosquito,candidate,review,Western Africa,Mgongoma et al. 2026,field detection,lit_review
Rift Valley fever,Anopheles squamosus,mosquito,probable,review,Africa,Mgongoma et al. 2026,review cites isolation,lit_review
Rift Valley fever,Anopheles spp.,mosquito,candidate,review,Southern Africa,Mgongoma et al. 2026,genus-level field detection,lit_review
Rift Valley fever,Culex antennatus,mosquito,candidate,review,Northern Africa,Mgongoma et al. 2026,field detection,lit_review
Rift Valley fever,Culex bitaeniorhynchus,mosquito,probable,review,Africa,Mgongoma et al. 2026,review cites isolation,lit_review
Rift Valley fever,Culex neavei,mosquito,candidate,review,Eastern Africa,Mgongoma et al. 2026,field detection,lit_review
Rift Valley fever,Culex poicilipes,mosquito,probable,review,Africa,Mgongoma et al. 2026,review cites isolation and field detection,lit_review
Rift Valley fever,Culex pipiens,mosquito,candidate,review,Northern and Southern Africa,Mgongoma et al. 2026,field detection,lit_review
Rift Valley fever,Culex quinquefasciatus,mosquito,probable,review,Africa,Mgongoma et al. 2026,review cites isolation and field detection,lit_review
Rift Valley fever,Culex spp.,mosquito,candidate,review,Eastern Africa,Mgongoma et al. 2026,genus-level field detection,lit_review
Rift Valley fever,Culex tritaeniorhynchus,mosquito,candidate,review,Eastern Africa,Mgongoma et al. 2026,field detection,lit_review
Rift Valley fever,Culex univittatus,mosquito,probable,review,Africa,Mgongoma et al. 2026,review cites isolation,lit_review
Rift Valley fever,Mansonia africana,mosquito,probable,review,Africa,Mgongoma et al. 2026,review cites isolation,lit_review
Rift Valley fever,Mansonia uniformis,mosquito,probable,review,Africa,Mgongoma et al. 2026,review cites isolation,lit_review
Rift Valley fever,Aedes vexans (Meigen),mosquito,probable,field+lab,Senegal,Ndiaye et al. 2016,natural infection plus lab competence,lit_review
Rift Valley fever,Culex poicilipes (Theobald),mosquito,confirmed,field+lab,Senegal,Ndiaye et al. 2016,main vector in West Africa,lit_review
Rift Valley fever,Culex quinquefasciatus Say,mosquito,candidate,lab,Senegal,Ndiaye et al. 2016,lab competence only,lit_review
Rift Valley fever,Culex quinquefasciatus,mosquito,probable,field,Rwanda (Rwamagana and Kayonza districts),Nsengimana et al. 2025,RT-PCR positive plus isolation,lit_review
Rift Valley fever,Anopheles ziemanni,mosquito,candidate,field,Rwanda (Ngoma district),Nsengimana et al. 2025,RT-PCR positive only,lit_review
Rift Valley fever,Anopheles gambiae sensu lato,mosquito,candidate,field,Rwanda (Kirehe district),Nsengimana et al. 2025,RT-PCR positive only,lit_review
Rift Valley fever,Culex poicilipes,mosquito,candidate,review,Rwanda,Nsengimana et al. 2025,author-designated candidate,lit_review
Rift Valley fever,Mansonia africana,mosquito,candidate,review,Rwanda,Nsengimana et al. 2025,author-designated candidate,lit_review
Rift Valley fever,Mansonia uniformis,mosquito,candidate,review,Rwanda,Nsengimana et al. 2025,author-designated candidate,lit_review
Rift Valley fever,Culex annulioris,mosquito,weak,review,Rwanda,Nsengimana et al. 2025,potential vector,lit_review
Rift Valley fever,Anopheles squamosus,mosquito,weak,review,Rwanda,Nsengimana et al. 2025,potential vector,lit_review
Rift Valley fever,Anopheles funestus,mosquito,weak,review,Rwanda,Nsengimana et al. 2025,potential vector,lit_review
Rift Valley fever,Anopheles coustani,mosquito,weak,review,Rwanda,Nsengimana et al. 2025,potential vector,lit_review
Rift Valley fever,Anopheles rufipes,mosquito,weak,review,Rwanda,Nsengimana et al. 2025,potential vector,lit_review
Rift Valley fever,Aedes aegypti,mosquito,weak,review,Rwanda,Nsengimana et al. 2025,potential vector; unlikely major vector,lit_review
Rift Valley fever,Aedes africanus,mosquito,weak,review,Rwanda,Nsengimana et al. 2025,potential vector,lit_review
Rift Valley fever,Aedes (Neomelaniconion) mcintoshi,mosquito,confirmed,review,,Pepin et al. 2010,maintenance vector,lit_review
Rift Valley fever,Aedes (Neomelaniconion) circumluteolus,mosquito,confirmed,review,,Pepin et al. 2010,maintenance vector,lit_review
Rift Valley fever,Aedes (Aedimorphus) vexans arabiensis,mosquito,probable,review,,Pepin et al. 2010,likely maintenance vector,lit_review
Rift Valley fever,Aedes (Aedimorphus) dentatus,mosquito,probable,review,,Pepin et al. 2010,epidemiological importance,lit_review
Rift Valley fever,Culex (Culex) pipiens,mosquito,confirmed,review,,Pepin et al. 2010,1977 Egypt vector,lit_review
Rift Valley fever,Culex (Culex) poicilipes,mosquito,confirmed,review,,Pepin et al. 2010,West Africa outbreak vector,lit_review
Rift Valley fever,Culex (Culex) theileri,mosquito,probable,review,,Pepin et al. 2010,epidemic vector,lit_review
Rift Valley fever,Culex (Culex) tritaeniorhynchus,mosquito,probable,review,,Pepin et al. 2010,Saudi Arabia outbreak,lit_review
Rift Valley fever,Culex (Culex) antennatus,mosquito,candidate,review,,Pepin et al. 2010,significance unclear,lit_review
Rift Valley fever,Culex (Culex) neavei,mosquito,candidate,review,,Pepin et al. 2010,limited support,lit_review
Rift Valley fever,Culex (Culex) zombaensis,mosquito,candidate,review,,Pepin et al. 2010,limited support,lit_review
Rift Valley fever,Aedes (Neomelaniconion) palpalis group,mosquito,weak,review,,Pepin et al. 2010,debated,lit_review
Rift Valley fever,Eretmapodites chrysogaster sensu lato,mosquito,weak,review,,Pepin et al. 2010,limited sample,lit_review
Rift Valley fever,Eretmapodites quinquevittatus,mosquito,weak,review,,Pepin et al. 2010,debated,lit_review
Rift Valley fever,Ochlerotatus juppi,mosquito,weak,review,,Pepin et al. 2010,no clear role,lit_review
Rift Valley fever,Ochlerotatus caballus,mosquito,weak,review,,Pepin et al. 2010,lab only,lit_review
Rift Valley fever,Amblyomma variegatum,tick,weak,review,,Pepin et al. 2010,field isolate,lit_review
Rift Valley fever,Rhipicephalus appendiculatus,tick,weak,review,,Pepin et al. 2010,lab susceptibility,lit_review
Rift Valley fever,Aedes mcintoshi,mosquito,probable,review,East Africa,Rolin et al. 2013,transovarial transmission,lit_review
Rift Valley fever,Culex pipiens,mosquito,candidate,review,Egypt,Rolin et al. 2013,lab competence,lit_review
Rift Valley fever,Aedes taeniorhynchus,mosquito,candidate,review,North America,Rolin et al. 2013,lab competence,lit_review
Rift Valley fever,Anopheles gambiae arabiensis,mosquito,candidate,field,White Nile state; Khartoum state,Seufi and Galal 2010,PCR only,lit_review
Rift Valley fever,Anopheles coustani,mosquito,candidate,field,White Nile state; Khartoum state,Seufi and Galal 2010,PCR only; table/text inconsistent,lit_review
Rift Valley fever,Culex pipiens complex,mosquito,candidate,field,White Nile state; Khartoum state,Seufi and Galal 2010,PCR only,lit_review
Rift Valley fever,Culex poicilipes,mosquito,candidate,field,White Nile state; Khartoum state,Seufi and Galal 2010,PCR only; table/text inconsistent,lit_review
Rift Valley fever,Aedes aegypti,mosquito,candidate,field,White Nile state,Seufi and Galal 2010,PCR only,lit_review
Rift Valley fever,Culex antennatus,mosquito,confirmed,review,Madagascar,Tantely et al. 2015,major vector,lit_review
Rift Valley fever,Anopheles coustani,mosquito,candidate,review,Madagascar,Tantely et al. 2015,candidate vector,lit_review
Rift Valley fever,Anopheles squamosus,mosquito,candidate,review,Madagascar,Tantely et al. 2015,candidate vector,lit_review
Rift Valley fever,Culex univittatus,mosquito,candidate,review,Madagascar,Tantely et al. 2015,candidate vector,lit_review
Rift Valley fever,Culex pipiens,mosquito,candidate,review,Madagascar,Tantely et al. 2015,candidate vector,lit_review
Rift Valley fever,Culex quinquefasciatus,mosquito,candidate,review,Madagascar,Tantely et al. 2015,candidate vector,lit_review
Rift Valley fever,Culex poicilipes,mosquito,candidate,review,Madagascar,Tantely et al. 2015,candidate vector,lit_review
Rift Valley fever,Culex tritaeniorhynchus,mosquito,candidate,review,Madagascar,Tantely et al. 2015,candidate vector,lit_review
Rift Valley fever,Eretmapodites quinquevittatus,mosquito,candidate,review,Madagascar,Tantely et al. 2015,candidate vector,lit_review
Rift Valley fever,Mansonia uniformis,mosquito,candidate,review,Madagascar,Tantely et al. 2015,candidate vector,lit_review
Rift Valley fever,Aedes palpalis,mosquito,probable,lab,Central African Republic,Turell et al. 2008,transmitted by bite,lit_review
Rift Valley fever,Aedes mcintoshi,mosquito,probable,lab,Kenya,Turell et al. 2008,transmitted by bite,lit_review
Rift Valley fever,Aedes circumluteolus,mosquito,probable,lab,Kenya,Turell et al. 2008,transmitted by bite,lit_review
Rift Valley fever,Culex antennatus,mosquito,probable,lab,Kenya,Turell et al. 2008,transmitted by bite,lit_review
Rift Valley fever,Culex pipiens,mosquito,probable,lab,Egypt,Turell et al. 2008,transmitted by bite,lit_review
Rift Valley fever,Aedes aegypti,mosquito,weak,lab,Kenya,Turell et al. 2008,inoculated transmission only,lit_review
Rift Valley fever,Aedes calceatus,mosquito,weak,lab,Kenya,Turell et al. 2008,no bite transmission in this study,lit_review
Rift Valley fever,Culex quinquefasciatus,mosquito,weak,lab,Kenya,Turell et al. 2008,no bite transmission in this study,lit_review
Rift Valley fever,Aedes aegypti,mosquito,probable,review,,Wu et al. 2025,highly competent Aedes vector,lit_review
Rift Valley fever,Aedes albopictus,mosquito,probable,review,,Wu et al. 2025,highly competent Aedes vector,lit_review
SFTSV,Haemaphysalis longicornis,tick,confirmed,review,Asia-Pacific region,Casel et al. 2021,main transmission vector,lit_review
SFTSV,Haemaphysalis flava,tick,weak,review,SFTS endemic areas,Casel et al. 2021,PCR only,lit_review
SFTSV,Rhipicephalus microplus,tick,weak,review,SFTS endemic areas,Casel et al. 2021,PCR only,lit_review
SFTSV,Amblyomma testudinarium,tick,weak,review,SFTS endemic areas,Casel et al. 2021,PCR only,lit_review
SFTSV,Dermacentor nuttalli,tick,weak,review,SFTS endemic areas,Casel et al. 2021,PCR only,lit_review
SFTSV,Hyalomma asiaticum,tick,weak,review,SFTS endemic areas,Casel et al. 2021,PCR only,lit_review
SFTSV,Ixodes nipponensis,tick,weak,review,SFTS endemic areas,Casel et al. 2021,PCR only,lit_review
SFTSV,Haemaphysalis longicornis,tick,confirmed,review,,Cui et al. 2024,main vector,lit_review
SFTSV,Ixodes sinensis,tick,confirmed,review,central and southern China,Cui et al. 2024,also vector; human-feeding note,lit_review
SFTSV,Haemaphysalis flava,tick,confirmed,review,,Cui et al. 2024,also vector,lit_review
SFTSV,Amblyomma testudinarium,tick,confirmed,review,,Cui et al. 2024,also vector,lit_review
SFTSV,Ixodes nipponensis,tick,confirmed,review,,Cui et al. 2024,also vector,lit_review
SFTSV,Haemaphysalis longicornis,tick,confirmed,field+lab,China,Hu et al. 2020,positive control; established vector,lit_review
SFTSV,Ixodes sinensis,tick,confirmed,lab,China,Hu et al. 2020,efficient vector; transovarial,lit_review
SFTSV,Dermacentor silvarum,tick,weak,lab,China,Hu et al. 2020,PCR only; animal negative,lit_review
SFTSV,Ixodes persulcatus,tick,weak,lab,China,Hu et al. 2020,PCR only; no transmission,lit_review
SFTSV,Haemaphysalis longicornis,tick,candidate,review,,Huang et al. 2020,suspected vector,lit_review
