disease,v_species,v_group,evidence_level,evidence_basis,location,source,notes,record_source
Crimean-Congo haemorrhagic fever,Ixodes ricinus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus (Boophilus) annulatus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus appendiculatus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus (Boophilus) decoloratus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus evertsi evertsi,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus geigyi,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus guilhoni,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus sanguineus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus turanicus,tick,candidate,review,,Celina et al. 2025,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma spp.,tick,confirmed,review,Africa/Asia/Southern Europe,de la Fuente et al. 2017,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,confirmed,field+lab,,EFSA 2010,s.l. complex principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma rufipes,tick,candidate,lab,,EFSA 2010,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma truncatum,tick,probable,lab,,EFSA 2010,experimental transmission,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma scupense,tick,candidate,review,,EFSA 2010,syn Hy. detritum potential vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma anatolicum,tick,candidate,review,,EFSA 2010,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma excavatum,tick,candidate,review,,EFSA 2010,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma dromedarii,tick,candidate,review,,EFSA 2010,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma impeltatum,tick,probable,lab,,EFSA 2010,experimental transmission,lit_review
Crimean-Congo haemorrhagic fever,Ixodes ricinus,tick,weak,review,,EFSA 2010,not ascertained,lit_review
Crimean-Congo haemorrhagic fever,Dermacentor marginatus,tick,weak,review,,EFSA 2010,no conclusive studies,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus sanguineus,tick,candidate,review,,EFSA 2010,associated with CCHFV,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus bursa,tick,probable,field,,EFSA 2010,putative vector,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus rossicus,tick,candidate,review,,EFSA 2010,associated with CCHFV,lit_review
Crimean-Congo haemorrhagic fever,Haemaphysalis punctata,tick,candidate,review,,EFSA 2010,associated with CCHFV,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus pumilio,tick,candidate,review,,EFSA 2010,associated with CCHFV,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus turanicus,tick,candidate,review,,EFSA 2010,associated with CCHFV,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus evertsi,tick,candidate,lab,,EFSA 2010,experimental infection,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,confirmed,review,Eurasia,Estrada-Pena et al. 2012,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma anatolicum,tick,confirmed,review,Eurasia,Estrada-Pena et al. 2012,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma scupense,tick,probable,review,Eurasia,Estrada-Pena et al. 2012,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma turanicum,tick,probable,review,Eurasia,Estrada-Pena et al. 2012,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma rufipes,tick,weak,review,South Africa,Estrada-Pena et al. 2012,field infection only,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma truncatum,tick,weak,review,South Africa,Estrada-Pena et al. 2012,field infection only,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus evertsi,tick,weak,review,South Africa,Estrada-Pena et al. 2012,field positive only,lit_review
