target_id,query_pathogen_label,query_pathogen_source,pathogen_species_name,pathogen_taxid,source_db,query_used,query_strategy,query_source,retrieval_policy,allow_sampling,analysis_unit_ids,readiness_disease_names,readiness_row_count,manifest_status,manifest_status_reason,qa_flags,existing_genbank_country_evidence,existing_genbank_distinct_countries_or_territories,current_target_id,current_manifest_query_strategy
Borrelia_hermsii,Borrelia hermsii,pathogen_species_name,Borrelia hermsii,140,nuccore,txid140[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_97,Borrelia hermsii,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,2,NA,NA
Burkholderia_pseudomallei,Burkholderia pseudomallei,pathogen_species_name,Burkholderia pseudomallei,28450,nuccore,txid28450[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_33,Melioidosis,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,NA,FALSE,0,NA,NA
Capripoxvirus_lumpyskinpox,Capripoxvirus lumpyskinpox,pathogen_species_name,Capripoxvirus lumpyskinpox,3427718; 59509,nuccore,(txid3427718[Organism:exp] OR txid59509[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_54,Lumpy skin disease,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,58,NA,NA
Coltivirus_dermacentoris,Coltivirus dermacentoris,pathogen_species_name,Coltivirus dermacentoris,2748762; 3428066,nuccore,(txid2748762[Organism:exp] OR txid3428066[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_84,Colorado tick fever,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,2,NA,NA
Coxiella_burnetii,Coxiella burnetii,pathogen_species_name,Coxiella burnetii,777,nuccore,txid777[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_62,Q fever,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,61,NA,NA
Eastern_equine_encephalitis_virus,Eastern equine encephalitis virus,pathogen_species_name,Eastern equine encephalitis virus,11021,nuccore,txid11021[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_37,EEE,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,20,NA,NA
Ehrlichia_chaffeensis,Ehrlichia chaffeensis,pathogen_species_name,Ehrlichia chaffeensis,945,nuccore,txid945[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_86,Ehrlichia chaffeensis,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,18,NA,NA
Francisella_tularensis,Francisella tularensis,pathogen_species_name,Francisella tularensis,263,nuccore,txid263[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_60,Tularemia,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,NA,FALSE,0,NA,NA
Henipavirus_hendraense,Henipavirus hendraense,pathogen_species_name,Henipavirus hendraense,3052223,nuccore,txid3052223[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_13,Hendra,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,2,NA,NA
Henipavirus_nipahense,Henipavirus nipahense,pathogen_species_name,Henipavirus nipahense,3052225,nuccore,txid3052225[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_12,Nipah virus disease,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,8,NA,NA
Leishmania_aethiopica,Leishmania aethiopica,pathogen_species_name,Leishmania aethiopica,5667,nuccore,txid5667[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_96,Leishmania aethiopica,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,3,NA,NA
Lyssavirus_australis,Lyssavirus australis,pathogen_species_name,Lyssavirus australis,90961,nuccore,txid90961[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_79,Australian bat lyssavirus,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,1,NA,NA
Lyssavirus_bokeloh,Lyssavirus bokeloh,pathogen_species_name,Lyssavirus bokeloh,1072176,nuccore,txid1072176[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_77,Bokeloh bat lyssavirus,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,3,NA,NA
Lyssavirus_duvenhage,Lyssavirus duvenhage,pathogen_species_name,Lyssavirus duvenhage,38767,nuccore,txid38767[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_78,Duvenhage,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,3,NA,NA
Lyssavirus_irkut,Lyssavirus irkut,pathogen_species_name,Lyssavirus irkut,249583,nuccore,txid249583[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_76,Irkut,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,2,NA,NA
Lyssavirus_rabies,Lyssavirus rabies,pathogen_species_name,Lyssavirus rabies,11292,nuccore,txid11292[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_53,Rabies,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,137,NA,NA
Mammarenavirus_guanaritoense,Mammarenavirus guanaritoense,pathogen_species_name,Mammarenavirus guanaritoense,3052307,nuccore,txid3052307[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_73,Guanarito,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,3,NA,NA
Mammarenavirus_juninense,Mammarenavirus juninense,pathogen_species_name,Mammarenavirus juninense,2169991,nuccore,txid2169991[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_20,Argentine hemorrhagic fever,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,3,NA,NA
