target_id,query_pathogen_label,query_pathogen_source,pathogen_species_name,pathogen_taxid,source_db,query_used,query_strategy,query_source,retrieval_policy,allow_sampling,analysis_unit_ids,readiness_disease_names,readiness_row_count,manifest_status,manifest_status_reason,qa_flags,existing_genbank_country_evidence,existing_genbank_distinct_countries_or_territories,current_target_id,current_manifest_query_strategy
Orthopoxvirus_monkeypox,Orthopoxvirus monkeypox,pathogen_species_name,Orthopoxvirus monkeypox,10244; 3431483,nuccore,(txid10244[Organism:exp] OR txid3431483[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_15,Mpox (Monkeypox),1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,59,NA,NA
Orthoreovirus_mammalis,Orthoreovirus mammalis,manual_genbank_readiness_override,Orthoreovirus mammalis,351073,nuccore,txid351073[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,who_30,Reovirus infection (usually mild),1,ready_for_future_retrieval,manual GenBank query override applied,non_include_scope; manual_genbank_override; already_has_genbank_country_evidence,TRUE,25,NA,NA
Pararubulavirus_menangleense,Pararubulavirus menangleense,pathogen_species_name,Pararubulavirus menangleense,3052599,nuccore,txid3052599[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_98,Menangle,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,1,NA,NA
Paslahepevirus_balayani,Paslahepevirus balayani,pathogen_species_name,Paslahepevirus balayani,1678143,nuccore,txid1678143[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_28,Hepatitis E,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,62,NA,NA
Phlebovirus_riftense,Phlebovirus riftense,pathogen_species_name,Phlebovirus riftense,3052676,nuccore,txid3052676[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_8,Rift Valley fever,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,33,NA,NA
Plasmodium_knowlesi,Plasmodium knowlesi,pathogen_species_name,Plasmodium knowlesi,5850,nuccore,txid5850[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_42,Zoonotic malaria (P. knowlesi),1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,16,NA,NA
Rickettsia_conorii_subsp_indica,Rickettsia conorii subsp. indica,manual_genbank_readiness_override,Rickettsia conorii,317865,nuccore,txid317865[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_87,Rickettsia conorii indica,1,ready_for_future_retrieval,manual GenBank query override applied,non_include_scope; match_review_flag; manual_genbank_override; already_has_genbank_country_evidence,TRUE,3,NA,NA
Rickettsia_rickettsii,Rickettsia rickettsii,pathogen_species_name,Rickettsia rickettsii,783,nuccore,txid783[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_34,Brazilian spotted fever,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,11,NA,NA
Rickettsia_typhi,Rickettsia typhi,pathogen_species_name,Rickettsia typhi,785,nuccore,txid785[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_50,Murine typhus,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,21,NA,NA
Rocio_virus,Rocio virus,manual_genbank_readiness_override,Orthoflavivirus ilheusense,64315,nuccore,txid64315[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_92,Rocio,1,ready_for_future_retrieval,manual GenBank query override applied,non_include_scope; shared_species_proxy; match_review_flag; manual_genbank_override; already_has_genbank_country_evidence,TRUE,1,NA,NA
Salmonella_enterica_non_typhoidal_serovars,Salmonella enterica non typhoidal serovars,pathogen_species_name,Salmonella enterica non typhoidal serovars,28901,nuccore,txid28901[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,who_27,Non-typhoidal salmonellosis,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope,FALSE,0,NA,NA
Trypanosoma_cruzi,Trypanosoma cruzi,pathogen_species_name,Trypanosoma cruzi,5693,nuccore,txid5693[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_32,Chagas (acute),1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,NA,FALSE,0,NA,NA
Western_equine_encephalitis_virus,Western equine encephalitis virus,pathogen_species_name,Western equine encephalitis virus,11039,nuccore,txid11039[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_38,WEE,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,10,NA,NA
Yersinia_pestis,Yersinia pestis,pathogen_species_name,Yersinia pestis,632,nuccore,txid632[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_17,Plague,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,36,NA,NA
