batch_id,source_id,source_title,source_url,doi,pmid,pmcid,source_access,file_name,file_name_piece,local_pdf_exists,local_pdf_path
n_batch_1_ebola_sudan_marburg_nipah,NIP6,"High Pathogenicity of Nipah Virus from Pteropus lylei Fruit Bats, Cambodia; Genetic characterization of Nipah virus from Thai fruit bats (Pteropus lylei)",https://pubmed.ncbi.nlm.nih.gov/31855143/; https://sciendo.com/article/10.5372/1905-7415.0706.244,10.3201/eid2601.191284; 10.5372/1905-7415.0706.244,31855143,PMC6924896,abstract_only,"19-1284.pdf, 10.5372_1905-7415.0706.244.pdf",19-1284.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/19-1284.pdf
n_batch_1_ebola_sudan_marburg_nipah,SUD1,Sudan virus disease - Uganda,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON556; https://www.who.int/southeastasia/outbreaks-and-emergencies/disease-outbreak-news/item/2025-DON566,none,none,none,official_page,,,FALSE,
n_batch_2_lassa_hantaan_argentine_hf,AHF-S3,A longitudinal study of Junin virus activity in the rodent reservoir of Argentine hemorrhagic fever,https://pubmed.ncbi.nlm.nih.gov/1335214/,10.4269/ajtmh.1992.47.749,1335214,,abstract_only,Mills-Caldern-JuninVirus-LongitudinalStudy-1992.pdf,Mills-Caldern-JuninVirus-LongitudinalStudy-1992.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/Mills-Caldern-JuninVirus-LongitudinalStudy-1992.pdf
n_batch_2_lassa_hantaan_argentine_hf,AHF-S5,Epidemiology of Argentine hemorrhagic fever,https://pubmed.ncbi.nlm.nih.gov/2841151/,10.1007/BF00144764,2841151,,abstract_only,,,FALSE,
n_batch_2_lassa_hantaan_argentine_hf,AHF-S6,Junin virus: Infectious substances pathogen safety data sheet,https://www.canada.ca/en/public-health/services/laboratory-biosafety-biosecurity/pathogen-safety-data-sheets-risk-assessment/junin-virus.html,,,,official_page,,,FALSE,
n_batch_2_lassa_hantaan_argentine_hf,LF-S1,Lassa fever fact sheet,https://www.who.int/news-room/fact-sheets/detail/lassa-fever,,,,official_page,,,FALSE,
n_batch_2_lassa_hantaan_argentine_hf,LF-S3,New Hosts of The Lassa Virus,https://pubmed.ncbi.nlm.nih.gov/27140942/,10.1038/srep25280,27140942,PMC4853722,full_text,srep25280.pdf,srep25280.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/srep25280.pdf
n_batch_2_lassa_hantaan_argentine_hf,LF-S4,"Systematics, Ecology, and Host Switching: Attributes Affecting Emergence of the Lassa Virus in Rodents across Western Africa",https://www.mdpi.com/1999-4915/12/3/312,10.3390/v12030312,32183319,PMC7150792,full_text,viruses-12-00312.pdf,viruses-12-00312.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/viruses-12-00312.pdf
n_batch_3_h5n1_mpox,H5N1-03,Influenza (avian and other zoonotic),https://www.who.int/news-room/fact-sheets/detail/influenza-%28avian-and-other-zoonotic%29,,,,official_page,,,FALSE,
n_batch_3_h5n1_mpox,H5N1-05,"Avian influenza A (H5N1) virus in dairy cattle: origin, evolution, and cross-species transmission",https://pubmed.ncbi.nlm.nih.gov/39535188/,10.1128/mbio.02542-24,39535188,,abstract_only,mostafa-et-al-2024-avian-influenza-a-(h5n1)-virus-in-dairy-cattle-origin-evolution-and-cross-species-transmission.pdf,mostafa-et-al-2024-avian-influenza-a-(h5n1)-virus-in-dairy-cattle-origin-evolution-and-cross-species-transmission.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/mostafa-et-al-2024-avian-influenza-a-(h5n1)-virus-in-dairy-cattle-origin-evolution-and-cross-species-transmission.pdf
