Pathogen,PathogenTaxID,PHEIC risk,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,MainSource,PathogenType,in_gibb_etal,in_empres_i,Host_raw,host_name_cleaning_method,analysis_unit_id,master_row,disease_master_name,resolved_pathogen_name,host_query_bucket,host_query_include_default,match_review_flag,shared_species_proxy_flag,match_review_notes,match_method,source_database,source_assoc_id,source_host_flag_id,host_query_pathogen_names,host_query_taxids,host_count_for_analysis_unit,all_method_host_count_for_analysis_unit,host_count_flag,host_taxonomy_ready,host_taxonomy_flag,is_human_host,is_model_or_lab_host,is_domestic_or_livestock_hint
henipavirus hendraense,3052223,,Hendra virus disease,9606,Homo sapiens,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,hominidae,primates,Isolation/Observation,TRUE,TRUE,human_host_flag; model_or_lab_host_flag,VIRION,virus,,,homo sapiens,source_taxid_host,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,496443,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,TRUE,TRUE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,58082,pteropus admiralitatum,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,pteropus admiralitatum,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799340,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,9402,Pteropus alecto,monjiviricetes,mononegavirales,paramyxoviridae,,CHORDATA,MAMMALIA,PTEROPODIDAE,CHIROPTERA,Isolation/Observation,TRUE,TRUE,,VIRION,virus,,,pteropus alecto,source_taxid_host,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799401,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,1291037,pteropus capistratus,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,pteropus capistratus,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799499,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,328804,pteropus conspicillatus,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,Isolation/Observation,TRUE,TRUE,,VIRION,virus,,,pteropus conspicillatus,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799501,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,328804,pteropus conspicillatus,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,Not specified,FALSE,FALSE,detection_method=Not specified,VIRION,virus,,,pteropus conspicillatus,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,799502,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,9405,Pteropus hypomelanus,monjiviricetes,mononegavirales,paramyxoviridae,,CHORDATA,MAMMALIA,PTEROPODIDAE,CHIROPTERA,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,pteropus hypomelanus,source_taxid_host,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799513,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,170224,pteropus neohibernicus,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,pteropus neohibernicus,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799864,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,9403,pteropus poliocephalus,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,Isolation/Observation,TRUE,TRUE,,VIRION,virus,,,pteropus poliocephalus,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799912,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,9403,pteropus poliocephalus,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,PCR/Sequencing,TRUE,TRUE,,VIRION,virus,,,pteropus poliocephalus,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,GenBank,799916,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
