analysis_unit_id,master_row,disease_master_name,resolved_disease_name,resolved_pathogen_name,resolved_pathogen_rank,include_as_analysis_unit,split_group,source,source_pathogen_name,source_taxid,source_family,source_type,match_type,match_distance,alias_type,alias_notes,alias_review_flag,match_status
master_47,47,Ross River virus,Ross River virus disease,Ross River virus,species,yes,ross_river_virus,clover,ross river virus,11029,togaviridae,virus,exact,0,,,,accepted_candidate
master_47,47,Ross River virus,Ross River virus disease,Ross River virus,species,yes,ross_river_virus,virion,alphavirus rossriver,11029,togaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_47,47,Ross River virus,Ross River virus disease,Ross River virus,species,yes,ross_river_virus,virion,alphavirus rossriver,3426314,togaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_48,48,Barmah Forest virus,Barmah Forest virus disease,Barmah Forest virus,species,yes,barmah_forest_virus,clover,barmah forest virus,11020,togaviridae,virus,exact,0,,,,accepted_candidate
master_48,48,Barmah Forest virus,Barmah Forest virus disease,Barmah Forest virus,species,yes,barmah_forest_virus,virion,alphavirus barmah,11020,togaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_48,48,Barmah Forest virus,Barmah Forest virus disease,Barmah Forest virus,species,yes,barmah_forest_virus,virion,alphavirus barmah,3426294,togaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_49,49,Bartonellosis,Bartonellosis,Bartonella bacilliformis,species,yes,bartonellosis,clover,bartonella bacilliformis,774,bartonellaceae,bacteria/rickettsia,exact,0,,,,accepted_candidate
master_50,50,Murine typhus,Murine typhus,Rickettsia typhi,species,yes,murine_typhus,clover,rickettsia typhi,785,rickettsiaceae,bacteria/rickettsia,exact,0,,,,accepted_candidate
master_52,52,Bluetongue,Bluetongue,Bluetongue virus,species,yes,bluetongue,clover,bluetongue virus,40051,reoviridae,virus,exact,0,,,,accepted_candidate
master_52,52,Bluetongue,Bluetongue,Bluetongue virus,species,yes,bluetongue,virion,orbivirus caerulinguae,3431240,sedoreoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_52,52,Bluetongue,Bluetongue,Bluetongue virus,species,yes,bluetongue,virion,orbivirus caerulinguae,40051,sedoreoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_53,53,Rabies,Rabies,Rabies lyssavirus,species,yes,rabies,clover,rabies lyssavirus,11292,rhabdoviridae,virus,exact,0,,,,accepted_candidate
master_53,53,Rabies,Rabies,Rabies lyssavirus,species,yes,rabies,virion,lyssavirus rabies,11292,rhabdoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_54,54,Lumpy skin disease,Lumpy skin disease,Lumpy skin disease virus,species,yes,lumpy_skin_disease,clover,lumpy skin disease virus,59509,poxviridae,virus,exact,0,,,,accepted_candidate
master_54,54,Lumpy skin disease,Lumpy skin disease,Lumpy skin disease virus,species,yes,lumpy_skin_disease,virion,capripoxvirus lumpyskinpox,3427718,poxviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_54,54,Lumpy skin disease,Lumpy skin disease,Lumpy skin disease virus,species,yes,lumpy_skin_disease,virion,capripoxvirus lumpyskinpox,59509,poxviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_55,55,Epizootic haemorrhagic disease,Epizootic haemorrhagic disease,Epizootic hemorrhagic disease virus,species,yes,epizootic_haemorrhagic_disease,clover,epizootic hemorrhagic disease virus,40054,reoviridae,virus,exact,0,,,,accepted_candidate
master_55,55,Epizootic haemorrhagic disease,Epizootic haemorrhagic disease,Epizootic hemorrhagic disease virus,species,yes,epizootic_haemorrhagic_disease,virion,orbivirus ruminantium,3431252,sedoreoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_55,55,Epizootic haemorrhagic disease,Epizootic haemorrhagic disease,Epizootic hemorrhagic disease virus,species,yes,epizootic_haemorrhagic_disease,virion,orbivirus ruminantium,40054,sedoreoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_56,56,African horse sickness,African horse sickness,African horse sickness virus,species,yes,african_horse_sickness,clover,african horse sickness virus,40050,reoviridae,virus,exact,0,,,,accepted_candidate
master_56,56,African horse sickness,African horse sickness,African horse sickness virus,species,yes,african_horse_sickness,virion,orbivirus alphaequi,40050,sedoreoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_60,60,Tularemia,Tularemia,Francisella tularensis,species,yes,tularemia,clover,francisella tularensis,263,francisellaceae,bacteria/rickettsia,exact,0,,,,accepted_candidate
master_62,62,Q fever,Q fever,Coxiella burnetii,species,yes,q_fever,clover,coxiella burnetii,777,coxiellaceae,bacteria/rickettsia,exact,0,,,,accepted_candidate
master_63,63,Schmallenberg,Schmallenberg disease,Schmallenberg virus,species,yes,schmallenberg,virion,orthobunyavirus schmallenbergense,159141,peribunyaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_63,63,Schmallenberg,Schmallenberg disease,Schmallenberg virus,species,yes,schmallenberg,virion,orthobunyavirus schmallenbergense,159150,peribunyaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_63,63,Schmallenberg,Schmallenberg disease,Schmallenberg virus,species,yes,schmallenberg,virion,orthobunyavirus schmallenbergense,3052437,peribunyaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_65,65,Sin Nombre,Sin Nombre hantavirus infection,Sin Nombre orthohantavirus,species,yes,sin_nombre,clover,sin nombre orthohantavirus,1980491,hantaviridae,virus,exact,0,,,,accepted_candidate
master_65,65,Sin Nombre,Sin Nombre hantavirus infection,Sin Nombre orthohantavirus,species,yes,sin_nombre,virion,orthohantavirus sinnombreense,3052499,hantaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_65,65,Sin Nombre,Sin Nombre hantavirus infection,Sin Nombre orthohantavirus,species,yes,sin_nombre,virion,orthohantavirus sinnombreense,44755,hantaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_66,66,Andes,Andes hantavirus infection,Andes orthohantavirus,species,yes,andes,clover,andes orthohantavirus,1980456,hantaviridae,virus,exact,0,,,,accepted_candidate
master_66,66,Andes,Andes hantavirus infection,Andes orthohantavirus,species,yes,andes,virion,orthohantavirus andesense,1980456,hantaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_67,67,Prospect Hill,Prospect Hill hantavirus infection,Prospect Hill orthohantavirus,species,yes,prospect_hill,clover,prospect hill orthohantavirus,1980485,hantaviridae,virus,exact,0,,,,accepted_candidate
master_67,67,Prospect Hill,Prospect Hill hantavirus infection,Prospect Hill orthohantavirus,species,yes,prospect_hill,virion,orthohantavirus prospectense,3052492,hantaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_69,69,Bayou,Bayou hantavirus infection,Bayou orthohantavirus,species,yes,bayou,clover,bayou orthohantavirus,1980459,hantaviridae,virus,exact,0,,,,accepted_candidate
master_69,69,Bayou,Bayou hantavirus infection,Bayou orthohantavirus,species,yes,bayou,virion,orthohantavirus bayoui,3052470,hantaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_72,72,Machupo,Bolivian hemorrhagic fever,Machupo mammarenavirus,species,yes,machupo,clover,machupo mammarenavirus,11628,arenaviridae,virus,exact,0,,,,accepted_candidate
master_72,72,Machupo,Bolivian hemorrhagic fever,Machupo mammarenavirus,species,yes,machupo,virion,mammarenavirus machupoense,3052317,arenaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_73,73,Guanarito,Venezuelan hemorrhagic fever,Guanarito mammarenavirus,species,yes,guanarito,clover,guanarito mammarenavirus,45219,arenaviridae,virus,exact,0,,,,accepted_candidate
master_73,73,Guanarito,Venezuelan hemorrhagic fever,Guanarito mammarenavirus,species,yes,guanarito,virion,mammarenavirus guanaritoense,3052307,arenaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_76,76,Irkut,Irkut lyssavirus infection,Irkut lyssavirus,species,yes,irkut,clover,irkut lyssavirus,249583,rhabdoviridae,virus,exact,0,,,,accepted_candidate
master_76,76,Irkut,Irkut lyssavirus infection,Irkut lyssavirus,species,yes,irkut,virion,lyssavirus irkut,249583,rhabdoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_77,77,Bokeloh bat lyssavirus,Bokeloh bat lyssavirus infection,Bokeloh bat lyssavirus,species,yes,bokeloh_bat_lyssavirus,clover,bokeloh bat lyssavirus,1072176,rhabdoviridae,virus,exact,0,,,,accepted_candidate
master_77,77,Bokeloh bat lyssavirus,Bokeloh bat lyssavirus infection,Bokeloh bat lyssavirus,species,yes,bokeloh_bat_lyssavirus,virion,lyssavirus bokeloh,1072176,rhabdoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_78,78,Duvenhage,Duvenhage lyssavirus infection,Duvenhage lyssavirus,species,yes,duvenhage,clover,duvenhage lyssavirus,38767,rhabdoviridae,virus,exact,0,,,,accepted_candidate
master_78,78,Duvenhage,Duvenhage lyssavirus infection,Duvenhage lyssavirus,species,yes,duvenhage,virion,lyssavirus duvenhage,38767,rhabdoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_79,79,Australian bat lyssavirus,Australian bat lyssavirus infection,Australian bat lyssavirus,species,yes,australian_bat_lyssavirus,clover,australian bat lyssavirus,90961,rhabdoviridae,virus,exact,0,,,,accepted_candidate
master_79,79,Australian bat lyssavirus,Australian bat lyssavirus infection,Australian bat lyssavirus,species,yes,australian_bat_lyssavirus,virion,lyssavirus australis,90961,rhabdoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,yes,alkhumra,virion,orthoflavivirus kyasanurense,3048170,flaviviridae,virus,manual_alias,0,shared_species_proxy,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,TRUE,accepted_candidate
