"species_name","species_name_canonical","species_role","sdm_needed_for_disease","sdm_available","sdm_species","run_status","run_priority","occurrence_method","gbif_occurrence_method","start_year","end_year","min_points","disease_count","disease_names","analysis_unit_ids","tax_ids","vector_group","vector_taxon_rank","best_evidence_level","best_evidence_basis","vector_record_sources","bites_humans","bites_humans_basis","vector_competence_status","transmission_demonstrated","natural_infection_reported","uncertainty_reason","taxonomy_caution","occurrence_status","occurrence_rows_raw","occurrence_rows_clean","passes_min_points","gbif_occurrence_path","local_occurrence_path","combined_occurrence_path","model_status","model_output_path","notes"
"Rhipicephalus microplus","Rhipicephalus microplus","vector","yes",FALSE,,"occurrences_ready",201,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","candidate","review","lit_review",FALSE,"","","","","",FALSE,"cleaned",971,377,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Rhipicephalus_microplus/combined/cleaned/Rhipicephalus_microplus_cleaned.csv","not_run",,
"Rhipicephalus spp","Rhipicephalus spp","vector","yes",FALSE,,"occurrences_ready",202,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","genus_only","candidate","review","lit_review",,"","","","","",FALSE,"cleaned",13197,2730,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Rhipicephalus_spp/combined/cleaned/Rhipicephalus_spp_cleaned.csv","not_run",,
"Verrallina lineato","Verrallina lineato","vector","yes",FALSE,,"occurrences_ready",203,"combined","gbif-download",1970,2026,20,1,"West Nile fever","master_6",,"mosquito","species","candidate","efsa_appendix_g","EFSA",,"","","","","",TRUE,"cleaned_below_min_points",35,17,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Verrallina_lineato/combined/cleaned/Verrallina_lineato_cleaned.csv","not_run",,
"Culex annulirostris","Culex annulirostris","vector","yes",FALSE,,"occurrences_ready",204,"combined","gbif-download",1970,2026,20,3,"Chikungunya fever; West Nile fever; Zika virus disease","master_3; master_4; master_6",,"mosquito","species","weak","field+lab; lab; review","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","","low_competence_or_efficiency",FALSE,"cleaned",3110,431,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_annulirostris/combined/cleaned/Culex_annulirostris_cleaned.csv","not_run",,
"Culex sitiens","Culex sitiens","vector","yes",FALSE,,"occurrences_ready",205,"combined","gbif-download",1970,2026,20,2,"Chikungunya fever; West Nile fever","master_4; master_6",,"mosquito","species","weak","efsa_appendix_g; lab","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","","low_competence_or_efficiency",FALSE,"cleaned",912,298,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_sitiens/combined/cleaned/Culex_sitiens_cleaned.csv","not_run",,
"Ochlerotatus sierrensis","Ochlerotatus sierrensis","vector","yes",FALSE,,"occurrences_ready",206,"combined","gbif-download",1970,2026,20,1,"West Nile fever","master_6",,"mosquito","species","weak","lab","lit_review",,"","competent","yes","","low_competence_or_efficiency",FALSE,"cleaned",736,333,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Ochlerotatus_sierrensis/combined/cleaned/Ochlerotatus_sierrensis_cleaned.csv","not_run",,
"Aedes palpalis group","Aedes palpalis group","vector","yes",FALSE,,"pending",207,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","group","weak","review","lit_review",,"","mixed","mixed","yes","mixed_or_debated_evidence",FALSE,"no_source_records",0,0,FALSE,,,,"not_run",,
"Anopheles funestus","Anopheles funestus","vector","yes",FALSE,,"occurrences_ready",208,"combined","gbif-download",1970,2026,20,2,"Rift Valley fever; Yellow fever","master_5; master_8",,"mosquito","species","weak","review","lit_review",TRUE,"blood_meal","unclear","","yes","field_detection_only",FALSE,"cleaned",36522,3165,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Anopheles_funestus/combined/cleaned/Anopheles_funestus_cleaned.csv","not_run",,
"Anopheles amictus","Anopheles amictus","vector","yes",FALSE,,"occurrences_ready",209,"combined","gbif-download",1970,2026,20,1,"West Nile fever","master_6",,"mosquito","species","weak","field","lit_review",TRUE,"blood_meal","unclear","","","",FALSE,"cleaned_below_min_points",98,18,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Anopheles_amictus/combined/cleaned/Anopheles_amictus_cleaned.csv","not_run",,
"Anopheles rufipes","Anopheles rufipes","vector","yes",FALSE,,"occurrences_ready",210,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","species","weak","review","lit_review",TRUE,"blood_meal","unclear","","yes","",FALSE,"cleaned",1768,362,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Anopheles_rufipes/combined/cleaned/Anopheles_rufipes_cleaned.csv","not_run",,
"Culex annulioris","Culex annulioris","vector","yes",FALSE,,"occurrences_ready",211,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","species","weak","review","lit_review",TRUE,"blood_meal","unclear","","yes","",FALSE,"cleaned",2262,835,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_annulioris/combined/cleaned/Culex_annulioris_cleaned.csv","not_run",,
"Culex coronator","Culex coronator","vector","yes",FALSE,,"occurrences_ready",212,"combined","gbif-download",1970,2026,20,1,"Zika virus disease","master_3",,"mosquito","species","weak","review","lit_review",TRUE,"blood_meal","unclear","","yes","field_detection_only",FALSE,"cleaned",18158,1253,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_coronator/combined/cleaned/Culex_coronator_cleaned.csv","not_run",,
"Ixodes scapularis","Ixodes scapularis","vector","yes",FALSE,,"occurrences_ready",213,"combined","gbif-download",1970,2026,20,1,"Tick-borne encephalitis","master_23",,"tick","species","weak","lab","lit_review",TRUE,"on_host_occurrence","unclear","yes","","",FALSE,"cleaned",38913,11761,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Ixodes_scapularis/combined/cleaned/Ixodes_scapularis_cleaned.csv","not_run",,
"Anopheles bradleyi crucians","Anopheles bradleyi crucians","vector","yes",FALSE,,"occurrences_ready",214,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","infraspecific","weak","review","lit_review",,"","unclear","","","low_competence_or_efficiency",FALSE,"cleaned",212,21,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Anopheles_bradleyi_crucians/combined/cleaned/Anopheles_bradleyi_crucians_cleaned.csv","not_run",,
"Anopheles gambiae s l","Anopheles gambiae s l","vector","yes",FALSE,,"occurrences_ready",215,"combined","gbif-download",1970,2026,20,1,"Zika virus disease","master_3",,"mosquito","sensu_lato","weak","review","lit_review",,"","unclear","","yes","",FALSE,"cleaned",114554,2126,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Anopheles_gambiae_s_l/combined/cleaned/Anopheles_gambiae_s_l_cleaned.csv","not_run",,
"Eretmapodites chrysogaster sensu lato","Eretmapodites chrysogaster sensu lato","vector","yes",FALSE,,"occurrences_ready",216,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","sensu_lato","weak","review","lit_review",,"","unclear","","yes","limited_or_indirect_support",FALSE,"cleaned_below_min_points",7,5,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Eretmapodites_chrysogaster_sensu_lato/combined/cleaned/Eretmapodites_chrysogaster_sensu_lato_cleaned.csv","not_run",,
"Ixodes gibbosus","Ixodes gibbosus","vector","yes",FALSE,,"occurrences_ready",217,"combined","gbif-download",1970,2026,20,1,"Tick-borne encephalitis","master_23",,"tick","species","weak","review","lit_review",,"","unclear","","","",FALSE,"cleaned",48,36,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Ixodes_gibbosus/combined/cleaned/Ixodes_gibbosus_cleaned.csv","not_run",,
"Ochlerotatus caballus","Ochlerotatus caballus","vector","yes",FALSE,,"occurrences_ready",218,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","species","weak","review","lit_review",,"","unclear","","yes","",FALSE,"cleaned_below_min_points",6,4,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Ochlerotatus_caballus/combined/cleaned/Ochlerotatus_caballus_cleaned.csv","not_run",,
"Ochlerotatus caspius","Ochlerotatus caspius","vector","yes",FALSE,,"occurrences_ready",219,"combined","gbif-download",1970,2026,20,1,"West Nile fever","master_6",,"mosquito","species","weak","field","lit_review",,"","unclear","","","field_detection_only",FALSE,"cleaned",191,72,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Ochlerotatus_caspius/combined/cleaned/Ochlerotatus_caspius_cleaned.csv","not_run",,
"Ochlerotatus juppi","Ochlerotatus juppi","vector","yes",FALSE,,"pending",220,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","species","weak","review","lit_review",,"","unclear","","yes","limited_or_indirect_support",FALSE,"cleaned_below_min_points",1,1,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Ochlerotatus_juppi/combined/cleaned/Ochlerotatus_juppi_cleaned.csv","not_run",,
"Culex quinquefasciatus","Culex quinquefasciatus","vector","yes",FALSE,,"occurrences_ready",221,"combined","gbif-download",1970,2026,20,4,"Dengue; Rift Valley fever; West Nile fever; Zika virus disease","master_2; master_3; master_6; master_8",,"mosquito","species","weak","field+lab; review","EFSA; lit_review; lit_review",TRUE,"blood_meal","not_competent","no","yes","field_detection_only|low_competence_or_efficiency|no_transmission_demonstrated; limited_or_indirect_support|mixed_or_debated_evidence|population_dependent|predicted_only",FALSE,"cleaned",103295,7383,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_quinquefasciatus/combined/cleaned/Culex_quinquefasciatus_cleaned.csv","not_run",,
"Anopheles freeborni","Anopheles freeborni","vector","yes",FALSE,,"occurrences_ready",222,"combined","gbif-download",1970,2026,20,1,"Zika virus disease","master_3",,"mosquito","species","weak","lab","lit_review",TRUE,"blood_meal","not_competent","no","","no_infection_detected",FALSE,"cleaned",12677,809,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Anopheles_freeborni/combined/cleaned/Anopheles_freeborni_cleaned.csv","not_run",,
"Anopheles quadrimaculatus","Anopheles quadrimaculatus","vector","yes",FALSE,,"occurrences_ready",223,"combined","gbif-download",1970,2026,20,1,"Zika virus disease","master_3",,"mosquito","species","weak","lab","lit_review",TRUE,"blood_meal","not_competent","no","","no_infection_detected",FALSE,"cleaned",76734,2634,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Anopheles_quadrimaculatus/combined/cleaned/Anopheles_quadrimaculatus_cleaned.csv","not_run",,
"Aedes calceatus","Aedes calceatus","vector","yes",FALSE,,"pending",224,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","species","weak","lab","lit_review",,"","not_competent","no","","no_transmission_demonstrated",FALSE,"failed_error",,,FALSE,,,,"not_run",,
"Culex pipiens form molestus","Culex pipiens form molestus","vector","yes",FALSE,,"occurrences_ready",225,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","infraspecific","weak","lab","lit_review",,"","not_competent","no","","",FALSE,"cleaned",248848,10054,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_pipiens_form_molestus/combined/cleaned/Culex_pipiens_form_molestus_cleaned.csv","not_run",,
"Aedes grahamii","Aedes grahamii","vector","yes",FALSE,,"pending",226,"combined","gbif-download",1970,2026,20,1,"Zika virus disease","master_3",,"mosquito","species","weak","review","lit_review",,"","","","","",FALSE,"cleaned_below_min_points",10,7,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_grahamii/combined/cleaned/Aedes_grahamii_cleaned.csv","not_run",,
"Aedes jamoti","Aedes jamoti","vector","yes",FALSE,,"pending",227,"combined","gbif-download",1970,2026,20,1,"Zika virus disease","master_3",,"mosquito","species","weak","review","lit_review",,"","","","","",FALSE,"no_source_records",0,0,FALSE,,,,"not_run",,
"Aedes taeniarostris","Aedes taeniarostris","vector","yes",FALSE,,"pending",228,"combined","gbif-download",1970,2026,20,1,"Zika virus disease","master_3",,"mosquito","species","weak","review","lit_review",,"","","","","",FALSE,"no_source_records",0,0,FALSE,,,,"not_run",,
"Aedes unilineatus","Aedes unilineatus","vector","yes",FALSE,,"occurrences_ready",229,"combined","gbif-download",1970,2026,20,1,"Zika virus disease","master_3",,"mosquito","species","weak","review","lit_review",,"","","","","",FALSE,"cleaned_below_min_points",22,15,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_unilineatus/combined/cleaned/Aedes_unilineatus_cleaned.csv","not_run",,
"Eretmapodites inornatus","Eretmapodites inornatus","vector","yes",FALSE,,"pending",230,"combined","gbif-download",1970,2026,20,1,"Zika virus disease","master_3",,"mosquito","species","weak","review","lit_review",,"","","","","",FALSE,"cleaned_below_min_points",4,3,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Eretmapodites_inornatus/combined/cleaned/Eretmapodites_inornatus_cleaned.csv","not_run",,
"Culex antennatus","Culex antennatus","vector","yes",FALSE,,"occurrences_ready",231,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","species","candidate; confirmed","review","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","yes","low_competence_or_efficiency",FALSE,"cleaned",1203,132,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_antennatus/combined/cleaned/Culex_antennatus_cleaned.csv","not_run",,
"Culex poicilipes","Culex poicilipes","vector","yes",FALSE,,"occurrences_ready",232,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","species","confirmed; probable","review","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","yes","field_detection_only|mixed_or_debated_evidence",FALSE,"cleaned",1420,357,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_poicilipes/combined/cleaned/Culex_poicilipes_cleaned.csv","not_run",,
"Culex theileri","Culex theileri","vector","yes",FALSE,,"occurrences_ready",233,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","species","candidate; probable","review","lit_review",TRUE,"blood_meal","competent","yes","yes","",FALSE,"cleaned",1906,755,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_theileri/combined/cleaned/Culex_theileri_cleaned.csv","not_run",,
"Culex tritaeniorhynchus","Culex tritaeniorhynchus","vector","yes",FALSE,,"occurrences_ready",234,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","species","candidate; probable","review","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","yes","",FALSE,"cleaned",7353,954,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_tritaeniorhynchus/combined/cleaned/Culex_tritaeniorhynchus_cleaned.csv","not_run",,
"Culex pipiens","Culex pipiens","vector","yes",FALSE,,"occurrences_ready",235,"combined","gbif-download",1970,2026,20,3,"Rift Valley fever; West Nile fever; Zika virus disease","master_3; master_6; master_8",,"mosquito","species","confirmed; probable","review","EFSA; lit_review; EFSA; lit_review; lit_review; lit_review",TRUE,"blood_meal","mixed","mixed","yes","field_detection_only|population_dependent; limited_or_indirect_support|population_dependent|predicted_only|temperature_dependent; population_dependent|temperature_dependent",FALSE,"cleaned",318039,12786,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_pipiens/combined/cleaned/Culex_pipiens_cleaned.csv","not_run",,
"Aedes mcintoshi","Aedes mcintoshi","vector","yes",FALSE,,"occurrences_ready",236,"combined","gbif-download",1970,2026,20,2,"Rift Valley fever; Yellow fever","master_5; master_8",,"mosquito","species","confirmed; probable","review","lit_review",TRUE,"blood_meal","mixed","mixed","yes","field_detection_only; field_detection_only|population_dependent",FALSE,"cleaned",4838,90,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_mcintoshi/combined/cleaned/Aedes_mcintoshi_cleaned.csv","not_run",,
"Aedes circumluteolus","Aedes circumluteolus","vector","yes",FALSE,,"pending",237,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","species","confirmed; probable","review","lit_review",,"","mixed","mixed","yes","field_detection_only|population_dependent",FALSE,"cleaned_below_min_points",8,5,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_circumluteolus/combined/cleaned/Aedes_circumluteolus_cleaned.csv","not_run",,
"Aedes flavicollis","Aedes flavicollis","vector","yes",FALSE,,"pending",238,"combined","gbif-download",1970,2026,20,1,"Zika virus disease","master_3",,"mosquito","species","candidate; weak","review","lit_review",,"","","","","",FALSE,"cleaned_below_min_points",5,3,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_flavicollis/combined/cleaned/Aedes_flavicollis_cleaned.csv","not_run",,
