"analysis_unit_id","readiness_disease_name","disease_name","species_name","tax_id","species_role","sdm_needed_for_disease","host_role_assignment","host_role_confidence","host_role_needs_manual_review","host_role_assignment_status","sdm_available","sdm_species","recommended_next_action","readiness_blocker","range_limiting_layer","roster_vector_rows","vector_sdm_species_available","direct_vector_species_or_taxa","direct_vector_confirmed_rows","direct_vector_probable_rows","direct_vector_candidate_rows","direct_vector_competent_rows","direct_vector_transmission_yes_rows","direct_vector_natural_infection_yes_rows","genbank_distinct_countries_or_territories","who_don_distinct_countries","tax_id_vector","vector_group","vector_taxon_rank","vector_join_key","has_disease_vector_evidence","has_host_vector_evidence","has_competence_evidence","best_evidence_level","best_evidence_basis","vector_record_sources","bites_humans","bites_humans_basis","vector_competence_status","transmission_demonstrated","natural_infection_reported","vector_role_hint","uncertainty_reason","taxonomy_caution","species_name_canonical","species_key","run_status","run_priority","occurrence_method","gbif_occurrence_method","start_year","end_year","min_points","target_status"
"master_8","Rift Valley fever","Rift Valley fever","Culex pipiens",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","culex pipiens",TRUE,TRUE,TRUE,"confirmed; probable","review","EFSA; lit_review; lit_review",TRUE,"blood_meal","mixed","mixed","yes","candidate_vector|primary_vector","population_dependent|temperature_dependent",FALSE,"Culex pipiens","culex pipiens","pending",135,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex pipiens biotype molestus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","infraspecific","culex pipiens biotype molestus",TRUE,FALSE,FALSE,"candidate","efsa_appendix_g","EFSA",,"","","","","","",FALSE,"Culex pipiens biotype molestus","culex pipiens biotype molestus","pending",136,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex pipiens biotype pipiens",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","infraspecific","culex pipiens biotype pipiens",TRUE,FALSE,FALSE,"candidate","efsa_appendix_g","EFSA",,"","","","","","",FALSE,"Culex pipiens biotype pipiens","culex pipiens biotype pipiens","pending",137,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex pipiens biotype pipiens x biotype molestus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","hybrid","culex pipiens biotype pipiens x biotype molestus",TRUE,FALSE,FALSE,"candidate","efsa_appendix_g","EFSA",,"","","","","","",FALSE,"Culex pipiens biotype pipiens x biotype molestus","culex pipiens biotype pipiens x biotype molestus","pending",138,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex pipiens complex",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","complex","culex pipiens complex",TRUE,FALSE,TRUE,"candidate","field","lit_review",,"","unclear","","yes","","field_detection_only",FALSE,"Culex pipiens complex","culex pipiens complex","pending",139,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex pipiens form molestus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","infraspecific","culex pipiens form molestus",TRUE,FALSE,TRUE,"weak","lab","lit_review",,"","not_competent","no","","","",FALSE,"Culex pipiens form molestus","culex pipiens form molestus","pending",140,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex pipiens hybrid form",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","infraspecific","culex pipiens hybrid form",TRUE,FALSE,TRUE,"probable","lab","lit_review",,"","competent","yes","","","",FALSE,"Culex pipiens hybrid form","culex pipiens hybrid form","pending",141,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex pipiens s l",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","sensu_lato","culex pipiens s l",TRUE,FALSE,FALSE,"candidate","efsa_appendix_g","EFSA",,"","","","","","",FALSE,"Culex pipiens s l","culex pipiens s l","pending",142,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex poicilipes",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","culex poicilipes",TRUE,TRUE,TRUE,"confirmed; probable","review","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","yes","candidate_vector","field_detection_only|mixed_or_debated_evidence",FALSE,"Culex poicilipes","culex poicilipes","pending",143,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex poicilipes theobald",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","infraspecific","culex poicilipes theobald",TRUE,FALSE,TRUE,"confirmed","field+lab","lit_review",,"","mixed","mixed","","","strain_dependent",FALSE,"Culex poicilipes theobald","culex poicilipes theobald","pending",144,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex quinquefasciatus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","culex quinquefasciatus",TRUE,TRUE,TRUE,"probable","review","EFSA; lit_review",TRUE,"blood_meal","not_competent","no","yes","candidate_vector","field_detection_only|low_competence_or_efficiency|no_transmission_demonstrated",FALSE,"Culex quinquefasciatus","culex quinquefasciatus","pending",145,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex quinquefasciatus say",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","infraspecific","culex quinquefasciatus say",TRUE,FALSE,TRUE,"candidate","lab","lit_review",,"","mixed","mixed","","","strain_dependent",FALSE,"Culex quinquefasciatus say","culex quinquefasciatus say","pending",146,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex salinarius",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","culex salinarius",TRUE,TRUE,TRUE,"candidate","review","lit_review",TRUE,"blood_meal","competent","yes","","","",FALSE,"Culex salinarius","culex salinarius","pending",147,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex spp",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","genus_only","culex spp",TRUE,FALSE,TRUE,"candidate","review","lit_review",,"","unclear","","yes","","taxon_level_not_specific",FALSE,"Culex spp","culex spp","pending",148,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex tarsalis",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","culex tarsalis",TRUE,TRUE,TRUE,"probable","review","EFSA; lit_review",TRUE,"blood_meal","competent","yes","","","",FALSE,"Culex tarsalis","culex tarsalis","pending",149,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex territans",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","culex territans",TRUE,TRUE,TRUE,"candidate","review","lit_review",FALSE,"","unclear","","","","",FALSE,"Culex territans","culex territans","pending",150,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex theileri",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","culex theileri",TRUE,TRUE,TRUE,"candidate; probable","review","lit_review",TRUE,"blood_meal","competent","yes","yes","","",FALSE,"Culex theileri","culex theileri","pending",151,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex tritaeniorhynchus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","culex tritaeniorhynchus",TRUE,TRUE,TRUE,"candidate; probable","review","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","yes","candidate_vector","",FALSE,"Culex tritaeniorhynchus","culex tritaeniorhynchus","pending",152,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex univittatus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","culex univittatus",TRUE,TRUE,TRUE,"probable","review","lit_review",TRUE,"blood_meal","unclear","","yes","candidate_vector","field_detection_only",FALSE,"Culex univittatus","culex univittatus","pending",153,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culex zombaensis",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","culex zombaensis",TRUE,FALSE,TRUE,"candidate","efsa_appendix_g; review","EFSA; lit_review",,"","unclear","","yes","","limited_or_indirect_support",FALSE,"Culex zombaensis","culex zombaensis","pending",154,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Culiseta inornata",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","culiseta inornata",TRUE,TRUE,FALSE,"candidate","efsa_appendix_g","EFSA",TRUE,"blood_meal","","","","","",FALSE,"Culiseta inornata","culiseta inornata","pending",155,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Eretmapodites chrysogaster sensu lato",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","sensu_lato","eretmapodites chrysogaster sensu lato",TRUE,FALSE,TRUE,"weak","review","lit_review",,"","unclear","","yes","","limited_or_indirect_support",FALSE,"Eretmapodites chrysogaster sensu lato","eretmapodites chrysogaster sensu lato","pending",156,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Eretmapodites quinquevittatus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","eretmapodites quinquevittatus",TRUE,FALSE,TRUE,"candidate","review","lit_review",,"","unclear","","yes","candidate_vector","mixed_or_debated_evidence",FALSE,"Eretmapodites quinquevittatus","eretmapodites quinquevittatus","pending",157,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
