Host,Virus,PHEIC risk,Pathogens,Disease_name,previous_name,msl39_viral_name,in_gibb_etal,in_empres_i,Virion_VirusName,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,VirusTaxID,VirusGenus,VirusFamily,VirusOrder,VirusClass,DetectionMethod,HostFlagID,high_quality_detection,downstream_default_include,downstream_review_reason
homo sapiens,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,9606,homo,hominidae,primates,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
homo sapiens,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,9606,homo,hominidae,primates,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Not specified,FALSE,FALSE,FALSE,detection_method=Not specified
homo sapiens,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,9606,homo,hominidae,primates,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
canis lupus,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,9615,canis,canidae,carnivora,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
capra hircus,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,9925,capra,bovidae,artiodactyla,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
mus musculus,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,10090,mus,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
mastomys natalensis,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,10112,mastomys,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
mastomys natalensis,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,10112,mastomys,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Not specified,FALSE,FALSE,FALSE,detection_method=Not specified
mastomys natalensis,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,10112,mastomys,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
praomys daltoni,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,10113,praomys,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
