Host,Virus,PHEIC risk,Pathogens,Disease_name,previous_name,msl39_viral_name,in_gibb_etal,in_empres_i,Virion_VirusName,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,VirusTaxID,VirusGenus,VirusFamily,VirusOrder,VirusClass,DetectionMethod,HostFlagID,high_quality_detection,downstream_default_include,downstream_review_reason
rhinolophus ferrumequinum,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,59479,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rhinolophus ferrumequinum,severe acute respiratory syndrome-related coronavirus,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,59479,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rattus losea,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,69075,rattus,muridae,rodentia,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rhinolophus sinicus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,89399,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
rhinolophus sinicus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,89399,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rhinolophus sinicus,severe acute respiratory syndrome-related coronavirus,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,89399,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rhinolophus euryale,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,109476,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rhinolophus pusillus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,159858,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
rhinolophus pusillus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,159858,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
hipposideros armiger,severe acute respiratory syndrome-related coronavirus,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,186990,Hipposideros,Hipposideridae,Chiroptera,Mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rhinolophus pearsonii,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,188571,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
rhinolophus pearsonii,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,188571,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rhinolophus cornutus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,196296,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rhinolophus macrotis,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,196889,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
rhinolophus macrotis,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,196889,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
melogale moschata,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,204267,melogale,mustelidae,carnivora,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
rhinolophus mehelyi,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,342862,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rhinolophus thomasi,severe acute respiratory syndrome-related coronavirus,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,476589,Rhinolophus,Rhinolophidae,Chiroptera,Mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,TRUE,TRUE,FALSE,virion_host_flag_review
rhinolophus blasii,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,519037,rhinolophus,rhinolophidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
mops plicatus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,severe acute respiratory syndrome-related coronavirus,3370289,mops,molossidae,chiroptera,mammalia,694009,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
didelphis virginiana,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9267,didelphis,didelphidae,didelphimorphia,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
miniopterus schreibersii,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9433,miniopterus,miniopteridae,chiroptera,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
tadarida brasiliensis,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9438,tadarida,molossidae,chiroptera,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
ateles fusciceps,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9508,ateles,atelidae,primates,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
cebus albifrons,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9514,cebus,cebidae,primates,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
chlorocebus aethiops,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9534,chlorocebus,cercopithecidae,primates,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
gorilla gorilla,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9595,gorilla,hominidae,primates,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
homo sapiens,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9606,homo,hominidae,primates,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
canis lupus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9612,canis,canidae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
canis lupus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9615,canis,canidae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
procyon lotor,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9654,procyon,procyonidae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
lutra lutra,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9657,lutra,mustelidae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
mustela lutreola,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9666,mustela,mustelidae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
mustela putorius,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9669,mustela,mustelidae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
paguma larvata,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9675,paguma,viverridae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
crocuta crocuta,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9678,crocuta,hyaenidae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
felis catus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9685,felis,felidae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
panthera leo,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9689,panthera,felidae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
panthera tigris,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9694,panthera,felidae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
ceratotherium simum,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9807,ceratotherium,rhinocerotidae,perissodactyla,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
sus scrofa,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9823,sus,suidae,artiodactyla,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
odocoileus virginianus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9874,odocoileus,cervidae,artiodactyla,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
bos taurus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9913,bos,bovidae,artiodactyla,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
capra hircus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9925,capra,bovidae,artiodactyla,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
ovis aries,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9940,ovis,bovidae,artiodactyla,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
sylvilagus floridanus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9988,sylvilagus,leporidae,lagomorpha,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
marmota monax,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,9995,marmota,sciuridae,rodentia,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
mesocricetus auratus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,10036,mesocricetus,cricetidae,rodentia,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
peromyscus maniculatus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,10042,peromyscus,cricetidae,rodentia,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
mus musculus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,10090,mus,muridae,rodentia,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rattus norvegicus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,10116,rattus,muridae,rodentia,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rattus rattus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,10117,rattus,muridae,rodentia,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
castor fiber,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,10185,castor,castoridae,rodentia,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rhinolophus affinis,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,59477,rhinolophus,rhinolophidae,chiroptera,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rhinolophus ferrumequinum,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,59479,rhinolophus,rhinolophidae,chiroptera,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
chlorocebus sabaeus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,60711,chlorocebus,cercopithecidae,primates,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
paradoxurus hermaphroditus,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,71117,paradoxurus,viverridae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
panthera tigris,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,74533,panthera,felidae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
panthera tigris,betacoronavirus pandemicum,High,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus,FALSE,FALSE,betacoronavirus pandemicum,74535,panthera,felidae,carnivora,mammalia,3418604,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
