disease_name,active_source_pathogens,network_pathogen,pathogen_tax_ids,host,host_tax_id,host_class,host_order,host_family,in_gibb_etal,in_empres_i,priority_prototype_status,active_scope_reason,network_pathogen_raw_examples,disease_name_raw_examples,detection_method_examples,main_source_examples,source_row_count,is_human,is_livestock_like,is_bird,is_rodent,is_bat,is_primate,host_role_candidate,candidate_basis,role_confidence,needs_manual_review,review_priority
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,3426298,Artibeus jamaicensis,9417,mammalia,chiroptera,phyllostomidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,PCR/Sequencing,VIRION,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,3426298,Dermanura phaeotis,40229,mammalia,chiroptera,phyllostomidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,PCR/Sequencing,VIRION,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Hipposideros caffer,302402,mammalia,chiroptera,hipposideridae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Isolation/Observation,VIRION,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Mops pumilus,242384,mammalia,chiroptera,molossidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Isolation/Observation,VIRION,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,3426298,Peropteryx macrotis,249015,mammalia,chiroptera,emballonuridae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,PCR/Sequencing,VIRION,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Rousettus aegyptiacus,9407,mammalia,chiroptera,pteropodidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Isolation/Observation,VIRION,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Rousettus leschenaultii,9408,mammalia,chiroptera,pteropodidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Isolation/Observation,VIRION,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Scotophilus kuhlii,153297,mammalia,chiroptera,vespertilionidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Isolation/Observation,VIRION,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,3426298,Sturnira parvidens,196700,mammalia,chiroptera,phyllostomidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,PCR/Sequencing,VIRION,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Cercopithecus ascanius,36223,mammalia,primates,cercopithecidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Antibodies; Not specified,VIRION,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
