disease_name,metric,flag_value,row_count
Mpox (Monkeypox),is_rodent,TRUE,4
Mpox (Monkeypox),is_rodent,FALSE,13
Mpox (Monkeypox),is_rodent,,3
Nipah virus disease,candidate_rows,,16
Nipah virus disease,is_bat,TRUE,7
Nipah virus disease,is_bat,FALSE,7
Nipah virus disease,is_bat,,2
Nipah virus disease,is_bird,FALSE,14
Nipah virus disease,is_bird,,2
Nipah virus disease,is_human,TRUE,1
Nipah virus disease,is_human,FALSE,15
Nipah virus disease,is_livestock_like,TRUE,4
Nipah virus disease,is_livestock_like,FALSE,12
Nipah virus disease,is_rodent,TRUE,1
Nipah virus disease,is_rodent,FALSE,13
Nipah virus disease,is_rodent,,2
Oropouche fever,candidate_rows,,6
Oropouche fever,is_bat,FALSE,3
Oropouche fever,is_bat,,3
Oropouche fever,is_bird,FALSE,3
Oropouche fever,is_bird,,3
Oropouche fever,is_human,TRUE,1
Oropouche fever,is_human,FALSE,5
Oropouche fever,is_livestock_like,FALSE,6
Oropouche fever,is_rodent,FALSE,3
Oropouche fever,is_rodent,,3
Plague,candidate_rows,,37
Plague,is_bat,FALSE,33
Plague,is_bat,,4
Plague,is_bird,FALSE,33
Plague,is_bird,,4
Plague,is_human,TRUE,1
Plague,is_human,FALSE,36
Plague,is_livestock_like,TRUE,1
Plague,is_livestock_like,FALSE,36
Plague,is_rodent,TRUE,22
Plague,is_rodent,FALSE,11
Plague,is_rodent,,4
Rift Valley fever,candidate_rows,,17
Rift Valley fever,is_bat,TRUE,6
Rift Valley fever,is_bat,FALSE,9
Rift Valley fever,is_bat,,2
Rift Valley fever,is_bird,FALSE,15
Rift Valley fever,is_bird,,2
Rift Valley fever,is_human,TRUE,1
Rift Valley fever,is_human,FALSE,16
Rift Valley fever,is_livestock_like,TRUE,5
Rift Valley fever,is_livestock_like,FALSE,12
Rift Valley fever,is_rodent,TRUE,1
Rift Valley fever,is_rodent,FALSE,14
Rift Valley fever,is_rodent,,2
Sudan virus disease (Ebola virus disease),candidate_rows,,1
Sudan virus disease (Ebola virus disease),is_bat,,1
Sudan virus disease (Ebola virus disease),is_bird,,1
Sudan virus disease (Ebola virus disease),is_human,TRUE,1
Sudan virus disease (Ebola virus disease),is_livestock_like,FALSE,1
Sudan virus disease (Ebola virus disease),is_rodent,,1
Venezuelan equine encephalitis,candidate_rows,,31
Venezuelan equine encephalitis,is_bat,TRUE,7
Venezuelan equine encephalitis,is_bat,FALSE,22
Venezuelan equine encephalitis,is_bat,,2
Venezuelan equine encephalitis,is_bird,TRUE,7
Venezuelan equine encephalitis,is_bird,FALSE,22
Venezuelan equine encephalitis,is_bird,,2
Venezuelan equine encephalitis,is_human,TRUE,1
Venezuelan equine encephalitis,is_human,FALSE,30
Venezuelan equine encephalitis,is_livestock_like,TRUE,1
Venezuelan equine encephalitis,is_livestock_like,FALSE,30
Venezuelan equine encephalitis,is_rodent,TRUE,9
Venezuelan equine encephalitis,is_rodent,FALSE,20
Venezuelan equine encephalitis,is_rodent,,2
West Nile fever,candidate_rows,,186
West Nile fever,is_bat,TRUE,1
West Nile fever,is_bat,FALSE,168
West Nile fever,is_bat,,17
West Nile fever,is_bird,TRUE,140
West Nile fever,is_bird,FALSE,29
West Nile fever,is_bird,,17
West Nile fever,is_human,TRUE,1
West Nile fever,is_human,FALSE,185
West Nile fever,is_livestock_like,TRUE,7
West Nile fever,is_livestock_like,FALSE,179
West Nile fever,is_rodent,TRUE,6
West Nile fever,is_rodent,FALSE,163
West Nile fever,is_rodent,,17
Yellow fever,candidate_rows,,23
Yellow fever,is_bat,FALSE,15
Yellow fever,is_bat,,8
Yellow fever,is_bird,FALSE,15
Yellow fever,is_bird,,8
Yellow fever,is_human,TRUE,1
Yellow fever,is_human,FALSE,22
Yellow fever,is_livestock_like,FALSE,23
Yellow fever,is_rodent,FALSE,15
Yellow fever,is_rodent,,8
Zika virus disease,candidate_rows,,18
Zika virus disease,is_bat,TRUE,6
Zika virus disease,is_bat,FALSE,8
Zika virus disease,is_bat,,4
Zika virus disease,is_bird,FALSE,14
Zika virus disease,is_bird,,4
Zika virus disease,is_human,TRUE,1
Zika virus disease,is_human,FALSE,17
Zika virus disease,is_livestock_like,FALSE,18
Zika virus disease,is_rodent,TRUE,2
Zika virus disease,is_rodent,FALSE,12
Zika virus disease,is_rodent,,4
