Pathogen,PathogenTaxID,PHEIC risk,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,MainSource,PathogenType,in_gibb_etal,in_empres_i,modelling_scope_status,modelling_scope_reason,Host_raw,host_name_cleaning_method,source_database,source_assoc_id,source_host_flag_id,host_taxonomy_ready,host_taxonomy_flag,is_human_host,is_model_or_lab_host,is_domestic_or_livestock_hint,host_network_source,source_table,possible_cross_source_duplicate_flag,analysis_unit_id,master_row,disease_master_name,resolved_pathogen_name,host_query_bucket,match_review_flag,shared_species_proxy_flag,match_review_notes,host_count_for_analysis_unit,host_count_flag
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),30602,Eulemur macaco,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,lemuridae,primates,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Eulemur macaco,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),859983,Eulemur rufus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,lemuridae,primates,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Eulemur rufus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9031,Gallus gallus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,aves,phasianidae,galliformes,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Gallus gallus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,TRUE,TRUE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9031,Gallus gallus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,aves,phasianidae,galliformes,PCR/Sequencing,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Gallus gallus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,TRUE,TRUE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),499232,Gorilla beringei,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,hominidae,primates,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Gorilla beringei,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9606,Homo sapiens,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,,,,,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Homo sapiens,existing_who_network_host,CLOVER,,,TRUE,species_like,TRUE,TRUE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9606,Homo sapiens,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,,,,,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Homo sapiens,existing_who_network_host,CLOVER,,,TRUE,species_like,TRUE,TRUE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9606,Homo sapiens,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,,,,,PCR/Sequencing,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Homo sapiens,existing_who_network_host,CLOVER,,,TRUE,species_like,TRUE,TRUE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9716,Mirounga angustirostris,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,phocidae,carnivora,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Mirounga angustirostris,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),8128,Oreochromis niloticus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,actinopterygii,cichlidae,cichliformes,PCR/Sequencing,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Oreochromis niloticus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),36229,Papio ursinus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,cercopithecidae,primates,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Papio ursinus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9720,Phoca vitulina,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,phocidae,carnivora,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Phoca vitulina,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),34888,Phocarctos hookeri,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,otariidae,carnivora,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Phocarctos hookeri,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),285011,Pteroglossus viridis,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,aves,ramphastidae,piciformes,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Pteroglossus viridis,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),34869,Rupicapra rupicapra,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,bovidae,artiodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Rupicapra rupicapra,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9521,Saimiri sciureus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,cebidae,primates,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Saimiri sciureus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9823,Sus scrofa,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,suidae,artiodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Sus scrofa,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,TRUE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9823,Sus scrofa,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,suidae,artiodactyla,PCR/Sequencing,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Sus scrofa,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,TRUE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9643,Ursus americanus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,ursidae,carnivora,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Ursus americanus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9704,Zalophus californianus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,otariidae,carnivora,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Zalophus californianus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
