species,model_file_count,model_paths,has_top_level_model,has_nested_model,nested_contexts
Pseudois nayaur,1,Pseudois nayaur/Pseudois nayaur.rds,TRUE,FALSE,
Pseudonaja textilis,1,Pseudonaja textilis/Pseudonaja textilis.rds,TRUE,FALSE,
Pteropus alecto,1,Pteropus alecto/Pteropus alecto.rds,TRUE,FALSE,
Pteropus lylei,2,nipah/wild/Pteropus lylei/Pteropus lylei.rds; Pteropus lylei/Pteropus lylei.rds,TRUE,TRUE,nipah/wild
Pteropus medius,2,nipah/wild/Pteropus medius/Pteropus medius.rds; Pteropus medius/Pteropus medius.rds,TRUE,TRUE,nipah/wild
Pteropus vampyrus,2,nipah/wild/Pteropus vampyrus/Pteropus vampyrus.rds; Pteropus vampyrus/Pteropus vampyrus.rds,TRUE,TRUE,nipah/wild
Puma concolor,1,Puma concolor/Puma concolor.rds,TRUE,FALSE,
Pyrrhocorax graculus,1,Pyrrhocorax graculus/Pyrrhocorax graculus.rds,TRUE,FALSE,
Rangifer tarandus,1,Rangifer tarandus/Rangifer tarandus.rds,TRUE,FALSE,
Rattus losea,1,Rattus losea/Rattus losea.rds,TRUE,FALSE,
Rattus norvegicus,1,Rattus norvegicus/Rattus norvegicus.rds,TRUE,FALSE,
Rattus rattus,1,Rattus rattus/Rattus rattus.rds,TRUE,FALSE,
Rattus tanezumi,1,Rattus tanezumi/Rattus tanezumi.rds,TRUE,FALSE,
Reithrodontomys fulvescens,1,Reithrodontomys fulvescens/Reithrodontomys fulvescens.rds,TRUE,FALSE,
Reithrodontomys megalotis,1,Reithrodontomys megalotis/Reithrodontomys megalotis.rds,TRUE,FALSE,
Rhabdophis tigrinus,1,Rhabdophis tigrinus/Rhabdophis tigrinus.rds,TRUE,FALSE,
Rhinolophus affinis,1,Rhinolophus affinis/Rhinolophus affinis.rds,TRUE,FALSE,
Rhinolophus blasii,1,Rhinolophus blasii/Rhinolophus blasii.rds,TRUE,FALSE,
Rhinolophus cornutus,1,Rhinolophus cornutus/Rhinolophus cornutus.rds,TRUE,FALSE,
Rhinolophus euryale,1,Rhinolophus euryale/Rhinolophus euryale.rds,TRUE,FALSE,
Rhinolophus ferrumequinum,1,Rhinolophus ferrumequinum/Rhinolophus ferrumequinum.rds,TRUE,FALSE,
Rhinolophus hipposideros,1,Rhinolophus hipposideros/Rhinolophus hipposideros.rds,TRUE,FALSE,
Rhinolophus macrotis,1,Rhinolophus macrotis/Rhinolophus macrotis.rds,TRUE,FALSE,
Rhinolophus mehelyi,1,Rhinolophus mehelyi/Rhinolophus mehelyi.rds,TRUE,FALSE,
Rhinolophus pearsonii,1,Rhinolophus pearsonii/Rhinolophus pearsonii.rds,TRUE,FALSE,
Rhinolophus pusillus,1,Rhinolophus pusillus/Rhinolophus pusillus.rds,TRUE,FALSE,
Rhinolophus sinicus,1,Rhinolophus sinicus/Rhinolophus sinicus.rds,TRUE,FALSE,
Rhinolophus stheno,1,Rhinolophus stheno/Rhinolophus stheno.rds,TRUE,FALSE,
Rhogeessa tumida,1,Rhogeessa tumida/Rhogeessa tumida.rds,TRUE,FALSE,
Rhombomys opimus,1,Rhombomys opimus/Rhombomys opimus.rds,TRUE,FALSE,
Rousettus aegyptiacus,1,Rousettus aegyptiacus/Rousettus aegyptiacus.rds,TRUE,FALSE,
Rousettus leschenaultii,1,Rousettus leschenaultii/Rousettus leschenaultii.rds,TRUE,FALSE,
Rupicapra rupicapra,1,Rupicapra rupicapra/Rupicapra rupicapra.rds,TRUE,FALSE,
Saguinus midas,1,Saguinus midas/Saguinus midas.rds,TRUE,FALSE,
Saimiri sciureus,1,Saimiri sciureus/Saimiri sciureus.rds,TRUE,FALSE,
Sapajus apella,1,Sapajus apella/Sapajus apella.rds,TRUE,FALSE,
Sapajus libidinosus,1,Sapajus libidinosus/Sapajus libidinosus.rds,TRUE,FALSE,
Sapajus nigritus,1,Sapajus nigritus/Sapajus nigritus.rds,TRUE,FALSE,
Sarkidiornis sylvicola,1,Sarkidiornis sylvicola/Sarkidiornis sylvicola.rds,TRUE,FALSE,
Sciurotamias davidianus,1,Sciurotamias davidianus/Sciurotamias davidianus.rds,TRUE,FALSE,
Sciurus carolinensis,1,Sciurus carolinensis/Sciurus carolinensis.rds,TRUE,FALSE,
Sciurus niger,1,Sciurus niger/Sciurus niger.rds,TRUE,FALSE,
Scotophilus kuhlii,1,Scotophilus kuhlii/Scotophilus kuhlii.rds,TRUE,FALSE,
Semnopithecus entellus,1,Semnopithecus entellus/Semnopithecus entellus.rds,TRUE,FALSE,
Sigmodon hispidus,1,Sigmodon hispidus/Sigmodon hispidus.rds,TRUE,FALSE,
Sorex araneus,1,Sorex araneus/Sorex araneus.rds,TRUE,FALSE,
Speothos venaticus,1,Speothos venaticus/Speothos venaticus.rds,TRUE,FALSE,
Spermophilus alashanicus,1,Spermophilus alashanicus/Spermophilus alashanicus.rds,TRUE,FALSE,
Sterna hirundinacea,1,Sterna hirundinacea/Sterna hirundinacea.rds,TRUE,FALSE,
Strix nebulosa,1,Strix nebulosa/Strix nebulosa.rds,TRUE,FALSE,
Strix uralensis,1,Strix uralensis/Strix uralensis.rds,TRUE,FALSE,
Struthio camelus,1,Struthio camelus/Struthio camelus.rds,TRUE,FALSE,
Sturnira parvidens,1,Sturnira parvidens/Sturnira parvidens.rds,TRUE,FALSE,
Submyotodon latirostris,1,Submyotodon latirostris/Submyotodon latirostris.rds,TRUE,FALSE,
Suncus murinus,1,Suncus murinus/Suncus murinus.rds,TRUE,FALSE,
Suricata suricatta,1,Suricata suricatta/Suricata suricatta.rds,TRUE,FALSE,
Sus scrofa,2,nipah/Sus scrofa/Sus scrofa.rds; Sus scrofa/Sus scrofa.rds,TRUE,TRUE,nipah
Sylvilagus floridanus,1,Sylvilagus floridanus/Sylvilagus floridanus.rds,TRUE,FALSE,
Syncerus caffer,1,Syncerus caffer/Syncerus caffer.rds,TRUE,FALSE,
Tadarida brasiliensis,1,Tadarida brasiliensis/Tadarida brasiliensis.rds,TRUE,FALSE,
Tadarida teniotis,1,Tadarida teniotis/Tadarida teniotis.rds,TRUE,FALSE,
Takydromus wolteri,1,Takydromus wolteri/Takydromus wolteri.rds,TRUE,FALSE,
Taphozous melanopogon,1,Taphozous melanopogon/Taphozous melanopogon.rds,TRUE,FALSE,
Tiliqua nigrolutea,1,Tiliqua nigrolutea/Tiliqua nigrolutea.rds,TRUE,FALSE,
Tiliqua rugosa,1,Tiliqua rugosa/Tiliqua rugosa.rds,TRUE,FALSE,
Tiliqua scincoides,1,Tiliqua scincoides/Tiliqua scincoides.rds,TRUE,FALSE,
Trachypithecus cristatus,1,Trachypithecus cristatus/Trachypithecus cristatus.rds,TRUE,FALSE,
Trachypithecus obscurus,1,Trachypithecus obscurus/Trachypithecus obscurus.rds,TRUE,FALSE,
Trioceros ellioti,1,Trioceros ellioti/Trioceros ellioti.rds,TRUE,FALSE,
Tupaia glis,1,Tupaia glis/Tupaia glis.rds,TRUE,FALSE,
Urocitellus parryii,1,Urocitellus parryii/Urocitellus parryii.rds,TRUE,FALSE,
Urocitellus undulatus,1,Urocitellus undulatus/Urocitellus undulatus.rds,TRUE,FALSE,
Urocyon cinereoargenteus,1,Urocyon cinereoargenteus/Urocyon cinereoargenteus.rds,TRUE,FALSE,
Uroderma bilobatum,1,Uroderma bilobatum/Uroderma bilobatum.rds,TRUE,FALSE,
Ursus americanus,1,Ursus americanus/Ursus americanus.rds,TRUE,FALSE,
Ursus arctos,1,Ursus arctos/Ursus arctos.rds,TRUE,FALSE,
Ursus maritimus,1,Ursus maritimus/Ursus maritimus.rds,TRUE,FALSE,
Ursus thibetanus,1,Ursus thibetanus/Ursus thibetanus.rds,TRUE,FALSE,
Urva edwardsii,1,Urva edwardsii/Urva edwardsii.rds,TRUE,FALSE,
Urva urva,1,Urva urva/Urva urva.rds,TRUE,FALSE,
Varanus indicus,1,Varanus indicus/Varanus indicus.rds,TRUE,FALSE,
Varanus mertensi,1,Varanus mertensi/Varanus mertensi.rds,TRUE,FALSE,
Varanus varius,1,Varanus varius/Varanus varius.rds,TRUE,FALSE,
Vespertilio murinus,1,Vespertilio murinus/Vespertilio murinus.rds,TRUE,FALSE,
Vespertilio sinensis,1,Vespertilio sinensis/Vespertilio sinensis.rds,TRUE,FALSE,
Viverricula indica,1,Viverricula indica/Viverricula indica.rds,TRUE,FALSE,
Vulpes lagopus,1,Vulpes lagopus/Vulpes lagopus.rds,TRUE,FALSE,
Vulpes macrotis,1,Vulpes macrotis/Vulpes macrotis.rds,TRUE,FALSE,
Vulpes velox,1,Vulpes velox/Vulpes velox.rds,TRUE,FALSE,
Vulpes vulpes,1,Vulpes vulpes/Vulpes vulpes.rds,TRUE,FALSE,
Zalophus californianus,1,Zalophus californianus/Zalophus californianus.rds,TRUE,FALSE,
Zoothera dauma,1,Zoothera dauma/Zoothera dauma.rds,TRUE,FALSE,
Zygodontomys brevicauda,1,Zygodontomys brevicauda/Zygodontomys brevicauda.rds,TRUE,FALSE,
