raw_host_label,source_field,scientific_name_clean,host_binomial,host_infraspecific_epithet,host_authorship_year_suffix,host_canonicalization_flag,review_bucket,package_check_target,suggested_who_host,fuzzy_score,reason_flag,row_count
Spermophilus beecheyi_Richardson 1829,host_scientific_name,Spermophilus beecheyi Richardson 1829,Spermophilus beecheyi,,Richardson 1829,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.625,needs_binomialization,112
Cynomys,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,110
Bighorn Sheep,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,106
Troglodytes aedon,host_scientific_name,Troglodytes aedon,Troglodytes aedon,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.4347826086956522,needs_manual_synonym_map,103
Birds,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,101
Phacochoerus sp.,host_scientific_name,Phacochoerus sp.,,,,non_actionable,drop_from_species_level,FALSE,,0.5833333333333333,drop_from_species_level,98
Citellus beecheyi,verbatim_host_name,,Citellus beecheyi,,,,package_candidate_check,TRUE,,0.5294117647058824,verbatim_binomial_candidate,98
Eumeces inexpactatus; Eumeces laticeps,host_scientific_name,Eumeces inexpactatus; Eumeces laticeps,Eumeces inexpactatus;,,Eumeces laticeps,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.44999999999999996,needs_binomialization,96
Spermophilus armatus_Kennicott 1863,host_scientific_name,Spermophilus armatus Kennicott 1863,Spermophilus armatus,,Kennicott 1863,authorship_or_suffix,manual_crosswalk_candidate,TRUE,Spermophilus dauricus,0.762,needs_binomialization,96
Skinks,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,96
Capra aegagrus,host_scientific_name,Capra aegagrus,Capra aegagrus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5714285714285714,needs_manual_synonym_map,95
Ammospermophilus leucurus_Merriam 1889,host_scientific_name,Ammospermophilus leucurus Merriam 1889,Ammospermophilus leucurus,,Merriam 1889,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.64,needs_binomialization,94
Cricetomys sp.,host_scientific_name,Cricetomys sp.,,,,non_actionable,drop_from_species_level,FALSE,,0.6875,drop_from_species_level,94
Cricetomys sp.,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,94
Tamias spp.,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,94
Citellus richardsoni richardsoni,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,92
"Cattle, sheep, goats and turtles",verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,90
Citellus armatus,verbatim_host_name,,Citellus armatus,,,,package_candidate_check,TRUE,,0.6190476190476191,verbatim_binomial_candidate,90
Sceloporus occidentalis,host_scientific_name,Sceloporus occidentalis,Sceloporus occidentalis,,,already_binomial,manual_crosswalk_candidate,TRUE,Aechmophorus occidentalis,0.8,needs_manual_synonym_map,86
Pipilo erythrophthalmus,host_scientific_name,Pipilo erythrophthalmus,Pipilo erythrophthalmus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5217391304347826,needs_manual_synonym_map,83
Mongoose,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,83
Cynictis penicillata_G.[Baron] Cuvier 1829,host_scientific_name,Cynictis penicillata G.[Baron] Cuvier 1829,Cynictis penicillata,,G.[Baron] Cuvier 1829,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6818181818181819,needs_binomialization,82
Geothlypis trichas,host_scientific_name,Geothlypis trichas,Geothlypis trichas,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6666666666666667,needs_manual_synonym_map,82
Spermophilus variegatus grammurus_Say 1823,host_scientific_name,Spermophilus variegatus grammurus Say 1823,Spermophilus variegatus,grammurus,Say 1823,trinomial_and_suffix,manual_crosswalk_candidate,TRUE,,0.7391304347826086,needs_binomialization,82
Spermophilus variegatus_Erxleben 1777,host_scientific_name,Spermophilus variegatus Erxleben 1777,Spermophilus variegatus,,Erxleben 1777,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.7391304347826086,needs_binomialization,82
Lutra canadensis,host_scientific_name,Lutra canadensis,Lutra canadensis,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.375,needs_manual_synonym_map,80
Many,host_scientific_name,Many,,,,non_actionable,drop_from_species_level,FALSE,,,drop_from_species_level,80
Sus spp.,host_scientific_name,Sus spp.,,,,non_actionable,drop_from_species_level,FALSE,,0.5,drop_from_species_level,80
Sylvilagus bachmani,host_scientific_name,Sylvilagus bachmani,Sylvilagus bachmani,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.65,needs_manual_synonym_map,80
