vector_name_working,vector_name_clean,vector_name_taxonomy_cleaned,vector_species_binomial,vector_infraspecific_epithet,vector_taxon_rank,vector_cleanup_method,vector_species_collapse_method,vector_species_collapsed_for_analysis,vector_review_note,source_dataset_examples,vector_family_examples,vector_genus_examples,row_count
Leptotrombidium spp.,Leptotrombidium spp.,Leptotrombidium spp.,Leptotrombidium spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Leptotrombidium,494
Ascoschoengastia spp.,Ascoschoengastia spp.,Ascoschoengastia spp.,Ascoschoengastia spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Ascoschoengastia,280
Gahrliepia spp.,Gahrliepia spp.,Gahrliepia spp.,Gahrliepia spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Gahrliepia,274
Ctenocephalides felis strongylus,Ctenocephalides felis strongylus,Ctenocephalides felis strongylus,Ctenocephalides felis,strongylus,infraspecific,no_change,collapse_to_binomial_base_present,Ctenocephalides felis,Infraspecific label collapsed to species because the binomial base already exists elsewhere in the cleaned VectorMap table.,FleaMap,Pulicidae,Ctenocephalides,164
Oropsylla tuberculata cynomuris,Oropsylla tuberculata cynomuris,Oropsylla tuberculata cynomuris,Oropsylla tuberculata,cynomuris,infraspecific,no_change,collapse_to_binomial_base_present,Oropsylla tuberculata,Infraspecific label collapsed to species because the binomial base already exists elsewhere in the cleaned VectorMap table.,FleaMap,Ceratophyllidae,Oropsylla,108
Walchia spp.,Walchia spp.,Walchia spp.,Walchia spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Walchia,83
Blankaartia spp.,Blankaartia spp.,Blankaartia spp.,Blankaartia spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Ascoschoengastia; Blankaartia,64
Rhipicephalus spp.,Rhipicephalus spp.,Rhipicephalus spp.,Rhipicephalus spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Ixodidae,Rhipicephalus,50
Ascoschoengastia sp.,Ascoschoengastia sp.,Ascoschoengastia sp.,Ascoschoengastia sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Ascoschoengastia,30
Polygenis bohlsi jordani,Polygenis bohlsi jordani,Polygenis bohlsi jordani,Polygenis bohlsi,jordani,infraspecific,no_change,collapse_to_binomial_base_present,Polygenis bohlsi,Infraspecific label collapsed to species because the binomial base already exists elsewhere in the cleaned VectorMap table.,FleaMap,Pulicidae,Polygenis,29
Gahrliepia (Gahrliepia) sp.,Gahrliepia (Gahrliepia) sp.,Gahrliepia sp.,Gahrliepia sp.,,genus_only,rule_drop_parenthetical_subgenus,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Gahrliepia,25
Ixodes sp.,Ixodes sp.,Ixodes sp.,Ixodes sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Ixodidae,Ixodes,21
Argus sp.,Argus sp.,Argus sp.,Argus sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Argasidae,Argas,18
Hyalomma sp.,Hyalomma sp.,Hyalomma sp.,Hyalomma sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Ixodidae,Hyalomma,17
Dermacentor sp.,Dermacentor sp.,Dermacentor sp.,Dermacentor sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Ixodidae,Dermacentor,16
Culex spp.,Culex spp.,Culex spp.,Culex spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,BloodMealMap,Culicidae,Culex,15
Gahrliepia (Walchia) sp.,Gahrliepia (Walchia) sp.,Gahrliepia sp.,Gahrliepia sp.,,genus_only,rule_drop_parenthetical_subgenus,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Gahrliepia,14
Haemaphysalis spp.,Haemaphysalis spp.,Haemaphysalis spp.,Haemaphysalis spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Ixodidae,Haemaphysalis,14
Lorillatum spp.,Lorillatum spp.,Lorillatum spp.,Lorillatum spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Lorillatum,13
Dermacentor spp.,Dermacentor spp.,Dermacentor spp.,Dermacentor spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Ixodidae,Dermacentor,12
Rhipicephalus evertsi mimeticus,Rhipicephalus evertsi mimeticus,Rhipicephalus evertsi mimeticus,Rhipicephalus evertsi,mimeticus,infraspecific,no_change,collapse_to_binomial_base_present,Rhipicephalus evertsi,Infraspecific label collapsed to species because the binomial base already exists elsewhere in the cleaned VectorMap table.,TickMap,Ixodidae,Rhipicephalus,12
Thrassis bacchi gladiolis,Thrassis bacchi gladiolis,Thrassis bacchi gladiolis,Thrassis bacchi,gladiolis,infraspecific,no_change,collapse_to_binomial_base_present,Thrassis bacchi,Infraspecific label collapsed to species because the binomial base already exists elsewhere in the cleaned VectorMap table.,FleaMap,Ceratophyllidae,Thrassis,12
Leptotrombidium sp.,Leptotrombidium sp.,Leptotrombidium sp.,Leptotrombidium sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Leptotrombidium,11
Helenicula spp.,Helenicula spp.,Helenicula spp.,Helenicula spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Helenicula,9
Ixodes spp.,Ixodes spp.,Ixodes spp.,Ixodes spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Ixodidae,Ixodes,8
Polygenis sp.,Polygenis sp.,Polygenis sp.,Polygenis sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,FleaMap,Pulicidae,Polygenis,8
Amblyomma sp.,Amblyomma sp.,Amblyomma sp.,Amblyomma sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Ixodidae,Amblyomma,5
Schoengastiella spp.,Schoengastiella spp.,Schoengastiella spp.,Schoengastiella spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Schoengastiella,5
Bothriocroton sp.,Bothriocroton sp.,Bothriocroton sp.,Bothriocroton sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Ixodidae,Bothriocroton,4
Eutrombicula spp.,Eutrombicula spp.,Eutrombicula spp.,Eutrombicula spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Eutrombicula,4
Ornithonyssus sp.,Ornithonyssus sp.,Ornithonyssus sp.,Ornithonyssus sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Macronyssidae,Ornithonyssus,4
Haemaphysalis sp.,Haemaphysalis sp.,Haemaphysalis sp.,Haemaphysalis sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Ixodidae,Haemaphysalis,3
,,,,,,missing,missing_vector_name,,Missing vector name after fallback from scientific name to genus/species.,FleaMap; TickMap,Ixodidae; Pulicidae,,3
Boophilus sp.,Boophilus sp.,Boophilus sp.,Boophilus sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,TickMap,Ixodidae,Boophilus,2
Mansonia spp.,Mansonia spp.,Mansonia spp.,Mansonia spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,BloodMealMap,Culicidae,Mansonia,2
Polygenis axius proxima,Polygenis axius proxima,Polygenis axius proxima,Polygenis axius,proxima,infraspecific,no_change,collapse_to_binomial_base_present,Polygenis axius,Infraspecific label collapsed to species because the binomial base already exists elsewhere in the cleaned VectorMap table.,FleaMap,Pulicidae,Polygenis,2
Schoengastia spp.,Schoengastia spp.,Schoengastia spp.,Schoengastia spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Schoengastia,2
Culiseta spp.,Culiseta spp.,Culiseta spp.,Culiseta spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,BloodMealMap,Culicidae,Culiseta,1
Eulaelaps sp.,Eulaelaps sp.,Eulaelaps sp.,Eulaelaps sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Laelapidae,Eulaelaps,1
Ficalbia spp.,Ficalbia spp.,Ficalbia spp.,Ficalbia spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,BloodMealMap,Culicidae,Ficalbia,1
Microtrombicula spp.,Microtrombicula spp.,Microtrombicula spp.,Microtrombicula spp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,MiteMap,Trombiculidae,Micotrombicula,1
Polygenis klagesi samuelis,Polygenis klagesi samuelis,Polygenis klagesi samuelis,Polygenis klagesi,samuelis,infraspecific,no_change,collapse_to_binomial_base_present,Polygenis klagesi,Infraspecific label collapsed to species because the binomial base already exists elsewhere in the cleaned VectorMap table.,FleaMap,Pulicidae,Polygenis,1
Polygenis roberti tripopsis,Polygenis roberti tripopsis,Polygenis roberti tripopsis,Polygenis roberti,tripopsis,infraspecific,no_change,collapse_to_binomial_base_present,Polygenis roberti,Infraspecific label collapsed to species because the binomial base already exists elsewhere in the cleaned VectorMap table.,FleaMap,Pulicidae,Polygenis,1
Pulex sp.,Pulex sp.,Pulex sp.,Pulex sp.,,genus_only,no_change,exclude_genus_only,,Genus-level sp./spp. label retained; do not force to species automatically.,FleaMap,Pulicidae,Pulex,1
