disease,hosts,second,vectors,total,level,add geog,correct_region,combine,comment,good?,countries,no.countries,group,group2,disease,all_host,host_type,secondary,secondary_type,all_vectors,vector_type,Type,host_type,human_to_human
el moro canyon,1,NA,NA,1,3,,,69,,1,US,2,hantavirus,hantavirus,None reported,reithrodontomys megalotis,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
european bat lyssa 1,1,NA,NA,1,1,,,70,,1,"PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,DE,DK",92,lyssavirus,lyssavirus,Rabies,eptesicus serotinus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
european bat lyssa 2,2,NA,NA,2,1,,,70,combine,1,"GB,NO,FI,DE,NL,CZ",92,lyssavirus,lyssavirus,Rabies,"myotis dasycneme,myotis daubentonii",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
everglades,2,NA,2,4,1,,,72,,0,US,2,alphavirus,alphavirus,VEE,"peromyscus gossypinus,sigmodon hispidus",mammalia,NA,NA,culex cedecei,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
eyach,3,NA,1,4,2,,europe,73,,1,"FR,DE,CZ,NL",11,coltivirus,coltivirus,None reported,"lepus,apodemus,goats",mammalia,NA,NA,"ixodes rincus,ixodes ventalloi",tick,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
fasciola gigantica,1,4,4,9,0,,,74,,0,"CU,PE,BO,CL,BR,PR,FR,EG,ZW,UG,ET,SA,IR,UZ,PH,VN,AU",50,parasite,fasciola,Fascioliasis,human,human,"cattle,buffalo,goats,sheep,donkeys",domestic,"radix auricularia,radix rufescens,radix acuminata,radix rubiginosa,radix natalensis,radix cailliaudi",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
fasciola hepatica,1,4,17,22,0,,,75,,0,"US,MX,PE,EC,BO,CL,AR,VE,CU,PR,PT,ES,FR,IT,NO,TR,EG,TN,IN,TH,KR,JP,NG",68,parasite,fasciola,Fascioliasis,human,human,"cattle,buffalo,goats,sheep,donkeys",domestic,"stagnicola fuscus,lymnaea viatrix,lymnaea stagnalis,radix auricularia,radix peregra,omphiscola glabra,stagnicola palustris,lymnaea neotropica,lymnaea cubensis,radix natalensis,austropeplea ollula,pseudosuccinea columella,stagnicola turricula,lymnaea cousini,lymnaea occulta,radix rubiginosa,radix viridis,galba truncatula,stagnicola caperata,lymnaea diaphana,lymnaea humilis,radix lagotis,austropeplea tomentosa,galba bulimoides",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
fort morgan,1,NA,NA,1,3,,,76,,1,US,2,alphavirus,alphavirus,None reported,petrochelidon pyrrhonota,aves,NA,NA,oeciacus vicarius,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
francisella tularensis holarctica,3,NA,5,8,2,,"europe, russia",77,,1,"RU,SE,FI,NO",11,bacteria,francisella,Tularemia (Type B),"castor canadensis,castor canadensis,lepus,lepus,lepus,ondatra zibethicus,ondatra zibethicus",mammalia,NA,NA,"chrysops,ochlerotatus sticticus,aedimorphus vexans,ochlerotatus punctor,ixodes liberelis,dermacentor marginatus",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
francisella tularensis tularensis,1,NA,4,5,2,,,77,combine with above,1,"US,CA",5,bacteria,francisella,Tularemia (Type A),marmota,mammalia,NA,NA,"chrysops,dermacentor variabilis,dermacentor andersoni,amblyomma americanum",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
germiston,6,NA,1,7,3,,,79,,1,"UG,KE,AO,ZW,MZ,ZA",17,orthobunyavirus,bunyavirus,germiston,"rattus,mus,praomys,mastomys,grammomys,arvicanthis",mammalia,NA,NA,culex rubinotus,mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
guanarito,3,NA,NA,3,3,,northern south america,80,,0,VE,2,arenavirus,arenavirus,Venezuelan hemorrhagic fever,"calomys callosus,zygodontomys brevicauda,tatera,otomys,acomys,lophuromys",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
guaroa,NA,NA,1,1,2,,,81,,1,"BR,VE,PE,BO",11,orthobunyavirus,bunyavirus,guaroa,human,mammalia,NA,NA,anopheles neivai,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
gumbo limbo,1,NA,1,2,NA,,,82,,1,US,2,orthobunyavirus,orthobunyavirus,None reported,sigmodon hispidus,mammalia,NA,NA,"culex tritaeniorhynchus,culex",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
hantaan,1,NA,NA,1,3,,,83,,1,"CN,KP,KR",11,hantavirus,hantavirus,Hemorrhagic Fever with Renal Syndrome,apodemus agrarius,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
hojo,1,NA,NA,1,3,,"north korea, south korea, japanese",83,,1,KR,2,hantavirus,hantavirus,None reported,apodemus agrarius,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
hendra,1,NA,NA,1,NA,,,84,,1,AU,2,paramyxoviridae,paramyxoviridae,Hendra virus,pteropus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
menangle,1,1,NA,2,1,,,84,,1,AU,2,paramyxoviridae,paramyxoviridae,managle,pteropus,mammalia,pigs,domestic,NA,NA,HOST->HUMAN,HOST->HUMAN,no
histoplasma capsulatum,3,NA,NA,3,0,,,85,,0,US,2,fungi,fungi,Ohio Valley Disease,"myotis grisescens,myotis austroriparius",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
ilhéus,28,NA,1,29,1,,,87,,1,"BR,BO,EC,PE",5,flavivirus,flavivirus,Encephalitis,"ducks,chickens,accipiter,aegypius,agelaius,anas,aquila,athene,bonasa,branta,bubo,bubulcus,buteo,butorides,carpodacus,colaptes,corvus,cyanocitta,falco,garrulus,mimus,molothrus,passer,phalacrocorax,pica,parus,quiscalus,turdus,zenaida,turdus,anser,branta,cereopsis,coscoroba,cygnus,amazonetta,anas,lophonetta,nettapus,speculanas,bonasa,falcipennis,centrocercus,dendragapus,lagopus,tetrao",aves,NA,NA,ochlerotatus scapularis,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
imjin,1,NA,NA,1,0,,,88,,0,KR,2,hantavirus,hantavirus,None reported,crocidura lasiura,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
inkoo,1,NA,2,3,3,,"europe, east russia",89,,1,"RU,FI,SE",8,orthobunyavirus,orthobunyavirus,California Group Virus disease,lepus timidus,mammalia,NA,NA,"aedes communis,ochlerotatus punctor ",mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
ippy,1,NA,NA,1,2,,,90,,1,CF,2,arenavirus,arenavirus,None reported,arvicanthis,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
irkut,1,NA,NA,1,2,,"west russian, china, japan, mongolia, north korea, south korea",91,,1,"CN,MN,RU",8,lyssavirus,lyssavirus,Rabies,murina leucogaster,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
isla vista,1,NA,NA,1,0,,,92,,0,US,2,hantavirus,hantavirus,None reported,microtus pennsylvanicus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
prospect hill,1,NA,NA,1,1,,,92,,1,US,2,hantavirus,hantavirus,None reported,microtus pennsylvanicus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
itapua,1,NA,NA,1,3,,,93,hotspot?,1,PY,2,hantavirus,hantavirus,HCPS,oligoryzomys nigripes,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
juquitiba,1,NA,NA,1,0,,,93,hotspot,1,BR,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,oligoryzomys nigripes,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
jamestown canyon,1,NA,9,10,2,,,94,,1,"CA,US",5,orthobunyavirus,orthobunyavirus,California Group Virus disease,odocoileus virginianus,mammalia,NA,NA,"culiseta inornata,aedes communis,ochlerotatus stimulans,hybomitra lasiophthalma,chrysops cincticornis,ochlerotatus abserratus,aedimorphus vexans,ochlerotatus cantator,aedes triseriatus,psorophora",mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
japanese encephalitis,8,NA,3,11,2,,,95,,1,"MM,TH,LA,KH,VN,MY,PH,BN,IN,NP,BT,PK,CN,KR,KP,TW,JP,PG,AU,TL",59,flavivirus,flavivirus,Japanese Encephalitis,"bubulcus,ardea,egretta,gorsachius,nycticorax,ardeola,ixobrychus,botaurus",aves,NA,NA,"culex gelidus,culex tritaenorhynchus,culex vishnui",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
jemezsprings,2,NA,NA,2,2,,continental us,96,,1,US,2,hantavirus,hantavirus,None reported,sorex monticolus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
junin,2,NA,NA,2,3,,,97,,1,AR,2,arenavirus,arenavirus,Argentinian hemorrhagic fever,"calomys laucha,calomys musculinus",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
laguna negra,1,NA,NA,1,3,,,97,,1,"AR,BO,PY",8,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,calomys laucha,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
kyasanur,6,NA,1,7,1,,,100,,0,IN,2,flavivirus,flavivirus,Tick-borne Encephalitis,"hystrix,rattus,funambulus,mus,sorex,macaca,semnopithecus",mammalia,NA,NA,haemaphysalis spinigera,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
la crosse,2,NA,1,3,3,,,101,,1,US,2,orthobunyavirus,orthobunyavirus,California Group Virus disease,"tamias,sciurus",mammalia,NA,NA,aedes triseriatus,mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
lagos bat,10,NA,NA,10,2,,,102,good for Ebola,1,"ZA,NA,LS,BW,ZW,ZM,AO,MZ,CD,CG,GA,GQ,CM,CF,SD,TD",50,lyssavirus,lyssavirus,Rabies,"eonycteris,rousettus,eidolon,epomophorus,epomops,hypsignathus,micropteropus,nanonycteris,acerodon,desmalopex,mirimiri,neopteryx,pteralopex,pteropus,styloctenium,lissonycteris,megaloglossus,myonycteris",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
lassa,1,NA,NA,1,3,,,104,,1,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG",68,arenavirus,arenavirus,Lassa Fever,mastomys natalensis,mammalia,NA,NA,NA,NA,HOST->HUMAN->HUMAN,HOST->HUMAN,yes
lechiguanas,1,NA,NA,1,2,,"chile, argentina, paraguay, uraguay",105,,1,AR,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,oligoryzomys flavescens,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
lee,1,NA,NA,1,3,,,106,,1,KR,2,hantavirus,hantavirus,None reported,apodemus agrarius,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
leishmania infantum chagasi,1,NA,1,2,2,,,107,,1,"CD,CF,SD,SS,EG,LY,DZ,TS,MA,MR,KZ,KG,PK,AF,IR,TM,UZ,TR,UA,RO,IT,FR,ES,PT,HU,CZ,GR,SY,IQ,BR,BO,PE,EC,CO,VE,GY,SR,GF,NI,HN,MX,PA,CR,GT",135,parasite,leishmania,Visceral Leishmaniasis,human,human,"hyraxes, canids, rodents",mammalia,phlebotomus,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
leishmania tropica,1,NA,1,2,2,,,107,combine all leicshmanias,1,"ET,KE,EG,LY,DZ,SA,IR,IQ,PK,TN,AF,TR,SY,TM,UZ,AZ,IN,DJ,YE,MA",98,parasite,leishmania,Cutaneous leishmaniasis,human,human,"hyraxes, canids, rodents",mammalia,phlebotomus,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
leishmania donovani,1,NA,1,2,2,,,107,,1,"CN,IN,BD,LK,TR,IQ,IR,SD,TD,CM,NE,EG,YE,SA,CY,SO,ET,KE,UG,ZM",152,parasite,leishmania,Visceral Leishmaniasis,human,human,"hyraxes, canids, rodents",mammalia,"lutzomyia,phlebotomus",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
leishmania amazonensis,1,NA,2,3,2,,,107,,1,"CO,VE,GY,SR,GF,EC,BR,PE,BO,UY,BZ,GT,HN,SV,NI,CR,PA,MX",62,parasite,leishmania,Cutaneous leishmaniasis,human,human,"hyraxes, canids, rodents",mammalia,lutzomyia,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
leishmania aethiopica,1,NA,NA,1,NA,,,107,,1,"ET,KE",5,parasite,leishmania,Cutaneous leishmaniasis,human,human,NA,NA,NA,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
leishmania guyanensis,1,NA,NA,1,NA,,,107,,1,"CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY",38,parasite,leishmania,Cutaneous leishmaniasis,human,human,NA,NA,NA,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
leishmania major,1,NA,NA,1,NA,,,107,,1,"KZ,RU,UZ,TM,TJ,KG,PK,AF,MA,DZ,TN,LY,EG,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,SO,ET,KE,UG,TZ,BI,RW",95,parasite,leishmania,Cutaneous leishmaniasis,human,human,NA,NA,NA,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
leishmania mexicana,1,NA,NA,1,NA,,,107,,1,"BZ,GT,HN,SV,NI,CR,PA,MX,US",26,parasite,leishmania,Cutaneous leishmaniasis,human,human,NA,NA,NA,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
leishmania panamensis,1,NA,NA,1,NA,,,107,,1,"CR,PA,EC,CO,PE,VE,BR,GF,GY,SR",29,parasite,leishmania,Cutaneous leishmaniasis,human,human,NA,NA,NA,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
leptospira spp,8,NA,NA,8,0,,,116,,0,"US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO",194,bacteria,leptospira,Leptospirosis,"apodemus,micromys minutus,rattus,mephitis,procyon,cattle,pigs,equus",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
ljungan,4,NA,NA,4,0,,,117,,0,SE,8,picornivirdea,picornivirdea,None reported,"myodes glareolus,apodemus sylvaticus,microtus agrestis,mus musculus",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
loa loa,1,NA,1,2,0,,,118,,0,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SD,TD",68,parasite,loa,Loiasis,human,human,NA,NA,"semisulcospira,chrysops silacea,chrysops dimidiatus,chrysops distinctipennis,chrysops centurionis,chrysops longicornis",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
luxi,1,NA,NA,1,1,,southern china,119,,1,CN,2,hantavirus,hantavirus,None reported,Eothenomys miletus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
lymphocytic choriomeningitis,3,NA,NA,3,0,,,120,,0,"US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO,JP",197,arenavirus,arenavirus,Encephalitis,"mus musculus,apodemus sylvaticus,apodemus flavicollis",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
machupo,2,NA,NA,2,1,,,121,,0,BO,2,arenavirus,arenavirus,Bolivian hemorrhagic fever,"calomys callosus,calomys laucha",mammalia,NA,NA,NA,NA,HOST->HUMAN->HUMAN,HOST->HUMAN,yes
maciel,1,NA,NA,1,3,,,122,,1,AR,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,necromys obscurus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
magboi,1,NA,NA,1,1,,,123,,1,SL,2,hantavirus,hantavirus,None reported,nycteris hispida,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
maporal,1,NA,NA,1,2,,north south america,124,,1,PY,2,hantavirus,hantavirus,HCPS,Oligoryzomys delicatus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
marburg,1,NA,NA,1,3,,,125,,1,"AO,CD,KE,UG,ZM,ZA",17,filovirus,filovirus,Marburg virus,rousettus aegyptiacus,mammalia,NA,NA,NA,NA,HOST->HUMAN->HUMAN,HOST->HUMAN,yes
ravn,2,NA,NA,2,3,,,125,same as marburg,1,"AO,CD,KE,UG,ZM,ZA",17,filovirus,filovirus,Marburg virus,rousettus aegyptiacus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
mayaro,25,NA,9,34,3,,south america,126,https://amandala.com.bz/news/mayaro-fever-viral-disease-radar/,1,"PE,VE,TT,SR,GF,BR,BO",20,alphavirus,alphavirus,Mayaro Fever,"human,pan,pongo,gorilla,papio,mandrillus,callicebus,cercopithecus,macaca,saguinus,trachypithecus,alouatta,mico,aotus,presbytis,procolobus,pithecia,sapajus,ateles,hylobates,nomascus,semnopithecus,callithrix,cercocebus,chlorocebus,lophocebus,chiropotes,colobus,papio,rhinopithecus,saimiri",mammalia,NA,NA,"mansonia venezuelensis,ochlerotatus serratus,psorophora ferox,sabethes,culex,haemagogus janthinomys",NA,HOST->VECTOR->HUMAN->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
mers coronavirus,2,NA,NA,2,3,,middle east,128,remove eygpt,1,"EG,OM,QA,SA,IR,JO,AE",20,betacoronavirus,betacoronavirus,Severe Acute Respiratory Syndrome,camelus,mammalia,NA,NA,NA,NA,HOST->HUMAN->HUMAN,HOST->HUMAN,yes
mobala,2,NA,NA,2,2,,,129,,1,CF,2,arenavirus,arenavirus,None reported,praomys,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
mokola,2,1,NA,3,1,,sub-saharan africa,130,,1,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,CD,CG,GA,GQ,CM,CF,SD,TD,ZA",92,lyssavirus,lyssavirus,Encephalitis,"crocidura,lophuromys",mammalia,felis,mammalia,NA,NA,HOST->HUMAN,HOST->HUMAN,no
monkeypox,4,NA,NA,4,1,,sub-saharan africa,131,,1,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SD,TD,SD",71,poxviridae,poxviridae,monkeypox,"graphiurus,mus",mammalia,NA,NA,NA,NA,HOST->HUMAN->HUMAN,HOST->HUMAN,yes
mopeia,1,NA,NA,1,1,,,133,,1,"ZA,NA,LS,BW,ZW,ZM,AO,MZ,CD,CG,GA,GQ,CM,CF,SD,TD",50,arenavirus,arenavirus,None reported,mastomys natalensis,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
muju,3,NA,NA,3,1,,"north korea, south korea",134,,1,KR,2,hantavirus,hantavirus,None reported,"myodes regulus,myodes rufocanus",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
muleshoe,1,NA,NA,1,3,,,135,,1,US,2,hantavirus,hantavirus,None reported,sigmodon hispidus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
murray valley,3,NA,1,4,2,,,136,,1,"AU,PG",5,flavivirus,flavivirus,Murray Valley Encephalitis,"phalacrocorax,ardea,egretta",aves,NA,NA,culex annulirostris,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
black creek canal,2,NA,NA,2,0,,,136,,0,US,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,sigmodon hispidus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
mycobacterium leprae,1,NA,NA,1,0,,,137,,0,"BR,LR,KM,NP,PG,PW,FM,MH",23,bacteria,mycobacterium,Leprosy,dasypus novemcinctus,mammalia,humans,human,NA,NA,HOST->HUMAN->HUMAN,HOST->HUMAN,yes
new york,2,NA,NA,2,1,,,139,,0,US,2,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,"peromyscus leucopus,peromyscus maniculatus",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
nipah,2,NA,NA,2,2,,south-east asia,140,,1,"IN,BD,MY,CN,ID,VN,KH",8,paramyxoviridae,paramyxoviridae,Nipah virus,pteropus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
tioman virus,2,1,NA,3,0,,,140,,0,"MY,SG",5,paramyxoviridae,paramyxoviridae,None reported,pteropus,mammalia,pigs,domestic,NA,NA,HOST->HUMAN,HOST->HUMAN,no
omsk,3,NA,NA,3,3,,east russia,141,,1,RU,2,flavivirus,flavivirus,Tick-borne Encephalitis,"ondatra zibethicus,arvicola amphibius,microtus gregalis",mammalia,NA,NA,"dermacentor reticulatus,dermacentor marginatus,ixodes persulcatus",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
opisthorchis felineus,1,NA,1,2,0,,"europe, east russia",142,,0,"IT,UA,BY,KZ,RU",14,parasite,opisthorchis,Opisthorchiasis,human,human,NA,NA,bithynia,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
opisthorchis viverrini,1,NA,1,2,3,,,143,,1,"TH,KH,VN,LA,KR,JP",17,parasite,opisthorchis,Opisthorchiasis,human,human,NA,NA,bithynia,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
orientia chuto,1,NA,NA,1,0,,,145,problem with data?,0,AE,2,bacteria,orientia,Scrub typhus,leptotrombidium,invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
orientia tsutsugamushi,1,NA,NA,1,0,,,146,,0,"MM,TH,LA,KH,VN,MY,PH,BN,IN,JP,AU,AU,PG,ID,NC,SB,CK,FJ",53,bacteria,orientia,Scrub typhus,leptotrombidium,invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
oropouche,1,NA,3,4,2,,"central america, south america",147,,1,"PA,PE,BR,TT",11,orthobunyavirus,orthobunyavirus,Oropouche Virus Disease,bradypus,mammalia,NA,NA,"culex quinquefasciatus,ochlerotatus serratus",NA,HOST->VECTOR->HUMAN->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
paracoccidiodes brasiliensis,1,NA,NA,1,2,,,148,,1,"MX,PA,CO,VE,BR,AR,UY,EC,PE,BO,",30,fungi,fungi,Paracoccidioidomycosis,dasypus novemcinctus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
paragonimus kellicotti,1,NA,3,4,2,,,148,,1,"US,CA,MX",8,parasite,paragonimus,Paragonimiasis,human,human,NA,NA,"aroapyrgus,semisulcospira,thiara",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
paragonimus mexicanus,1,NA,3,4,2,,,148,,1,"BZ,GT,HN,SV,NI,CR,PA,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY",59,parasite,paragonimus,Paragonimiasis,human,human,NA,NA,"aroapyrgus,semisulcospira,thiara",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
paragonimus africanus,1,3,3,7,2,,,149,,1,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG",41,parasite,paragonimus,Paragonimiasis,human,human,"callinectes,liberonautes,sudanonautes",crustacean,"potodoma,melania",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
paragonimus uterobilateralis,1,3,2,6,2,,,149,,0,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG",41,parasite,paragonimus,Paragonimiasis,human,human,"callinectes,liberonautes,sudanonautes",crustacean,"potodoma,melania",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
paragonimus heterotremus,1,NA,2,3,2,,,150,sames as something above - check,1,"TH,CN,MM,TH,LA,KH,VN,MY,PH,BN",29,parasite,paragonimus,Paragonimiasis,human,human,NA,NA,"aroapyrgus,semisulcospira,thiara",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
paragonimus skjabini,1,NA,3,4,2,,,150,,1,"CN,MM,TH,LA,KH,VN,MY,PH,BN",26,parasite,paragonimus,Paragonimiasis,human,human,NA,NA,"aroapyrgus,semisulcospira,thiara",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
paragonimus westermani,1,NA,2,3,2,,,150,combine together by region,1,"MM,TH,LA,KH,VN,MY,PH,BN,IN,PH,PG",32,parasite,paragonimus,Paragonimiasis,human,human,NA,NA,"aroapyrgus,semisulcospira,thiara",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
paragonimus miyazakii,1,6,3,10,2,,,153,,1,JP,2,parasite,paragonimus,Paragonimiasis,human,human,"eriocheir japonicus,eriocheir sinensis,cambaroides similis,potamon dehaani",crustacean,"aroapyrgus,semisulcospira,thiara",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
penicillium marneffi,4,NA,NA,4,2,,,157,,1,"IN,MM,JP,CN,TH,LA,KH,VN,MY,ID",29,fungi,fungi,Penicilliosis,"cannomys badius,rhizomys pruinosus,rhizomys sinensis,rhizomys sumatrensis",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
pergamino,1,NA,NA,1,0,,,158,,0,AR,2,hantavirus,hantavirus,None reported,akodon azarae,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
pirital,1,NA,NA,1,3,,,159,,1,VE,2,arenavirus,arenavirus,None reported,sigmodon alstoni,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
