species,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
ochotona alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ochotona argentata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ochotona cansus,0,0,0,0,0,0,0.75,0.75,0,0,0.75,0,0,0,0,0,0
ochotona collaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ochotona curzoniae,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0.75,0,0,0,0,0.75,0.75
ochotona dauurica,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0
ochotona erythrotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ochotona forresti,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0,0,0
ochotona gloveri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ochotona hoffmanni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ochotona hyperborea,0,0.75,0.75,0.75,0.75,0.75,0.375,0.75,0,0,0,0,0,0,0,0,0.75
ochotona iliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ochotona koslowi,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0
ochotona ladacensis,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.375
ochotona macrotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
ochotona nubrica,0,0,0,0,0,0,0.75,0.75,0,0,0.75,0,0,0,0,0,0
ochotona princeps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
