species,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
abditomys latidens,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0.25,0,0.125,0,0
abeillia abeillei,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
abeomelomys sevia,0,1,1,1,1,1,0.5,0,0,0,1,0,0,0,0,0.5,0.5
abrawayaomys ruschii,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
abrocoma bennettii,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0
abrocoma boliviensis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0.75
abrocoma budini,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.75
abrocoma cinerea,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.75
abrocoma famatina,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.75
abrocoma shistacea,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.75
abrocoma uspallata,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0.375,0.375
abrocoma vaccarum,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.375
abroscopus albogularis,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0,0
abroscopus schisticeps,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
abroscopus superciliaris,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
abrothrix andinus,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0,0,0,0,0.375,0.375
abrothrix illuteus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
abrothrix jelskii,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0,0.75,0,0.375,0.375,0.75
abrothrix lanosus,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
abrothrix longipilis,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0,0,0,0.375,0.375
abrothrix olivaceus,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0.75,0,0,0,0,0,0
abrothrix sanborni,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
aburria aburri,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
acanthagenys rufogularis,0,0,0,0,0,0,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0.65
acanthidops bairdi,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
acanthisitta chloris,0,1,1,1,1,1,0.65,0.65,0,0,0,0,0.65,0.65,0.325,0,0
acanthiza apicalis,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.325,0.325,0,0
acanthiza chrysorrhoa,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0.65
acanthiza ewingii,0.325,1,1,1,1,1,0.5,0.65,0.325,0,0.325,0.65,0.65,0.65,0.325,0,0.65
acanthiza inornata,0,0.65,0.65,0.65,0.65,0,0.325,0.65,1,1,0.5,0.325,0,0.65,0,0,0
acanthiza iredalei,0.325,0,0,0,0,0,1,1,0.5,0,0,0.65,0,0,0,0,0
acanthiza katherina,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
acanthiza lineata,0.325,1,1,1,1,1,0.5,0.65,1,1,0.5,0.65,0.65,0.65,0.325,0,0
acanthiza murina,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
acanthiza nana,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0.65,0.65,0.325,0,0
acanthiza pusilla,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0.65
acanthiza reguloides,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0.65,0.325,0.325,0,0
acanthiza robustirostris,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,1
acanthiza uropygialis,0,0,0,0,0,0,1,1,1,1,0.5,0,0.65,0,0.325,0,0.65
acanthorhynchus superciliosus,0,0.65,0.65,0.65,0.65,0.65,0.65,1,1,1,0.5,0,0,0,0,0,0
acanthorhynchus tenuirostris,0,1,1,1,1,1,0.65,0.65,1,1,0.5,0,0.65,0.65,0.325,0,0
acanthornis magna,0,1,1,1,1,1,0.65,0.65,0,0,0,0,0,0,0,0,0
accipiter albogularis,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0,0,0.65,0.325,0,0.65
accipiter badius,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0.65,0.65,0.325,0,0
accipiter bicolor,0,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0,0,0,0,0
accipiter brachyurus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
accipiter brevipes,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0.325,0.65,0.65,0.65,0.65,0.325,0,0
accipiter butleri,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
accipiter castanilius,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
accipiter cirrocephalus,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0
accipiter collaris,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
accipiter cooperii,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0,0.325,0,0,0.65,0,0,0
accipiter erythrauchen,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
accipiter erythropus,0,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0,0.65,0.325,0,0.65
accipiter fasciatus,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.65,0.65,0,0.65,0.325,0.325,0.65
accipiter francesiae,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0.65
accipiter gentilis,0,1,1,1,1,1,0.5,0,0,0,0.65,0,0,0.65,0,0.325,0.325
accipiter griseiceps,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0.65,0,0,0,0,0
accipiter gularis,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0.65,0.65,0.65,0.325,0,0
accipiter gundlachi,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
accipiter haplochrous,0,1,1,1,1,1,0.5,0.65,0.65,0.65,0.325,0,0,0.65,0.325,0,0.65
accipiter henicogrammus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
accipiter henstii,0,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0.65,0,0.325,0,0
accipiter hiogaster,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
accipiter imitator,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
accipiter luteoschistaceus,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0,0.65,0.325,0,0.65
accipiter madagascariensis,0,1,1,1,1,1,0.65,0.65,0.325,0.25,0.125,0,0,0,0,0,0
accipiter melanochlamys,0.5,0,0,0,0,0,0,0,0,0,0.325,1,0.65,0.325,0.325,0,0
accipiter melanoleucus,0.65,1,1,1,1,1,0.65,0.65,0.325,0,0,0.65,0.65,0.65,0.325,0,0
accipiter meyerianus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
accipiter minullus,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0.65,0.325,0.325,0,0
accipiter nanus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
accipiter nisus,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0
accipiter novaehollandiae,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
accipiter ovampensis,0,0,0,0,0,0,0.65,0.65,1,1,0.5,0,0.65,0,0.325,0,0
accipiter poliocephalus,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0,0,0.325,0,0,0
accipiter poliogaster,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
accipiter princeps,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
accipiter rhodogaster,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0.65,0,0.325,0,0,0
accipiter rufitorques,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0
accipiter rufiventris,0,1,1,1,1,1,0.65,0.65,0.325,0.325,0.65,0,0.65,0.325,0.325,0,0
accipiter soloensis,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0,0.325,0.65,0,0.325,0,0,0
accipiter striatus,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0.65,0.325,0.325,0.65
accipiter superciliosus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
accipiter sylvestris,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
accipiter tachiro,0.65,1,1,1,1,1,0.5,0,0,0,0.325,0.65,0.65,0.325,0.325,0,0
accipiter toussenelii,0.65,1,1,1,1,1,0.5,0,0,0,0.325,0.65,0.65,0.325,0.325,0,0
accipiter trinotatus,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
accipiter trivirgatus,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0,0.65,0.325,0.325,0,0
accipiter virgatus,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0.65,0.65,0,0.325,0,0
acerodon celebensis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.375,0,0,0.375,0,0,0
acerodon humilis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
acerodon jubatus,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
acerodon leucotis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
acerodon mackloti,0,1,1,1,1,1,0.5,0,0,0,0.5,0,0,0.5,0,0,0
aceros nipalensis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
achaetops pycnopygius,0.65,0,0,0,0,0,0,0,0,0,0.65,0.65,0,0,0,0.325,1
acomys airensis,0,0,0,0,0,0,0.75,0.75,0.375,0,0.375,0,0.75,0.75,0.375,0,0.75
acomys cahirinus,0,0,0,0,0,0,0.75,0.75,0.375,0,0.375,0,0,0.375,0,0,0.75
acomys cineraceus,0,0,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0.375,0.375,0,0.75
acomys dimidiatus,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0.375,0.75,0,0.75,0.75,0.375,0,0.75
acomys ignitus,0,0,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0.75
acomys johannis,0,0,0,0,0,0,0.75,0.75,0.375,0.375,0.75,0,0,0,0,0,0.75
acomys kempi,0,0,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0.75
acomys louisae,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0,0,0,0,0,0.75
acomys minous,0,0,0,0,0,0,0.375,0.75,0.375,0,0,0,0,0,0,0,0.75
acomys mullah,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0,0,0.75
acomys nesiotes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
acomys percivali,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0.75
acomys russatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
acomys seurati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
acomys spinosissimus,0,0,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0.75
acomys subspinosus,0,0,0,0,0,0,0.375,0.75,0.375,0,0,0,0,0,0,0,0.75
acomys wilsoni,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0.75
aconaemys fuscus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0.75
aconaemys porteri,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0.75
aconaemys sagei,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0.75
acridotheres albocinctus,0.5,0,0,0,0,0,0,0,0,0,1,0.5,0.65,0,0.325,0,0
acridotheres cinereus,0.325,0,0,0,0,0,0,0,0,0,0,0.65,1,0,0.65,0,0
acridotheres cristatellus,0.325,0,0,0,0,0,0,0,0,0,0.65,0.325,0.65,0.65,0.325,0,0
acridotheres fuscus,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
acridotheres ginginianus,0.65,0,0,0,0,0,0,0,0,0,0,0.65,1,1,0.5,0,0
acridotheres grandis,0.325,0,0,0,0,0,0,0.325,0,0.5,1,0.65,1,0.325,0.5,0,0
acridotheres tristis,0.325,0,0,0,0,0,0,0,0,0.325,0.65,0.65,0.65,0.65,0.325,0,0
acrobates pygmaeus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0.25,0,0,0
acrobatornis fonsecai,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
acrocephalus aedon,0.65,0,0,0,0,0,1,1,0,0,0.65,0.65,0.65,0.325,0.325,0,0
acrocephalus aequinoctialis,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0
acrocephalus agricola,0.65,0,0,0,0,0,0,0,0,0,0,0.65,0.65,0,0.65,0,0
acrocephalus arundinaceus,0.65,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0,0
acrocephalus atyphus,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0.325,0,0.65,0.325,0.325,0,0
acrocephalus australis,0.65,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0
acrocephalus bistrigiceps,0.65,0,0,0,0,0,0,0.5,0,0,0.65,1,0,0,0.65,0,0
acrocephalus brevipennis,0.325,0,0,0,0,0,0.65,0.65,0.325,0,0.325,0.65,0.65,0.65,0.325,0,0
acrocephalus caffer,0,1,1,1,1,1,1,1,0.5,0,0,0,0.65,0,0.325,0,0
acrocephalus concinens,0.65,0,0,0,0,0,0,0.325,0,0,0.65,0.65,0,0,0,0,0
acrocephalus dumetorum,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0,0.325,0,0,0
acrocephalus familiaris,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0
acrocephalus gracilirostris,0.65,0,0,0,0,0,0.65,0.65,0.325,0,0.65,1,0,0,0,0,0
acrocephalus griseldis,1,0,0,0,0,0,1,1,0.65,0.65,0.325,1,0,0,0,0,0
acrocephalus kerearako,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0.65,0,0.325,0,0,0
acrocephalus luscinius,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0.65,0,0,0,0,0
acrocephalus melanopogon,0.5,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0
acrocephalus mendanae,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0,0.65,0,0.325,0,0
acrocephalus newtoni,0.5,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0
acrocephalus orinus,0.325,0,0,0,0,0,1,1,0.5,0,0.325,0.65,0,0,0,0,0
acrocephalus paludicola,0.5,0,0,0,0,0,0,0.5,0,0,0.5,1,0.65,0,0.325,0,0
acrocephalus palustris,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.325,0,0.65,0.65,0,0.325,0,0,0
acrocephalus rehsei,0,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0,0.65,0.325,0.325,0,0
acrocephalus rimatarae,0.5,1,1,1,1,1,0.5,0.5,0,0,0.5,1,0,0,0,0,0
acrocephalus rodericanus,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0
acrocephalus rufescens,0.5,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0.65,0,0
acrocephalus schoenobaenus,0.65,0,0,0,0,0,0,0.325,0.65,0.65,0.65,0.65,0.65,0,0.325,0,0
acrocephalus scirpaceus,0.65,0,0,0,0,0,1,1,0.65,0.65,0.65,1,0,0,0,0,0
acrocephalus sechellensis,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0
acrocephalus sorghophilus,0.5,0,0,0,0,0,0,0.5,0,0,0.5,1,0.25,0,0.125,0,0
acrocephalus stentoreus,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,1,0,0,0,0,0
acrocephalus syrinx,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0.5,1,0,0,0.325,0,0,0
acrocephalus taiti,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
acrocephalus tangorum,0.65,0,0,0,0,0,0,0.5,0,0,0.65,1,0,0,0,0,0
acrocephalus vaughani,0,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0,0,0.325,0,0,0
acropternis orthonyx,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
acryllium vulturinum,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.65,0,0,0,0,0,0
actenoides bougainvillei,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
actenoides capucinus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
actenoides concretus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
actenoides excelsus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
actenoides hombroni,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
actenoides lindsayi,0,1,1,1,1,1,0.5,0,0,0,0.125,0,0,0.125,0,0,0
actenoides monachus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
actenoides princeps,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
actenoides regalis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
actinodura egertoni,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
actinodura morrisoniana,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
actinodura nipalensis,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
actinodura ramsayi,0,1,1,1,1,1,0.65,0.65,0.325,0,0.65,0,0,0,0,0.325,0.325
actinodura sodangorum,0,1,1,1,1,1,1,1,0.5,0,0.65,0,0.65,0,0.325,0.5,0.5
actinodura souliei,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
actinodura waldeni,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
actitis hypoleucos,1,0,0,0,0,0,0,0,0,0,0.65,1,0,0.325,0,0,0.65
actitis macularius,0.65,0,0,0,0,0,0,0.325,0,0,0.325,0.65,0,0,0,0,0.65
actophilornis africanus,0.65,0,0,0,0,0,0,0,0,0,0.65,0.65,0.65,0,0.65,0,0
actophilornis albinucha,0.65,0,0,0,0,0,0,0,0,0,0.325,0.65,0,0,0,0,0
addax nasomaculatus,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0,0,0,0,0,0.75
adelomyia melanogenys,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aechmophorus clarkii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aechmophorus occidentalis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aegialomys galapagoensis,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0,0,0
aegialomys xanthaeolus,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.75,0.25,0.375,0,0.75
aegithalos caudatus,0.325,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0.65,0.65,0.65,0.325,0,0
aegithalos concinnus,0,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0,0,0.65,0.325,0,0.65
aegithalos fuliginosus,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
aegithalos iouschistos,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
aegithalos leucogenys,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0,0
aegithalos niveogularis,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0.5,0.5
aegithina lafresnayei,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aegithina nigrolutea,0,0,0,0,0,0,1,1,0.5,0,0,0,0.65,0,0.325,0,0
aegithina tiphia,0.5,1,1,1,1,1,0.5,0,0,0,0.325,1,0.65,0.65,0.325,0,0.65
aegithina viridissima,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
aegolius acadicus,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0.325,0,0.65,0,0,0.65
aegolius funereus,0,1,1,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0.325,0
aegolius harrisii,0,1,1,1,1,1,0.65,0.65,0.65,0.65,0.325,0,0,0.65,0.325,0,0.65
aegolius ridgwayi,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aegotheles affinis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aegotheles albertisi,0,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0,0.65,0.325,0,0.65
aegotheles archboldi,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aegotheles bennettii,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aegotheles crinifrons,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0.65,0,0.325,0,0
aegotheles cristatus,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.25,0.65,0.65,0.325,0.65,0,0,0,0,0
aegotheles insignis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aegotheles savesi,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aegotheles tatei,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aegotheles wallacii,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aegypius monachus,0,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0.325,0.325,0.65,0,0,0,0,0,0
aepeomys lugens,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0,0,0,0,0.375,0.375
aepeomys reigi,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0,0,0,0,0.375,0.375
aepypodius arfakianus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aepypodius bruijnii,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aepyprymnus rufescens,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.375,0,0.25,0,0.125,0,0
aeretes melanopterus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aerodramus bartschi,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0.65,0,0.325,0,0
aerodramus brevirostris,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0.65,0,0.325,0,0.65
aerodramus elaphrus,1,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.5,0,0,0,0,0,0
aerodramus francicus,0,1,1,1,1,1,0.65,0.65,0.325,0,0.65,0,0.65,0.65,0.325,0.325,0.65
aerodramus fuciphagus,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0.65,0.325,0,0.65
aerodramus hirundinaceus,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
aerodramus infuscatus,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
aerodramus inquietus,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
aerodramus leucophaeus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0.65
aerodramus maximus,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
aerodramus mearnsi,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
aerodramus nuditarsus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aerodramus orientalis,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
aerodramus papuensis,0.375,0.75,0.75,0.75,0.75,0.75,0.375,0.375,0,0,0.375,0.75,0,0,0,0,0
aerodramus pelewensis,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,1
aerodramus salangana,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
aerodramus sawtelli,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0,0.65,0,0.325,0,0
aerodramus spodiopygius,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0.65
aerodramus terraereginae,0,0.65,0.65,0.65,0.65,0.65,0.325,0,1,1,0.5,0,0,0,0,0,0.65
aerodramus unicolor,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
aerodramus vanikorensis,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0.65
aerodramus vulcanorum,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,1
aerodramus whiteheadi,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aeromys tephromelas,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.125,0,0,0.125,0,0,0
aeromys thomasi,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
aeronautes andecolus,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5
aeronautes montivagus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
aeronautes saxatalis,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0.65,0,0,0.65,0.325,0.5,1
aethalops aequalis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
aethalops alecto,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
aethia cristatella,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aethia psittacula,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
