Taxa,lower,Average of Mass,Average of walking speed,Average of d,Average of density
Chrysops distinctipennis,chrysops distinctipennis,0.25,1,2.27E-05,12507.6
Chrysops silacea,chrysops silacea,0.25,1,2.27E-05,12507.6
Citellophilus sungaris,citellophilus sungaris,0.01,0.01,8.90E-06,0
Coquillettidia,coquillettidia,0.1,1,1.74E-05,150000
Coquillettidia juxtamansonia,coquillettidia juxtamansonia,0.1,1,1.74E-05,150000
Cricetomys gambianus,cricetomys gambianus,1267.52,0.942432441,0.000271919,17
Crocidura,crocidura,13.465,0.521990894,7.25E-05,70
Crocidura theresae,crocidura theresae,17.6,0.540483882,7.83E-05,64
Ctenophthalmus,ctenophthalmus,0.01,0.01,8.90E-06,0
Culex,culex,0.1,1,1.74E-05,150000
Culex annulirostris,culex annulirostris,0.1,1,1.74E-05,150000
Culex bitaeniorhynchus,culex bitaeniorhynchus,0.1,1,1.74E-05,150000
Culex gelidus,culex gelidus,0.1,1,1.74E-05,150000
Culex molestus,culex molestus,0.1,1,1.74E-05,150000
Culex pipiens,culex pipiens,0.1,1,1.74E-05,150000
Culex quinquefasciatu,culex quinquefasciatu,0.1,1,1.74E-05,150000
Culex quinquefasciatus,culex quinquefasciatus,0.1,1,1.74E-05,150000
Culex tritaenorhynchus,culex tritaenorhynchus,0.1,1,1.74E-05,150000
Culex vishnui,culex vishnui,0.1,1,1.74E-05,150000
Culex  quinquefasciatus,culex  quinquefasciatus,0.1,1,1.74E-05,150000
Culicoides,culicoides,0.1,1,1.74E-05,150000
Cynomys gunnisoni,cynomys gunnisoni,797.93,0.88740429,0.000237657,20
Cynomys ludovicianus,cynomys ludovicianus,871.74,0.897669371,0.000243855,20
Dasypus novemcinctus,dasypus novemcinctus,3949.01,1.092470129,0.000378492,12
Dendrohyrax,dendrohyrax,3078.05,1.057649912,0.00035202,13
Dermacentor,dermacentor,2.75,0.01,4.56E-05,840
Dermacentor andersoni,dermacentor andersoni,2.75,0.01,4.56E-05,840
Dermacentor silvarum,dermacentor silvarum,2.75,0.01,4.56E-05,840
Dermacentor variabilis,dermacentor variabilis,2.75,0.01,4.56E-05,840
Desmodus rotundus,desmodus rotundus,33.16,0.586875512,9.42E-05,53
Diamanus montanus,diamanus montanus,0.01,0.01,8.90E-06,0
Didelphis marsupialis,didelphis marsupialis,1134.75,0.928973072,0.000263302,18
Didelphis virginiana,didelphis virginiana,1428.295,0.957177386,0.000281534,17
Dinopsyllus lypusus,dinopsyllus lypusus,0.01,0.01,8.90E-06,0
Eidolon helvum,eidolon helvum,254.61,20,0.000170447,28
Elephantulus,elephantulus,50.45666667,0.619791353,0.000106421,47
Eothenomys miletus,eothenomys miletus,19.59,0.548063118,8.08E-05,62
Epomophorus gambianus,epomophorus gambianus,134.59,20,0.000141586,35
Epomops franqueti,epomops franqueti,118.99,0.692918986,0.000136601,36
Eptesicus fuscus,eptesicus fuscus,17.49,20,7.82E-05,64
Eptesicus serotinus,eptesicus serotinus,23.09,20,8.48E-05,59
Erethizon dorsatum,erethizon dorsatum,7419.46,1.185808337,0.000454734,10
Erinaceus,erinaceus,721.97,0.87593845,0.000230838,21
Frontopsylla luculenta,frontopsylla luculenta,0.01,0.01,8.90E-06,0
Funambulus palmarum,funambulus palmarum,136.4,0.705329371,0.000142138,34
Funambulus pennantii,funambulus pennantii,111.11,0.68677426,0.000133904,37
Funisciurus anerythrus,funisciurus anerythrus,223.54,0.752111592,0.000164112,30
Funisciurus congicus,funisciurus congicus,112,0.687486926,0.000134215,37
Galea musteloides,galea musteloides,386.64,0.807636582,0.00019248,25
Gerbilliscus afra,gerbilliscus afra,115.205,0.688418923,0.000134753,36.5
Gerbilliscus brantsii,gerbilliscus brantsii,113.845,0.687115861,0.000134202,36.5
Gerbilliscus leucogaster,gerbilliscus leucogaster,73.75,0.651141182,0.00011885,41
Gerbilliscus robustus,gerbilliscus robustus,95.99,0.67383797,0.000128324,38
Gerbillus gerbillus,gerbillus gerbillus,26.99,0.571376633,8.87E-05,56
Gerbillus nanus,gerbillus nanus,25.5,0.567174013,8.73E-05,57
Glossina fuscipes,glossina fuscipes,2,1,4.16E-05,822
Glossina morsitans,glossina morsitans,2,1,4.16E-05,822
Glossina palpalis,glossina palpalis,2,1,4.16E-05,822
Glossina palpides,glossina palpides,2,1,4.16E-05,822
Glossina tachinoides,glossina tachinoides,2,1,4.16E-05,822
Graomys griseoflavus,graomys griseoflavus,68.32,0.644699483,0.000116234,42
Graphiurus,graphiurus,35.094,0.591216266,9.58E-05,52
Haemagogus janthinomys,haemagogus janthinomys,0.1,1,1.74E-05,150000
Haemaphysalis flava,haemaphysalis flava,2.75,0.01,4.56E-05,840
Haemaphysalis hystericis,haemaphysalis hystericis,2.75,0.01,4.56E-05,840
Haemaphysalis leachii,haemaphysalis leachii,2.75,0.01,4.56E-05,840
Haemaphysalis longicornis,haemaphysalis longicornis,2.75,0.01,4.56E-05,840
Haemaphysalis punctata,haemaphysalis punctata,2.75,0.01,4.56E-05,840
Haemaphysalis yeni,haemaphysalis yeni,2.75,0.01,4.56E-05,840
Hectopsylla,hectopsylla,0.01,0.01,8.90E-06,0
Heliosciurus,heliosciurus,297.2366667,0.780493715,0.0001783,27
Heterohyrax brucei,heterohyrax brucei,2453.66,1.02693267,0.000329545,14
Heteromys,heteromys,102.7483333,0.679824517,0.00013089,38
Histiotus macrotus,histiotus macrotus,11,0.50844871,6.83E-05,74
Holochilus sciureus,holochilus sciureus,120.42,0.693995927,0.000137076,36
Hoplopsyllus anomalus,hoplopsyllus anomalus,0.01,0.01,8.90E-06,0
Hyalomma,hyalomma,2.75,0.01,4.56E-05,840
Hyalomma marginatum,hyalomma marginatum,2.75,0.01,4.56E-05,840
Hylomyscus alleni,hylomyscus alleni,22.308,0.557398741,8.39E-05,60
Hypsignathus monstrosus,hypsignathus monstrosus,336.97,0.793328327,0.00018493,26
Ixodes,ixodes,2.75,0.01,4.56E-05,840
Ixodes hexagonus,ixodes hexagonus,2.75,0.01,4.56E-05,840
Ixodes holocyclus,ixodes holocyclus,2.75,0.01,4.56E-05,840
Ixodes japonesi,ixodes japonesi,2.75,0.01,4.56E-05,840
Ixodes monospinosus,ixodes monospinosus,2.75,0.01,4.56E-05,840
Ixodes ovatus,ixodes ovatus,2.75,0.01,4.56E-05,840
Ixodes pacificus,ixodes pacificus,2.75,0.01,4.56E-05,840
Ixodes persculatus,ixodes persculatus,2.75,0.01,4.56E-05,840
Ixodes persulcatus,ixodes persulcatus,2.75,0.01,4.56E-05,840
Ixodes persulcaus,ixodes persulcaus,2.75,0.01,4.56E-05,840
Ixodes ricinus,ixodes ricinus,2.75,0.01,4.56E-05,840
Ixodes scapularis,ixodes scapularis,2.75,0.01,4.56E-05,840
Ixodes tasmani,ixodes tasmani,2.75,0.01,4.56E-05,840
Ixodes trianguliceps,ixodes trianguliceps,2.75,0.01,4.56E-05,840
Ixodes ventalloi,ixodes ventalloi,2.75,0.01,4.56E-05,840
Ixodida,ixodida,2.75,0.01,4.56E-05,840
Jaculus jaculus,jaculus jaculus,59.8,0.633632222,0.000111815,44
Kobus ellipsiprymnus,kobus ellipsiprymnus,204393.48,1.824848503,0.001193507,4
Lasiopodomys brandtii,lasiopodomys brandtii,26.89026442,10.2586351,8.57E-05,60.5
Lasiurus cinereus,lasiurus cinereus,27.06,0.571569062,8.88E-05,56
Lemniscomys striatus,lemniscomys striatus,43.65,0.6082247,0.000102027,49
Leptotrombidium,leptotrombidium,0.01,0.01,8.90E-06,150000
Lepus americanus,lepus americanus,1568.42,0.968893871,0.000289307,16
Lepus europaeus,lepus europaeus,3816.43,1.08763093,0.00037475,12
Lophuromys flavopunctatus,lophuromys flavopunctatus,57.07,0.629794878,0.000110305,45
Lutzomyia,lutzomyia,0.05,0.01,1.42E-05,150000
Macaca,macaca,7193.830588,1.181057189,0.000450666,10
Mansonia,mansonia,0.1,1,1.74E-05,150000
Mansonia pseudotitillans,mansonia pseudotitillans,0.1,1,1.74E-05,150000
Mansonia uniformis,mansonia uniformis,0.1,1,1.74E-05,150000
Marmota,marmota,4255.134286,1.103125251,0.000386806,12
Marmota baibacina,marmota baibacina,4255.134286,1.103125251,0.000386806,12
Marmota caudata,marmota caudata,4350,1.106291827,0.000389295,12
Marmota himalayana,marmota himalayana,4255.134286,1.103125251,0.000386806,12
Marmota sibirica,marmota sibirica,4255.134286,1.103125251,0.000386806,12
Martes martes,martes martes,1299.99,0.945536508,0.000273927,17
Mastomys coucha,mastomys coucha,53.81,0.624997513,0.000108433,46
Mastomys natalensis,mastomys natalensis,41.85,0.604904076,0.000100784,49
Meles meles,meles meles,11884.03,1.260698937,0.000521547,9
Mephitis mephitis,mephitis mephitis,2399.99,1.023984368,0.000327431,14
Meriones,meriones,89.5975,0.667827912,0.000125776,39
Meriones libycus,meriones libycus,91.33,0.669492706,0.000126479,39
Meriones meridianus,meriones meridianus,89.5975,0.667827912,0.000125776,39
Meriones persicus,meriones persicus,107.52,0.683848193,0.00013263,37
Meriones shawi,meriones shawi,90.6,0.668794613,0.000126184,39
Meriones tamariscinus,meriones tamariscinus,89.5975,0.667827912,0.000125776,39
Meriones tristrami,meriones tristrami,111.62,0.687183247,0.000134082,37
Meriones unguiculatus,meriones unguiculatus,57.75,0.630765395,0.000110685,45
Meriones vinogradovi,meriones vinogradovi,117,0.691401413,0.000135932,36
Micromys minutus,micromys minutus,6.99,0.479344925,5.99E-05,85
Microtus,microtus,41.8771875,20,0.000100801,49.5
Microtus arvalis,microtus arvalis,34.0621875,20,9.45E-05,53
Microtus fortis,microtus fortis,41.224375,20,0.000100343,50
Microtus pennsylvanicus,microtus pennsylvanicus,42.53,20,0.000101258,49
Miniopterus schreibersii,miniopterus schreibersii,10.876,20,6.81E-05,74
Monopsyllus,monopsyllus,0.01,0.01,8.90E-06,0
Murina,murina,7.54,0.484088065,6.12E-05,83
Mus booduga,mus booduga,12.55615385,0.517270203,7.10E-05,71
Mus minutoides,mus minutoides,6.43,0.474169404,5.84E-05,87
Mustela eversmanii,mustela eversmanii,1684.21,0.977907129,0.000295366,16
Mustela putorius,mustela putorius,975.55,0.910895465,0.000251971,19
Myodes glareolus,myodes glareolus,20.73,0.552107962,8.22E-05,61
Myodes regulus,myodes regulus,25.02833333,0.565799099,8.68E-05,58
Myodes rufocanus,myodes rufocanus,36.43,0.594094857,9.68E-05,51
Myotis blythii,myotis blythii,9.597169811,20,6.57E-05,77
Myotis chiloensis,myotis chiloensis,9.597169811,20,6.57E-05,77
Myotis dasycneme,myotis dasycneme,15.16,0.530099014,7.50E-05,67
Myotis daubentonii,myotis daubentonii,7.63,20,6.14E-05,83
Myotis mystacinus,myotis mystacinus,9.597169811,20,6.57E-05,77
Necromys lasiurus,necromys lasiurus,39.93,0.601222203,9.94E-05,50
Necromys obscurus,necromys obscurus,38.56428571,0.598508315,9.84E-05,51
Nectomys,nectomys,216.89,0.749164586,0.000162676,30
Neopsylla,neopsylla,0.01,0.01,8.90E-06,0
Neotoma albigula,neotoma albigula,208.18,0.745183399,0.000160748,30
Neotoma cinerea,neotoma cinerea,285.89,0.776554545,0.000176292,27
Neotoma mexicana,neotoma mexicana,203,0.742746451,0.000159573,30
Neotoma micropus,neotoma micropus,255.14,0.765151285,0.00017055,28
Neotricula aperta,neotricula aperta,10,0.01,6.64E-05,5600
Nesokia indica,nesokia indica,178.08,0.730207131,0.000153606,32
Nosopsylla,nosopsylla,0.01,0.01,8.90E-06,0
Nosopsyllus laeviceps,nosopsyllus laeviceps,0.01,0.01,8.90E-06,0
Nyctereutes procyonoides,nyctereutes procyonoides,4214.99,1.101766725,0.00038574,12
Nyctomys sumichrasti,nyctomys sumichrasti,59.99,0.633893579,0.000111918,44
Ochlerotatus,ochlerotatus,0.1,1,1.74E-05,150000
Ochlerotatus melanimon,ochlerotatus melanimon,0.1,1,1.74E-05,150000
Ochlerotatus taeniorhynchu,ochlerotatus taeniorhynchu,0.1,1,1.74E-05,150000
Ochlerotatus vigilax,ochlerotatus vigilax,0.1,1,1.74E-05,150000
Odocoileus virginianus,odocoileus virginianus,75901.25,1.604347572,0.000894605,5
Oligoryzomys andinus,oligoryzomys andinus,61.08346154,0.635383853,0.000112508,44
Oligoryzomys chacoensis,oligoryzomys chacoensis,23,0.559616768,8.47E-05,59
Oligoryzomys flavescens,oligoryzomys flavescens,21.3,0.554058279,8.28E-05,61
Oligoryzomys longicaudatus,oligoryzomys longicaudatus,27.54,0.572877034,8.92E-05,56
Oligoryzomys microtis,oligoryzomys microtis,22.5,0.558020081,8.41E-05,60
Oligoryzomys nigripes,oligoryzomys nigripes,20.33,0.550711264,8.17E-05,61
Oncomelania,oncomelania,10,0.01,6.64E-05,5600
Ondatra zibethicus,ondatra zibethicus,991.31,0.912795171,0.000253149,19
Opisocrostis,opisocrostis,0.01,0.01,8.90E-06,0
Orchopeas howardii,orchopeas howardii,0.01,0.01,8.90E-06,0
Orchopeas neotomae,orchopeas neotomae,0.01,0.01,8.90E-06,0
Orchopeas sexdentatus,orchopeas sexdentatus,0.01,0.01,8.90E-06,0
Ornithodoros,ornithodoros,2.75,0.01,4.56E-05,840
Oropsylla,oropsylla,0.01,0.01,8.90E-06,0
Oryzomys,oryzomys,79.79,0.657838673,0.000121603,41
Oryzomys palustris,oryzomys palustris,53.26,0.624163332,0.000108109,46
Otomys angoniensis,otomys angoniensis,100.64,0.677994674,0.000130102,38
Otomys irroratus,otomys irroratus,114.45,0.689423613,0.000135063,36
Ototylomys phyllotis,ototylomys phyllotis,86.94,0.665219013,0.000124679,39
Paguma larvata,paguma larvata,4300,1.104630422,0.000387988,12
Pan troglodytes,pan troglodytes,45000,1.498938199,0.000768358,6
Panstrongylus,panstrongylus,0.5,1,2.78E-05,1000
Parafossarulus,parafossarulus,10,0.01,6.64E-05,5600
Peromyscus leucopus,peromyscus leucopus,18.07,0.542338781,7.89E-05,64
Peromyscus maniculatus,peromyscus maniculatus,19.98,0.549469402,8.13E-05,62
