Taxa,lower,Average of Mass,Average of walking speed,Average of d,Average of density
Thrassis pandorae,thrassis pandorae,0.01,0.01,8.90E-06,0
Tiamastus cavicola,tiamastus cavicola,0.01,0.01,8.90E-06,0
Triatoma,triatoma,0.5,1,2.78E-05,1000
Vulpes vulpes,vulpes vulpes,4820.36,1.121156998,0.000401102,12
Xenopsylla,xenopsylla,0.01,0.01,8.90E-06,0
Zygodontomys brevicauda,zygodontomys brevicauda,52.22,0.622565275,0.00010749,46
Aethomys,aethomys,68.975,0.644403088,0.000116196,42.5
Akodon,akodon,27.83,0.573382145,8.94E-05,55.5
Alces,alces,461900.76,2.028884987,0.001513082,3
Amphipsylla,amphipsylla,0.01,0.01,8.90E-06,0
Anourosorex,anourosorex,20,0.549540874,8.13E-05,62
Arvicanthis,arvicanthis,84.57,0.662166941,0.000123453,40
Bandicota,bandicota,405.04,0.802777946,0.000190885,25.5
Bison,bison,650226.885,2.120929805,0.001671133,3
Blarina,blarina,18.56,0.544228445,7.95E-05,63
Bolomys,bolomys,39.93,0.601222203,9.94E-05,50
Bos,bos,500000,2.049897761,0.001548386,3
Bothriocroton,bothriocroton,2.75,0.01,4.56E-05,840
Bradypus,bradypus,4256.08,1.103107741,0.000386799,12
Bubalus,bubalus,929500.97,2.221971994,0.001854555,2
Callopsylla,callopsylla,0.01,0.01,8.90E-06,0
Calomys,calomys,34.63333333,0.581913618,9.30E-05,55
Camelus,camelus,523615.19,2.061826025,0.001568755,3
Canis,canis,25775.76429,1.378853589,0.000640731,7.571428571
Cannomys,cannomys,472.07,0.828870977,0.000203993,24
Capreolus,capreolus,22502.01,1.369792775,0.000628023,7
Castor,castor,18124.41,1.331804275,0.000589704,8
Cavia,cavia,1000,0.91383145,0.000253793,19
Cerdocyon,cerdocyon,5741.66,1.14694072,0.000422045,11
Cervus,cervus,240867.13,1.864220075,0.001251919,4
Choloepus,choloepus,6270,1.159904341,0.000432835,11
Citellophilus,citellophilus,0.01,0.01,8.90E-06,0
Citellus,citellus,458.185,0.803458206,0.000192601,26.5
Cricetomys,cricetomys,1267.52,0.942432441,0.000271919,17
Cynomys,cynomys,834.835,0.89253683,0.000240756,20
Dasypus,dasypus,3949.01,1.092470129,0.000378492,12
Desmodus,desmodus,33.16,0.586875512,9.42E-05,53
Diamanus,diamanus,0.01,0.01,8.90E-06,0
Didelphis,didelphis,1208.13625,0.936024151,0.00026786,17.75
Dinopsyllus,dinopsyllus,0.01,0.01,8.90E-06,0
Eidolon,eidolon,254.61,20,0.000170447,28
Eothenomys,eothenomys,19.59,0.548063118,8.08E-05,62
Epomophorus,epomophorus,134.59,20,0.000141586,35
Epomops,epomops,118.99,0.692918986,0.000136601,36
Eptesicus,eptesicus,20.29,20,8.15E-05,61.5
Erethizon,erethizon,7419.46,1.185808337,0.000454734,10
Frontopsylla,frontopsylla,0.01,0.01,8.90E-06,0
Funambulus,funambulus,123.755,0.696051815,0.000138021,35.5
Funisciurus,funisciurus,167.77,0.719799259,0.000149164,33.5
Galea,galea,386.64,0.807636582,0.00019248,25
Gerbilliscus,gerbilliscus,87.82,0.665719351,0.000124918,39.25
Gerbillus,gerbillus,26.245,0.569275323,8.80E-05,56.5
Glossina,glossina,2,1,4.16E-05,822
Graomys,graomys,68.32,0.644699483,0.000116234,42
Haemagogus,haemagogus,0.1,1,1.74E-05,150000
Haemaphysalis,haemaphysalis,2.75,0.01,4.56E-05,840
Heterohyrax,heterohyrax,2453.66,1.02693267,0.000329545,14
Histiotus,histiotus,11,0.50844871,6.83E-05,74
Holochilus,holochilus,120.42,0.693995927,0.000137076,36
Hoplopsyllus,hoplopsyllus,0.01,0.01,8.90E-06,0
Hylomyscus,hylomyscus,22.308,0.557398741,8.39E-05,60
Hypsignathus,hypsignathus,336.97,0.793328327,0.00018493,26
Juculus,juculus,59.8,0.633632222,0.000111815,44
Kobus,kobus,204393.48,1.824848503,0.001193507,4
Lasiopodomys,lasiopodomys,12.55615385,0.517270203,7.10E-05,71
Lasiurus,lasiurus,27.06,0.571569062,8.88E-05,56
Lemniscomys,lemniscomys,43.65,0.6082247,0.000102027,49
Lepus,lepus,2692.425,1.028262401,0.000332028,14
Lophuromys,lophuromys,57.07,0.629794878,0.000110305,45
Martes,martes,1299.99,0.945536508,0.000273927,17
Mastomys,mastomys,45.83666667,0.611601888,0.000103334,48
Meles,meles,11884.03,1.260698937,0.000521547,9
Mephitis,mephitis,2399.99,1.023984368,0.000327431,14
Micromys,micromys,6.99,0.479344925,5.99E-05,85
Miniopterus,miniopterus,10.876,20,6.81E-05,74
Mus,mus,9.493076923,0.495719803,6.47E-05,79
Mustela,mustela,1329.88,0.944401297,0.000273668,17.5
Myodes,myodes,25.72958333,0.56602747,8.70E-05,57.75
Myotis,myotis,10.31630189,16.1060198,6.67E-05,76.2
Necromys,necromys,39.24714286,0.599865259,9.89E-05,50.5
Neotoma,neotoma,238.0525,0.75740892,0.000166791,28.75
Neotricula,neotricula,10,0.01,6.64E-05,5600
Nesokia,nesokia,178.08,0.730207131,0.000153606,32
Nosopsyllus,nosopsyllus,0.01,0.01,8.90E-06,0
Nyctereutes,nyctereutes,4214.99,1.101766725,0.00038574,12
Nyctomys,nyctomys,59.99,0.633893579,0.000111918,44
Odocoileus,odocoileus,75901.25,1.604347572,0.000894605,5
Oligoryzomys,oligoryzomys,24.09375,0.562581783,8.57E-05,58.5
Ondatra,ondatra,991.31,0.912795171,0.000253149,19
Orchopeas,orchopeas,0.01,0.01,8.90E-06,0
Otomys,otomys,107.545,0.683709144,0.000132583,37
Ototylomys,ototylomys,86.94,0.665219013,0.000124679,39
Paguma,paguma,4300,1.104630422,0.000387988,12
Pan,pan,45000,1.498938199,0.000768358,6
Peromyscus,peromyscus,19.14333333,0.545979074,8.01E-05,63
Polygenis,polygenis,0.01,0.01,8.90E-06,0
Pomacea,pomacea,10,0.01,6.64E-05,5600
Presbytis,presbytis,7026.91,1.177458126,0.000447597,10
Procavia,procavia,2952.48,1.051938635,0.000347779,14
Procyon,procyon,6373.72,1.16261839,0.000435068,11
Proechimys,proechimys,326.94,0.790148328,0.000183282,26.5
Psammomys,psammomys,102.15,0.679308563,0.000130667,38
Pulex,pulex,0.01,0.01,8.90E-06,0
Rangifer,rangifer,109088.5,1.681811689,0.000994197,5
Rattus,rattus,112.8089516,0.681750254,0.000132285,37.75
Reithrodontomys,reithrodontomys,13.215,0.51965392,7.18E-05,70.5
Rhinolophus,rhinolophus,10.16598837,20,6.63E-05,76.75
Rhizomys,rhizomys,2475,1.028085435,0.000330374,14
Rhombomys,rhombomys,12.55615385,0.517270203,7.10E-05,71
Rousettus,rousettus,134,20,0.000141406,35
Saimiri,saimiri,749.47,0.880205653,0.000233363,21
Sciurus,sciurus,534.2066667,0.840513716,0.000210644,23
Sorex,sorex,7.802571429,0.485824691,6.17E-05,82.33333333
Spermophilus,spermophilus,400.1248182,0.801964811,0.000190365,25.90909091
Stenoponia,stenoponia,0.01,0.01,8.90E-06,0
Stivalius,stivalius,0.01,0.01,8.90E-06,0
Stomoxys,stomoxys,0.25,1,2.27E-05,200
Suncus,suncus,43.76,0.60842374,0.000102102,49
Sus,sus,84471.54,1.626816071,0.000922894,5
Sylvilagus,sylvilagus,1246.050227,0.939310369,0.000270032,17.75
Syncerus,syncerus,592665.98,2.095711036,0.001626922,3
Synosternus,synosternus,0.01,0.01,8.90E-06,0
Tadarida,tadarida,12.61,0.517558043,7.11E-05,71
Tamandua,tamandua,4800,1.120540251,0.000400608,12
Tatera,tatera,138.28,0.706585659,0.000142705,34
Thrassis,thrassis,0.01,0.01,8.90E-06,0
Tiamastus,tiamastus,0.01,0.01,8.90E-06,0
Urocitellus,urocitellus,353.1876667,0.798190987,0.000187477,26
Vulpes,vulpes,4408.363333,1.107037031,0.000390058,12.33333333
Zygodontomys,zygodontomys,48.12333333,0.615450918,0.000104799,47.33333333
Galba,cousini,50,0.000345,6.47E-05,15.98333333
Galba,cubensis,50,0.000345,6.47E-05,15.98333333
