analysis_unit_id,readiness_disease_name,analysis_unit_label,modelling_scope_status,recommended_next_action,pathogen_species_name,pathogen_taxid,source_pathogen,source_msl39_viral_name,matched_pathogen_names,matched_taxids,match_review_flag,shared_species_proxy_flag,match_review_notes,pathogen_species_name_source,pathogen_taxid_source,review_decision,override_query_pathogen_label,override_pathogen_taxid,override_reason,query_pathogen_label,query_pathogen_source,target_id,row_manifest_status,row_manifest_status_reason,qa_flags,genbank_distinct_countries_or_territories,who_don_distinct_countries,current_target_id,current_manifest_query_used,current_manifest_query_strategy
master_24,Severe fever with thrombocytopenia syndrome (SFTS),SFTS virus,review_before_modelling,review_or_defer_scope,Bandavirus dabieense,1933190; 2748958,Bandavirus dabieense,Bandavirus dabieense,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,NA,NA,NA,NA,Bandavirus dabieense,pathogen_species_name,Bandavirus_dabieense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,6,0,NA,NA,NA
master_49,Bartonellosis,Bartonellosis,review_before_modelling,review_or_defer_scope,Bartonella bacilliformis,774,NA,NA,bartonella bacilliformis,774,FALSE,FALSE,NA,matched_pathogen_names,matched_taxids:clover,NA,NA,NA,NA,Bartonella bacilliformis,pathogen_species_name,Bartonella_bacilliformis,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,4,0,NA,NA,NA
master_95,Baylisascaris procyonis,Baylisascaris procyonis,include,find_or_build_host_sdm,Baylisascaris procyonis,6259,NA,NA,baylisascaris procyonis,6259,FALSE,FALSE,NA,matched_pathogen_names,matched_taxids:clover,NA,NA,NA,NA,Baylisascaris procyonis,pathogen_species_name,Baylisascaris_procyonis,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,14,0,NA,NA,NA
master_97,Borrelia hermsii,Borrelia hermsii,include,curate_direct_vector_evidence,Borrelia hermsii,140,NA,NA,borrelia hermsii,140,FALSE,FALSE,NA,matched_pathogen_names,matched_taxids:clover,NA,NA,NA,NA,Borrelia hermsii,pathogen_species_name,Borrelia_hermsii,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,2,0,NA,NA,NA
master_33,Melioidosis,Melioidosis,include,curate_role_evidence,Burkholderia pseudomallei,28450,NA,NA,burkholderia pseudomallei,28450,FALSE,FALSE,NA,matched_pathogen_names,matched_taxids:clover,NA,NA,NA,NA,Burkholderia pseudomallei,pathogen_species_name,Burkholderia_pseudomallei,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,NA,0,0,NA,NA,NA
master_54,Lumpy skin disease,Lumpy skin disease,review_before_modelling,review_or_defer_scope,Capripoxvirus lumpyskinpox,3427718; 59509,NA,NA,capripoxvirus lumpyskinpox,3427718; 59509,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Capripoxvirus lumpyskinpox,pathogen_species_name,Capripoxvirus_lumpyskinpox,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,58,0,NA,NA,NA
master_84,Colorado tick fever,Colorado tick fever,include,curate_direct_vector_evidence,Coltivirus dermacentoris,2748762; 3428066,NA,NA,coltivirus dermacentoris,2748762; 3428066,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Coltivirus dermacentoris,pathogen_species_name,Coltivirus_dermacentoris,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,2,0,NA,NA,NA
master_62,Q fever,Q fever,include,find_or_build_host_sdm,Coxiella burnetii,777,NA,NA,coxiella burnetii,777,FALSE,FALSE,NA,matched_pathogen_names,matched_taxids:clover,NA,NA,NA,NA,Coxiella burnetii,pathogen_species_name,Coxiella_burnetii,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,61,0,NA,NA,NA
master_37,EEE,EEE,include,curate_direct_vector_evidence,Eastern equine encephalitis virus,11021,NA,NA,eastern equine encephalitis virus,11021,FALSE,FALSE,NA,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Eastern equine encephalitis virus,pathogen_species_name,Eastern_equine_encephalitis_virus,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,20,0,NA,NA,NA
master_86,Ehrlichia chaffeensis,Ehrlichia chaffeensis,include,curate_direct_vector_evidence,Ehrlichia chaffeensis,945,NA,NA,ehrlichia chaffeensis,945,FALSE,FALSE,NA,matched_pathogen_names,matched_taxids:clover,NA,NA,NA,NA,Ehrlichia chaffeensis,pathogen_species_name,Ehrlichia_chaffeensis,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,18,0,NA,NA,NA
