target_id,Pathogens,Disease_name,source_db,query_used,status,records_found,ids_collected,records_parsed,countries_observed,started_at,finished_at,note,source_path,source_file,genbank_run_source
Orthobunyavirus_schmallenbergense,Orthobunyavirus schmallenbergense,Schmallenberg,nuccore,(txid159141[Organism:exp] OR txid159150[Organism:exp] OR txid3052437[Organism:exp]),success,553,553,553,18,2026-05-14 19:18:44.615636,2026-05-14 19:18:53.78315,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthobunyavirus_schmallenbergense.csv,Orthobunyavirus_schmallenbergense.csv,readiness_run
Orthoflavivirus_encephalitidis,Orthoflavivirus encephalitidis,Tick-borne encephalitis,nuccore,(txid11084[Organism:exp] OR txid3052465[Organism:exp]),success,3621,3621,3621,37,2026-05-14 19:18:53.791798,2026-05-14 19:19:56.412674,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthoflavivirus_encephalitidis.csv,Orthoflavivirus_encephalitidis.csv,readiness_run
Orthoflavivirus_japonicum,Orthoflavivirus japonicum,Japanese encephalitis,nuccore,(txid11072[Organism:exp] OR txid3048158[Organism:exp]),success,4026,4026,4026,22,2026-05-14 19:19:56.424626,2026-05-14 19:21:04.107627,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthoflavivirus_japonicum.csv,Orthoflavivirus_japonicum.csv,readiness_run
Orthoflavivirus_kyasanurense,Orthoflavivirus kyasanurense,Kyasanur Forest disease,nuccore,(txid3048170[Organism:exp] OR txid33743[Organism:exp]),success,403,403,403,4,2026-05-14 19:21:04.118053,2026-05-14 19:21:12.533809,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthoflavivirus_kyasanurense.csv,Orthoflavivirus_kyasanurense.csv,readiness_run
Orthoflavivirus_louisense,Orthoflavivirus louisense,St. Louis encephalitis,nuccore,(txid11080[Organism:exp] OR txid3052468[Organism:exp]),success,559,559,559,12,2026-05-14 19:21:12.545888,2026-05-14 19:21:26.388006,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthoflavivirus_louisense.csv,Orthoflavivirus_louisense.csv,readiness_run
Orthoflavivirus_murrayense,Orthoflavivirus murrayense,Murray Valley encephalitis,nuccore,(txid11079[Organism:exp] OR txid3048215[Organism:exp]),success,364,364,364,3,2026-05-14 19:21:26.396362,2026-05-14 19:21:34.939153,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthoflavivirus_murrayense.csv,Orthoflavivirus_murrayense.csv,readiness_run
Orthoflavivirus_omskense,Orthoflavivirus omskense,Omsk HF,nuccore,(txid12542[Organism:exp] OR txid3048233[Organism:exp]),success,135,135,135,1,2026-05-14 19:21:34.945302,2026-05-14 19:21:37.570088,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthoflavivirus_omskense.csv,Orthoflavivirus_omskense.csv,readiness_run
Orthoflavivirus_powassanense,Orthoflavivirus powassanense,Powassan,nuccore,(txid11083[Organism:exp] OR txid3048287[Organism:exp]),success,709,709,709,3,2026-05-14 19:21:37.57408,2026-05-14 19:21:50.198884,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthoflavivirus_powassanense.csv,Orthoflavivirus_powassanense.csv,readiness_run
Orthohantavirus_andesense,Orthohantavirus andesense,Andes,nuccore,txid1980456[Organism:exp],success,739,739,739,8,2026-05-14 19:21:50.208331,2026-05-14 19:22:02.593888,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthohantavirus_andesense.csv,Orthohantavirus_andesense.csv,readiness_run
Orthohantavirus_bayoui,Orthohantavirus bayoui,Bayou,nuccore,txid3052470[Organism:exp],success,22,22,22,2,2026-05-14 19:22:02.604727,2026-05-14 19:22:03.872092,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthohantavirus_bayoui.csv,Orthohantavirus_bayoui.csv,readiness_run
Orthohantavirus_prospectense,Orthohantavirus prospectense,Prospect Hill,nuccore,txid3052492[Organism:exp],success,24,24,24,1,2026-05-14 19:22:03.874547,2026-05-14 19:22:05.43373,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthohantavirus_prospectense.csv,Orthohantavirus_prospectense.csv,readiness_run
Orthohantavirus_sinnombreense,Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome; Sin Nombre,nuccore,(txid3052499[Organism:exp] OR txid44755[Organism:exp]),success,480,480,480,2,2026-05-14 19:22:05.436286,2026-05-14 19:22:14.800497,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthohantavirus_sinnombreense.csv,Orthohantavirus_sinnombreense.csv,readiness_run
Orthoreovirus_mammalis,Orthoreovirus mammalis,Reovirus infection (usually mild),nuccore,txid351073[Organism:exp],success,2427,2427,2427,25,2026-05-14 19:22:14.808814,2026-05-14 19:22:53.077058,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Orthoreovirus_mammalis.csv,Orthoreovirus_mammalis.csv,readiness_run
Pararubulavirus_menangleense,Pararubulavirus menangleense,Menangle,nuccore,txid3052599[Organism:exp],success,7,7,7,1,2026-05-14 19:22:53.087985,2026-05-14 19:22:54.245968,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Pararubulavirus_menangleense.csv,Pararubulavirus_menangleense.csv,readiness_run
Paslahepevirus_balayani,Paslahepevirus balayani,Hepatitis E,nuccore,txid1678143[Organism:exp],success,12114,12114,12114,62,2026-05-14 19:22:54.24897,2026-05-14 19:26:27.218955,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Paslahepevirus_balayani.csv,Paslahepevirus_balayani.csv,readiness_run
Plasmodium_knowlesi,Plasmodium knowlesi,Zoonotic malaria (P. knowlesi),nuccore,txid5850[Organism:exp],success,8921,8921,8921,16,2026-05-14 19:26:27.237004,2026-05-14 19:30:18.0026,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Plasmodium_knowlesi.csv,Plasmodium_knowlesi.csv,readiness_run
Rickettsia_conorii_subsp_indica,Rickettsia conorii subsp. indica,Rickettsia conorii indica,nuccore,txid317865[Organism:exp],success,45,45,45,3,2026-05-14 19:30:18.016724,2026-05-14 19:30:19.961475,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Rickettsia_conorii_subsp_indica.csv,Rickettsia_conorii_subsp_indica.csv,readiness_run
Rickettsia_rickettsii,Rickettsia rickettsii,Brazilian spotted fever,nuccore,txid783[Organism:exp],success,1573,1573,1573,11,2026-05-14 19:30:19.964287,2026-05-14 19:31:56.257399,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Rickettsia_rickettsii.csv,Rickettsia_rickettsii.csv,readiness_run
Rickettsia_typhi,Rickettsia typhi,Murine typhus,nuccore,txid785[Organism:exp],success,7613,7613,7613,21,2026-05-14 19:31:56.277355,2026-05-14 19:34:05.638849,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Rickettsia_typhi.csv,Rickettsia_typhi.csv,readiness_run
Rocio_virus,Rocio virus,Rocio,nuccore,txid64315[Organism:exp],success,23,23,23,1,2026-05-14 19:34:05.653376,2026-05-14 19:34:07.267047,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Rocio_virus.csv,Rocio_virus.csv,readiness_run
Trypanosoma_cruzi,Trypanosoma cruzi,Chagas (acute),nuccore,txid5693[Organism:exp],skipped_records_found_exceeds_limit,191310,0,0,0,2026-05-14 19:34:07.748165,2026-05-14 19:34:07.748247,records_found_exceeds_limit:191310>100000,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Trypanosoma_cruzi.csv,Trypanosoma_cruzi.csv,readiness_run
Western_equine_encephalitis_virus,Western equine encephalitis virus,WEE,nuccore,txid11039[Organism:exp],success,225,225,225,10,2026-05-14 19:34:07.750837,2026-05-14 19:34:11.981384,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Western_equine_encephalitis_virus.csv,Western_equine_encephalitis_virus.csv,readiness_run
