candidate_query,total_row_count,source_fields,example_raw_labels,example_reason_flags,taxize_status,taxize_note,matched_name,canonical_form,current_name_string,resolved_name,score,data_source_title,classification_path,resolved_matches_who,resolved_who_host,candidate_query_key,resolved_name_key
Ducula bicolor,1,host_scientific_name,Ducula bicolor,needs_manual_synonym_map,matched,,"Ducula bicolor (Scopoli, 1786)",Ducula bicolor,Ducula bicolor,Ducula bicolor,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,ducula bicolor,ducula bicolor
Egretta novaehollandiae,1,host_scientific_name,Egretta novaehollandiae,needs_manual_synonym_map,matched,,"Egretta novaehollandiae (Latham, 1790)",Egretta novaehollandiae,Egretta novaehollandiae,Egretta novaehollandiae,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,egretta novaehollandiae,egretta novaehollandiae
Elaphis obsoletus,1,host_scientific_name,Elaphis obsoletus,needs_manual_synonym_map,matched,,Elaphis obsoletus,Elaphis obsoletus,,Elaphis obsoletus,9.41038597559656,EOL,N/A; Exact,FALSE,,elaphis obsoletus,elaphis obsoletus
Elephantulus myurus,1,verbatim_host_name,Elephantulus myurus,verbatim_binomial_candidate,matched,,"Elephantulus myurus Thomas & Schwann, 1906",Elephantulus myurus,Elephantulus myurus,Elephantulus myurus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,elephantulus myurus,elephantulus myurus
Elephantulus rozeti,1,host_scientific_name,Elephantulus rozeti_Duvernoy 1833,needs_binomialization,matched,,"Elephantulus rozeti (Duvernoy, 1833)",Elephantulus rozeti,Petrosaltator rozeti,Petrosaltator rozeti,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,elephantulus rozeti,petrosaltator rozeti
Elephas maximus,1,host_scientific_name,Elephas maximus,needs_manual_synonym_map,matched,,"Elephas maximus Linnaeus, 1758",Elephas maximus,Elephas maximus,Elephas maximus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,elephas maximus,elephas maximus
Eliomys mumbyanus,1,verbatim_host_name,Eliomys mumbyanus,verbatim_binomial_candidate,matched,,"Eliomys munbyanus (Pomel, 1856)",Eliomys munbyanus,Eliomys munbyanus,Eliomys munbyanus,9.38897978490342,Catalogue of Life,Accepted; Fuzzy,FALSE,,eliomys mumbyanus,eliomys munbyanus
Eliomys quercinus,1,host_scientific_name,Eliomys quercinus_Linnaeus 1766,needs_binomialization,matched,,"Eliomys quercinus (Linnaeus, 1766)",Eliomys quercinus,Eliomys quercinus,Eliomys quercinus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,eliomys quercinus,eliomys quercinus
Empidonax minimus,1,host_scientific_name,Empidonax minimus,needs_manual_synonym_map,matched,,"Empidonax minimus (W. M. Baird & S. F. Baird, 1843)",Empidonax minimus,Empidonax minimus,Empidonax minimus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,empidonax minimus,empidonax minimus
Entomacrodus striatus,1,host_scientific_name,Entomacrodus striatus,needs_manual_synonym_map,matched,,"Entomacrodus striatus (Valenciennes, 1836)",Entomacrodus striatus,Entomacrodus striatus,Entomacrodus striatus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,entomacrodus striatus,entomacrodus striatus
Epicrates cenchria,1,host_scientific_name,"Epicrates cenchria (LINNAEUS, 1758)",needs_binomialization,matched,,"Epicrates cenchria (Linnaeus, 1758)",Epicrates cenchria,Epicrates cenchria,Epicrates cenchria,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,epicrates cenchria,epicrates cenchria
Equus bburchelli,1,verbatim_host_name,Equus bburchelli,verbatim_binomial_candidate,matched,,"Equus burchelli (Gray, 1824)",Equus burchelli,Equus quagga burchellii,Equus quagga burchellii,9.3886077185008,Catalogue of Life,Synonym; synonym; Fuzzy,FALSE,,equus bburchelli,equus quagga burchellii
Equus zebra,1,host_scientific_name,Equus zebra_Linnaeus 1758,needs_binomialization,matched,,"Equus (Hippotigris) zebra Linnaeus, 1758",Equus zebra,Equus zebra,Equus zebra,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,equus zebra,equus zebra
Eremomela scotops,1,host_scientific_name,Eremomela scotops,needs_manual_synonym_map,matched,,"Eremomela scotops Sundevall, 1850",Eremomela scotops,Eremomela scotops,Eremomela scotops,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,eremomela scotops,eremomela scotops
Erinaceus algirus,1,verbatim_host_name,Erinaceus algirus,verbatim_binomial_candidate,matched,,"Erinaceus algirus Lereboullet, 1842",Erinaceus algirus,Atelerix algirus,Atelerix algirus,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,erinaceus algirus,atelerix algirus
Eudorcas thomsonii,1,host_scientific_name,Eudorcas thomsonii_Günther 1884,needs_binomialization,matched,,"Eudorcas thomsonii (Günther, 1884)",Eudorcas thomsonii,Eudorcas thomsonii,Eudorcas thomsonii,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,eudorcas thomsonii,eudorcas thomsonii
Euplectes afer,1,host_scientific_name,Euplectes afer,needs_manual_synonym_map,matched,,"Euplectes afer (Gmelin, 1789)",Euplectes afer,Euplectes afer,Euplectes afer,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,euplectes afer,euplectes afer
Euplectes hordeaceus,1,host_scientific_name,Euplectes hordeaceus,needs_manual_synonym_map,matched,,"Euplectes hordeaceus (Linnaeus, 1758)",Euplectes hordeaceus,Euplectes hordeaceus,Euplectes hordeaceus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,euplectes hordeaceus,euplectes hordeaceus
Euplectes macroura,1,host_scientific_name,Euplectes macroura,needs_manual_synonym_map,matched,,"Euplectes macroura (Gmelin, 1789)",Euplectes macroura,Euplectes macroura,Euplectes macroura,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,euplectes macroura,euplectes macroura
Eutamias dorsalis,1,verbatim_host_name,Eutamias dorsalis,verbatim_binomial_candidate,matched,,Eutamias dorsalis,Eutamias dorsalis,,Eutamias dorsalis,9.41038597559656,EOL,N/A; Exact,FALSE,,eutamias dorsalis,eutamias dorsalis
Eutamius quadrivittatus,1,verbatim_host_name,Eutamius quadrivittatus,verbatim_binomial_candidate,matched,,Eutamias quadrivittatus,Eutamias quadrivittatus,,Eutamias quadrivittatus,9.38711625712716,EOL,N/A; Fuzzy,FALSE,,eutamius quadrivittatus,eutamias quadrivittatus
Falco biarmicus,1,host_scientific_name,Falco biarmicus,needs_manual_synonym_map,matched,,"Falco biarmicus Temminck, 1825",Falco biarmicus,Falco biarmicus,Falco biarmicus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,falco biarmicus,falco biarmicus
Falco biramicus,1,verbatim_host_name,Falco biramicus,verbatim_binomial_candidate,matched,,"Falco Linnaeus, 1758",Falco,Falco,Falco,8.63917094139975,Catalogue of Life,Accepted; PartialExact,FALSE,,falco biramicus,falco
Falco mexicanus,1,host_scientific_name,Falco mexicanus,needs_manual_synonym_map,matched,,"Falco mexicanus Schlegel, 1850",Falco mexicanus,Falco mexicanus,Falco mexicanus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,falco mexicanus,falco mexicanus
Felis caffra,1,verbatim_host_name,Felis caffra,verbatim_binomial_candidate,matched,,Felis caffra,Felis caffra,,Felis caffra,9.41038597559656,EOL,N/A; Exact,FALSE,,felis caffra,felis caffra
Felis cafra,1,verbatim_host_name,Felis cafra,verbatim_binomial_candidate,matched,,Felis cafra,Felis cafra,,Felis cafra,9.41038597559656,EOL,N/A; Exact,FALSE,,felis cafra,felis cafra
Felis pardalis,1,verbatim_host_name,Felis pardalis,verbatim_binomial_candidate,matched,,"Felis pardalis Linnaeus, 1758",Felis pardalis,Leopardus pardalis,Leopardus pardalis,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,felis pardalis,leopardus pardalis
Galago crassicaudatus,1,verbatim_host_name,Galago crassicaudatus,verbatim_binomial_candidate,matched,,Galago crassicaudatus,Galago crassicaudatus,,Galago crassicaudatus,9.41038597559656,EOL,N/A; Exact,FALSE,,galago crassicaudatus,galago crassicaudatus
Galago moholi,1,host_scientific_name,Galago moholi_A. Smith 1834,needs_binomialization,matched,,"Galago moholi A. Smith, 1836",Galago moholi,Galago moholi,Galago moholi,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,galago moholi,galago moholi
Galerella bruneoochracea,1,verbatim_host_name,Galerella bruneoochracea,verbatim_binomial_candidate,matched,,Galerella,Galerella,Galerella,Galerella,8.63917094139975,Catalogue of Life,Accepted; PartialExact,FALSE,,galerella bruneoochracea,galerella
Gazella gazella,1,host_scientific_name,Gazella gazella_Pallas 1766,needs_binomialization,matched,,"Gazella gazella (Pallas, 1766)",Gazella gazella,Gazella gazella,Gazella gazella,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,gazella gazella,gazella gazella
Gazella thomsoni,1,verbatim_host_name,Gazella thomsoni,verbatim_binomial_candidate,matched,,Gazella thomsoni,Gazella thomsoni,,Gazella thomsoni,9.41038597559656,EOL,N/A; Exact,FALSE,,gazella thomsoni,gazella thomsoni
Genetta subignosa,1,verbatim_host_name,Genetta subignosa,verbatim_binomial_candidate,matched,,"Genetta G. Cuvier, 1816",Genetta,Genetta,Genetta,8.63917094139975,Catalogue of Life,Accepted; PartialExact,FALSE,,genetta subignosa,genetta
Geoemyda japonica,1,host_scientific_name,Geoemyda japonica,needs_manual_synonym_map,matched,,"Geoemyda japonica Fan, 1931",Geoemyda japonica,Geoemyda japonica,Geoemyda japonica,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,geoemyda japonica,geoemyda japonica
Geomys bursarius,1,host_scientific_name,Geomys bursarius,needs_manual_synonym_map,matched,,"Geomys bursarius (Shaw, 1800)",Geomys bursarius,Geomys bursarius,Geomys bursarius,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,geomys bursarius,geomys bursarius
Geothlypis formosa,1,host_scientific_name,Geothlypis formosa,needs_manual_synonym_map,matched,,"Geothlypis formosa (A. Wilson, 1811)",Geothlypis formosa,Geothlypis formosa,Geothlypis formosa,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,geothlypis formosa,geothlypis formosa
Gerbilliscus robustus,1,host_scientific_name,Gerbilliscus robustus_Cretzschmar 1826,needs_binomialization,matched,,"Gerbilliscus (Taterona) robustus (Cretzschmar, 1826)",Gerbilliscus robustus,Gerbilliscus robustus,Gerbilliscus robustus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,gerbilliscus robustus,gerbilliscus robustus
Girafa cameleopardis,1,verbatim_host_name,Girafa cameleopardis,verbatim_binomial_candidate,matched,,,,,,,,NoMatch,FALSE,,girafa cameleopardis,
Glaucidium brasilianum,1,host_scientific_name,Glaucidium brasilianum,needs_manual_synonym_map,matched,,"Glaucidium brasilianum (J. F. Gmelin, 1788)",Glaucidium brasilianum,Glaucidium brasilianum,Glaucidium brasilianum,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,glaucidium brasilianum,glaucidium brasilianum
Gorgon taurinus,1,verbatim_host_name,Gorgon taurinus,verbatim_binomial_candidate,matched,,Gorgon taurinus,Gorgon taurinus,,Gorgon taurinus,9.41038597559656,EOL,N/A; Exact,FALSE,,gorgon taurinus,gorgon taurinus
