candidate_query,total_row_count,source_fields,example_raw_labels,example_reason_flags,taxize_status,taxize_note,matched_name,canonical_form,current_name_string,resolved_name,score,data_source_title,classification_path,resolved_matches_who,resolved_who_host,candidate_query_key,resolved_name_key
Neotoma fuscipes,570,host_scientific_name; verbatim_host_name,Neotoma fuscipes | Neotoma fuscipes_Baird 1857,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Neotoma (Neotoma) fuscipes Baird, 1857",Neotoma fuscipes,Neotoma fuscipes,Neotoma fuscipes,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,neotoma fuscipes,neotoma fuscipes
Lepus californicus,513,host_scientific_name; verbatim_host_name,Lepus californicus | Lepus californicus californicus | Lepus californicus_Gray 1837,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Lepus californicus Gray, 1837",Lepus californicus,Lepus californicus,Lepus californicus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,lepus californicus,lepus californicus
Taurotragus oryx,450,host_scientific_name; verbatim_host_name,Taurotragus oryx | Taurotragus oryx_Pallas 1766,needs_binomialization; verbatim_binomial_candidate,matched,,"Taurotragus oryx (Pallas, 1766)",Taurotragus oryx,Taurotragus oryx,Taurotragus oryx,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,taurotragus oryx,taurotragus oryx
Peromyscus gossypinus,442,host_scientific_name; verbatim_host_name,Peromyscus gossypinus | Peromyscus gossypinus_Le Conte 1853,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Peromyscus gossypinus (Le Conte, 1853)",Peromyscus gossypinus,Peromyscus gossypinus,Peromyscus gossypinus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,peromyscus gossypinus,peromyscus gossypinus
Felis silvestris,441,host_scientific_name,Felis silvestris | Felis silvestris cafra_Desmarest 1822 | Felis silvestris lybica_Forster 1780 | Felis silvestris ocreata_Gmelin 1791 | Felis silvestris ugandae_Schwann 1904,needs_binomialization; needs_manual_synonym_map,matched,,"Felis silvestris Schreber, 1777",Felis silvestris,Felis silvestris,Felis silvestris,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,felis silvestris,felis silvestris
Hyaena brunnea,387,host_scientific_name; verbatim_host_name,Hyaena brunnea | Hyaena brunnea_Thunberg 1820,needs_binomialization; verbatim_binomial_candidate,matched,,"Hyaena brunnea Thunberg, 1820",Hyaena brunnea,Parahyaena brunnea,Parahyaena brunnea,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,hyaena brunnea,parahyaena brunnea
Ovis canadensis,348,host_scientific_name; verbatim_host_name,Ovis canadensis | Ovis canadensis_Shaw 1804,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Ovis canadensis Shaw, 1804",Ovis canadensis,Ovis canadensis,Ovis canadensis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,ovis canadensis,ovis canadensis
Bandicota savilei,338,host_scientific_name; verbatim_host_name,Bandicota savilei,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Bandicota savilei Thomas, 1916",Bandicota savilei,Bandicota savilei,Bandicota savilei,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,bandicota savilei,bandicota savilei
Sturnella magna,336,host_scientific_name; verbatim_host_name,Sturnella magna,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Sturnella magna (Linnaeus, 1758)",Sturnella magna,Sturnella magna,Sturnella magna,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,sturnella magna,sturnella magna
Spermophilus richardsonii,334,host_scientific_name,Spermophilus richardsonii_Sabine 1822,needs_binomialization,matched,,"Spermophilus richardsonii (Sabine, 1822)",Spermophilus richardsonii,Urocitellus richardsonii,Urocitellus richardsonii,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,spermophilus richardsonii,urocitellus richardsonii
Thryothorus ludovicianus,308,host_scientific_name; verbatim_host_name,Thryothorus ludovicianus,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Thryothorus ludovicianus (Latham, 1790)",Thryothorus ludovicianus,Thryothorus ludovicianus,Thryothorus ludovicianus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,thryothorus ludovicianus,thryothorus ludovicianus
Canis latrans,291,host_scientific_name; verbatim_host_name,Canis latrans | Canis latrans_Say 1823,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Canis latrans Say, 1823",Canis latrans,Canis latrans,Canis latrans,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,canis latrans,canis latrans
Xerus inauris,289,host_scientific_name; verbatim_host_name,Xerus inauris | Xerus inauris_Zimmermann 1780,needs_binomialization; verbatim_binomial_candidate,matched,,"Xerus (Geosciurus) inauris (Zimmermann, 1780)",Xerus inauris,Xerus inauris,Xerus inauris,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,xerus inauris,xerus inauris
Lepus capensis,275,host_scientific_name; verbatim_host_name,Lepus capensis | Lepus capensis aegyptius_Desmarest 1822 | Lepus capensis capensis_Linnaeus 1758 | Lepus capensis_Linnaeus 1758,needs_binomialization; verbatim_binomial_candidate,matched,,"Lepus capensis Linnaeus, 1758",Lepus capensis,Lepus capensis,Lepus capensis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,lepus capensis,lepus capensis
Spermophilus beecheyi,230,host_scientific_name; verbatim_host_name,Spermophilus beecheyi | Spermophilus beecheyi beecheyi_Richardson 1829 | Spermophilus beecheyi douglasii_Richardson 1829 | Spermophilus beecheyi fisheri_Merriam 1893 | Spermophilus beecheyi_Richardson 1829,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Spermophilus beecheyi (Richardson, 1829)",Spermophilus beecheyi,Otospermophilus beecheyi,Otospermophilus beecheyi,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,spermophilus beecheyi,otospermophilus beecheyi
Neotoma floridana,215,host_scientific_name; verbatim_host_name,Neotoma floridana | Neotoma floridana_Ord 1818,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Neotoma (Neotoma) floridana (Ord, 1818)",Neotoma floridana,Neotoma floridana,Neotoma floridana,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,neotoma floridana,neotoma floridana
Canis mesomelas,205,host_scientific_name; verbatim_host_name,Canis mesomelas | Canis mesomelas mesomelas_Schreber 1775 | Canis mesomelas_Schreber 1775,needs_binomialization; verbatim_binomial_candidate,matched,,"Canis mesomelas Schreber, 1775",Canis mesomelas,Lupulella mesomelas,Lupulella mesomelas,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,canis mesomelas,lupulella mesomelas
Zonotrichia albicollis,201,host_scientific_name; verbatim_host_name,Zonotrichia albicollis,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Zonotrichia albicollis (J. F. Gmelin, 1789)",Zonotrichia albicollis,Zonotrichia albicollis,Zonotrichia albicollis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,zonotrichia albicollis,zonotrichia albicollis
Dumetella carolinensis,190,host_scientific_name; verbatim_host_name,Dumetella carolinensis,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Dumetella carolinensis (Linnaeus, 1766)",Dumetella carolinensis,Dumetella carolinensis,Dumetella carolinensis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,dumetella carolinensis,dumetella carolinensis
Spermophilus variegatus,187,host_scientific_name,Spermophilus variegatus buckleyi_Slack 1861 | Spermophilus variegatus grammurus_Say 1823 | Spermophilus variegatus rupestris_J. A. Allen 1903 | Spermophilus variegatus utah | Spermophilus variegatus utah_Merriam 1903,needs_binomialization,matched,,"Spermophilus variegatus (Erxleben, 1777)",Spermophilus variegatus,Otospermophilus variegatus,Otospermophilus variegatus,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,spermophilus variegatus,otospermophilus variegatus
Sylvilagus bachmani,185,host_scientific_name; verbatim_host_name,Sylvilagus bachmani | Sylvilagus bachmani riparius | Sylvilagus bachmani_Waterhouse 1839,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Sylvilagus bachmani (Waterhouse, 1839)",Sylvilagus bachmani,Sylvilagus bachmani,Sylvilagus bachmani,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,sylvilagus bachmani,sylvilagus bachmani
Spermophilus columbianus,179,host_scientific_name,Spermophilus columbianus columbianus_Ord 1815 | Spermophilus columbianus_Ord 1815,needs_binomialization,matched,,"Spermophilus columbianus (Ord, 1815)",Spermophilus columbianus,Urocitellus columbianus,Urocitellus columbianus,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,spermophilus columbianus,urocitellus columbianus
Atelerix algirus,167,host_scientific_name,Atelerix algirus algirus_Lereboullet 1842 | Atelerix algirus_Lereboullet 1842,needs_binomialization,matched,,"Atelerix algirus (Lereboullet, 1842)",Atelerix algirus,Atelerix algirus,Atelerix algirus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,atelerix algirus,atelerix algirus
Cynictis penicillata,162,host_scientific_name; verbatim_host_name,Cynictis penicillata | Cynictis penicillata_G.[Baron] Cuvier 1829,needs_binomialization; verbatim_binomial_candidate,matched,,"Cynictis penicillata (G. Cuvier, 1829)",Cynictis penicillata,Cynictis penicillata,Cynictis penicillata,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,cynictis penicillata,cynictis penicillata
Phacochoerus aethiopicus,160,host_scientific_name; verbatim_host_name,Phacochoerus aethiopicus | Phacochoerus aethiopicus_Pallas 1766,needs_binomialization; verbatim_binomial_candidate,matched,,"Phacochoerus aethiopicus (Pallas, 1766)",Phacochoerus aethiopicus,Phacochoerus aethiopicus,Phacochoerus aethiopicus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,phacochoerus aethiopicus,phacochoerus aethiopicus
Ammospermophilus leucurus,148,host_scientific_name; verbatim_host_name,Ammospermophilus leucurus | Ammospermophilus leucurus cinamomeus_Merriam 1890 | Ammospermophilus leucurus leucurus_Merriam 1889 | Ammospermophilus leucurus pennipes_A. H. Howell 1931 | Ammospermophilus leucurus_Merriam 1889,needs_binomialization; verbatim_binomial_candidate,matched,,"Ammospermophilus leucurus (Merriam, 1889)",Ammospermophilus leucurus,Ammospermophilus leucurus,Ammospermophilus leucurus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,ammospermophilus leucurus,ammospermophilus leucurus
Sylvilagus aquaticus,145,host_scientific_name; verbatim_host_name,Sylvilagus aquaticus,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Sylvilagus aquaticus (Bachman, 1837)",Sylvilagus aquaticus,Sylvilagus aquaticus,Sylvilagus aquaticus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,sylvilagus aquaticus,sylvilagus aquaticus
Neotoma albigula,142,host_scientific_name; verbatim_host_name,Neotoma albigula | Neotoma albigula_Hartley 1894,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Neotoma (Neotoma) albigula Hartley, 1894",Neotoma albigula,Neotoma albigula,Neotoma albigula,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,neotoma albigula,neotoma albigula
Sylvilagus audubonii,135,host_scientific_name; verbatim_host_name,Sylvilagus audubonii | Sylvilagus audubonii arizonae_Mearns 1896 | Sylvilagus audubonii baileyi_Merriam 1897 | Sylvilagus audubonii minor_Mearns 1896 | Sylvilagus audubonii_Baird 1858,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Sylvilagus audubonii (Baird, 1858)",Sylvilagus audubonii,Sylvilagus audubonii,Sylvilagus audubonii,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,sylvilagus audubonii,sylvilagus audubonii
Callosciurus notatus,127,host_scientific_name; verbatim_host_name,Callosciurus notatus | Callosciurus notatus diardii_Jentink 1879 | Callosciurus notatus_Boddaert 1785,needs_binomialization; verbatim_binomial_candidate,matched,,"Callosciurus notatus (Boddaert, 1785)",Callosciurus notatus,Callosciurus notatus,Callosciurus notatus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,callosciurus notatus,callosciurus notatus
Lepus saxatilis,123,host_scientific_name; verbatim_host_name,Lepus saxatilis | Lepus saxatilis_F. Cuvier 1823,needs_binomialization; verbatim_binomial_candidate,matched,,"Lepus saxatilis F. Cuvier, 1823",Lepus saxatilis,Lepus saxatilis,Lepus saxatilis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,lepus saxatilis,lepus saxatilis
Rattus diardii,121,verbatim_host_name,Rattus diardii,verbatim_binomial_candidate,matched,,Rattus diardii,Rattus diardii,,Rattus diardii,9.41038597559656,EOL,N/A; Exact,FALSE,,rattus diardii,rattus diardii
Pipilo erythrophthalmus,119,host_scientific_name; verbatim_host_name,Pipilo erythrophthalmus,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Pipilo erythrophthalmus (Linnaeus, 1758)",Pipilo erythrophthalmus,Pipilo erythrophthalmus,Pipilo erythrophthalmus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,pipilo erythrophthalmus,pipilo erythrophthalmus
Troglodytes aedon,119,host_scientific_name; verbatim_host_name,Troglodytes aedon,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Troglodytes aedon Vieillot, 1809",Troglodytes aedon,Troglodytes aedon,Troglodytes aedon,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,troglodytes aedon,troglodytes aedon
Microtus californicus,117,host_scientific_name; verbatim_host_name,Microtus californicus | Microtus californicus scirpensis,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Microtus californicus (Peale, 1848)",Microtus californicus,Microtus californicus,Microtus californicus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,microtus californicus,microtus californicus
Carolina wren,116,verbatim_host_name,Carolina wren,verbatim_binomial_candidate,matched,,"Carolina Thomson, 1880",Carolina,Taeniodera,Taeniodera,8.63707542716819,Catalogue of Life,Synonym; synonym; PartialExact,FALSE,,carolina wren,taeniodera
Spermophilus beldingi,116,host_scientific_name; verbatim_host_name,Spermophilus beldingi | Spermophilus beldingi oregonus_Merriam 1898 | Spermophilus beldingi_Merriam 1888,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Spermophilus beldingi Merriam, 1888",Spermophilus beldingi,Urocitellus beldingi,Urocitellus beldingi,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,spermophilus beldingi,urocitellus beldingi
Tragelaphus scriptus,115,host_scientific_name; verbatim_host_name,Tragelaphus scriptus | Tragelaphus scriptus_Pallas 1766,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Tragelaphus scriptus (Pallas, 1766)",Tragelaphus scriptus,Tragelaphus scriptus,Tragelaphus scriptus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,tragelaphus scriptus,tragelaphus scriptus
Lutra canadensis,112,host_scientific_name; verbatim_host_name,Lutra canadensis,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Lutra canadensis (Schreber, 1777)",Lutra canadensis,Lontra canadensis,Lontra canadensis,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,lutra canadensis,lontra canadensis
Capra aegagrus,111,host_scientific_name,Capra aegagrus | Capra aegagrus hircus,needs_binomialization; needs_manual_synonym_map,matched,,"Capra aegagrus Erxleben, 1777",Capra aegagrus,Capra hircus aegagrus,Capra hircus aegagrus,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,capra aegagrus,capra hircus aegagrus
Sceloporus occidentalis,110,host_scientific_name; verbatim_host_name,Sceloporus occidentalis,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Sceloporus occidentalis Baird & Girard, 1852",Sceloporus occidentalis,Sceloporus occidentalis,Sceloporus occidentalis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,sceloporus occidentalis,sceloporus occidentalis
Neotoma mexicana,109,host_scientific_name; verbatim_host_name,Neotoma mexicana | Neotoma mexicana_Baird 1855,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Neotoma (Neotoma) mexicana Baird, 1855",Neotoma mexicana,Neotoma mexicana,Neotoma mexicana,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,neotoma mexicana,neotoma mexicana
Vulpes chama,109,host_scientific_name; verbatim_host_name,Vulpes chama | Vulpes chama_A. Smith 1833,needs_binomialization; verbatim_binomial_candidate,matched,,"Vulpes chama (A. Smith, 1833)",Vulpes chama,Vulpes chama,Vulpes chama,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,vulpes chama,vulpes chama
Oryzomys subflavus,108,host_scientific_name; verbatim_host_name,Oryzomys subflavus | Oryzomys subflavus_Wagner 1842,needs_binomialization; verbatim_binomial_candidate,matched,,"Oryzomys subflavus (Wagner, 1842)",Oryzomys subflavus,Cerradomys subflavus,Cerradomys subflavus,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,TRUE,Cerradomys subflavus,oryzomys subflavus,cerradomys subflavus
Drymarchon corais,104,host_scientific_name; verbatim_host_name,Drymarchon corais,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Drymarchon corais (Boie, 1827)",Drymarchon corais,Drymarchon corais,Drymarchon corais,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,drymarchon corais,drymarchon corais
Gopherus polyphemus,101,host_scientific_name; verbatim_host_name,"Gopherus polyphemus | Gopherus polyphemus (DAUDIN, 1802)",needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Gopherus polyphemus (Daudin, 1801)",Gopherus polyphemus,Gopherus polyphemus,Gopherus polyphemus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,gopherus polyphemus,gopherus polyphemus
Citellus beecheyi,98,verbatim_host_name,Citellus beecheyi,verbatim_binomial_candidate,matched,,Citellus beecheyi,Citellus beecheyi,,Citellus beecheyi,9.41038597559656,EOL,N/A; Exact,FALSE,,citellus beecheyi,citellus beecheyi
Dipodomys californicus,96,host_scientific_name; verbatim_host_name,Dipodomys californicus,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Dipodomys californicus Merriam, 1890",Dipodomys californicus,Dipodomys californicus,Dipodomys californicus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,dipodomys californicus,dipodomys californicus
Eumeces inexpactatus;,96,host_scientific_name,Eumeces inexpactatus; Eumeces laticeps,needs_binomialization,matched,,Eumeces,Eumeces,Eumeces,Eumeces,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,eumeces inexpactatus,eumeces
Hippotragus equinus,96,host_scientific_name; verbatim_host_name,Hippotragus equinus | Hippotragus equinus langheldi_Matschie 1898 | Hippotragus equinus_É. Geoffroy Saint-Hilaire 1803,needs_binomialization; verbatim_binomial_candidate,matched,,"Hippotragus equinus (É. Geoffroy Saint-Hilaire, 1803)",Hippotragus equinus,Hippotragus equinus,Hippotragus equinus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,hippotragus equinus,hippotragus equinus
Oligoryzomys eliurus,96,host_scientific_name; verbatim_host_name,Oligoryzomys eliurus | Oligoryzomys eliurus_Wagner 1845,needs_binomialization; verbatim_binomial_candidate,matched,,"Oligoryzomys eliurus (Wagner, 1845)",Oligoryzomys eliurus,Oligoryzomys eliurus,Oligoryzomys eliurus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,oligoryzomys eliurus,oligoryzomys eliurus
Spermophilus armatus,96,host_scientific_name,Spermophilus armatus_Kennicott 1863,needs_binomialization,matched,,"Spermophilus armatus Kennicott, 1863",Spermophilus armatus,Urocitellus armatus,Urocitellus armatus,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,spermophilus armatus,urocitellus armatus
Civettictis civetta,95,host_scientific_name; verbatim_host_name,Civettictis civetta | Civettictis civetta civetta_Schreber 1776 | Civettictis civetta congica_Cabrera 1929 | Civettictis civetta schwarzi_Cabrera 1929 | Civettictis civetta_Schreber 1776,needs_binomialization; verbatim_binomial_candidate,matched,,"Civettictis civetta (Schreber, 1776)",Civettictis civetta,Civettictis civetta,Civettictis civetta,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,civettictis civetta,civettictis civetta
Potamochoerus porcus,91,host_scientific_name; verbatim_host_name,Potamochoerus porcus | Potamochoerus porcus_Linnaeus 1758,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Potamochoerus porcus (Linnaeus, 1758)",Potamochoerus porcus,Potamochoerus porcus,Potamochoerus porcus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,potamochoerus porcus,potamochoerus porcus
Citellus armatus,90,verbatim_host_name,Citellus armatus,verbatim_binomial_candidate,matched,,Citellus armatus,Citellus armatus,,Citellus armatus,9.41038597559656,EOL,N/A; Exact,FALSE,,citellus armatus,citellus armatus
Oligoryzomys nigripes,90,host_scientific_name; verbatim_host_name,Oligoryzomys nigripes | Oligoryzomys nigripes_Olfers 1818,needs_binomialization; verbatim_binomial_candidate,matched,,"Oligoryzomys nigripes (Olfers, 1818)",Oligoryzomys nigripes,Oligoryzomys nigripes,Oligoryzomys nigripes,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,oligoryzomys nigripes,oligoryzomys nigripes
Melospiza georgiana,88,host_scientific_name; verbatim_host_name,Melospiza georgiana,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Melospiza georgiana (Latham, 1790)",Melospiza georgiana,Melospiza georgiana,Melospiza georgiana,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,melospiza georgiana,melospiza georgiana
Geothlypis trichas,86,host_scientific_name; verbatim_host_name,Geothlypis trichas,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Geothlypis trichas (Linnaeus, 1766)",Geothlypis trichas,Geothlypis trichas,Geothlypis trichas,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,geothlypis trichas,geothlypis trichas
Tamiasciurus hudsonicus,86,host_scientific_name,Tamiasciurus hudsonicus | Tamiasciurus hudsonicus richardsoni_Bachman 1839 | Tamiasciurus hudsonicus_Erxleben 1777,needs_binomialization; needs_manual_synonym_map,matched,,"Tamiasciurus hudsonicus (Erxleben, 1777)",Tamiasciurus hudsonicus,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,tamiasciurus hudsonicus,tamiasciurus hudsonicus
Colinus virginianus,85,host_scientific_name; verbatim_host_name,Colinus virginianus,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Colinus virginianus (Linnaeus, 1758)",Colinus virginianus,Colinus virginianus,Colinus virginianus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,colinus virginianus,colinus virginianus
Ochrotomys nuttalli,84,host_scientific_name; verbatim_host_name,Ochrotomys nuttalli,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Ochrotomys nuttalli (Harlan, 1832)",Ochrotomys nuttalli,Ochrotomys nuttalli,Ochrotomys nuttalli,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,ochrotomys nuttalli,ochrotomys nuttalli
Varanus niloticus,84,host_scientific_name; verbatim_host_name,"Varanus niloticus | Varanus niloticus (LINNAEUS, 1758)",needs_binomialization; verbatim_binomial_candidate,matched,,"Varanus niloticus (Linnaeus, 1766)",Varanus niloticus,Varanus niloticus,Varanus niloticus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,varanus niloticus,varanus niloticus
Tamias ochrogenys,82,host_scientific_name; verbatim_host_name,Tamias ochrogenys,needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Tamias (Neotamias) ochrogenys (Merriam, 1897)",Tamias ochrogenys,Tamias ochrogenys,Tamias ochrogenys,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,tamias ochrogenys,tamias ochrogenys
Prairie dog,78,verbatim_host_name,Prairie dog,verbatim_binomial_candidate,matched,,,,,,,,NoMatch,FALSE,,prairie dog,
Diceros bicornis,77,host_scientific_name; verbatim_host_name,Diceros bicornis | Diceros bicornis_Linnaeus 1758,needs_binomialization; verbatim_binomial_candidate,matched,,"Diceros bicornis (Linnaeus, 1758)",Diceros bicornis,Diceros bicornis,Diceros bicornis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,diceros bicornis,diceros bicornis
Oryzomys palustris,77,host_scientific_name; verbatim_host_name,Oryzomys palustris | Oryzomys palustris_Harlan 1837,needs_binomialization; needs_manual_synonym_map; verbatim_binomial_candidate,matched,,"Oryzomys palustris (Harlan, 1837)",Oryzomys palustris,Oryzomys palustris,Oryzomys palustris,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,oryzomys palustris,oryzomys palustris
Cynomys leucurus,75,host_scientific_name; verbatim_host_name,Cynomys leucurus | Cynomys leucurus Merriam 1890 | Cynomys leucurus_Merriam 1890,needs_binomialization; verbatim_binomial_candidate,matched,,"Cynomys (Leucocrossuromys) leucurus Merriam, 1890",Cynomys leucurus,Cynomys leucurus,Cynomys leucurus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,cynomys leucurus,cynomys leucurus
Citellus leucurus,74,verbatim_host_name,Citellus leucurus,verbatim_binomial_candidate,matched,,Citellus leucurus,Citellus leucurus,,Citellus leucurus,9.41038597559656,EOL,N/A; Exact,FALSE,,citellus leucurus,citellus leucurus
Thryonomys swinderianus,73,host_scientific_name; verbatim_host_name,Thryonomys swinderianus | Thryonomys swinderianus_Temminck 1827,needs_binomialization; verbatim_binomial_candidate,matched,,"Thryonomys swinderianus (Temminck, 1827)",Thryonomys swinderianus,Thryonomys swinderianus,Thryonomys swinderianus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,thryonomys swinderianus,thryonomys swinderianus
Burmese python,72,verbatim_host_name,Burmese python,verbatim_binomial_candidate,matched,,,,,,,,NoMatch,FALSE,,burmese python,
Cotton mouse,72,verbatim_host_name,Cotton mouse,verbatim_binomial_candidate,matched,,,,,,,,NoMatch,FALSE,,cotton mouse,
Python bivitatus,72,host_scientific_name,Python bivitatus,needs_manual_synonym_map,matched,,"Python bivittatus Kuhl, 1820",Python bivittatus,Python bivittatus,Python bivittatus,9.38897978490342,Catalogue of Life,Accepted; Fuzzy,FALSE,,python bivitatus,python bivittatus
Tamiascurus hudsonicus,72,verbatim_host_name,Tamiascurus hudsonicus,verbatim_binomial_candidate,matched,,"Tamiasciurus hudsonicus (Erxleben, 1777)",Tamiasciurus hudsonicus,Tamiasciurus hudsonicus,Tamiasciurus hudsonicus,9.38897978490342,Catalogue of Life,Accepted; Fuzzy,FALSE,,tamiascurus hudsonicus,tamiasciurus hudsonicus
Felis nigripes,71,host_scientific_name; verbatim_host_name,Felis nigripes | Felis nigripes_Burchell 1824,needs_binomialization; verbatim_binomial_candidate,matched,,"Felis nigripes Burchell, 1824",Felis nigripes,Felis nigripes,Felis nigripes,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,felis nigripes,felis nigripes
Kinixys belliana,70,host_scientific_name; verbatim_host_name,"Kinixys belliana | Kinixys belliana GRAY, 1831",needs_binomialization; verbatim_binomial_candidate,matched,,"Kinixys belliana Gray, 1831",Kinixys belliana,Kinixys belliana,Kinixys belliana,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,kinixys belliana,kinixys belliana
