matched_who_host,matched_who_host_tax_id,matched_who_host_class,matched_who_host_order,matched_who_host_family,vector_species_analysis,vector_species_needs_review,vector_name_taxonomy_examples,source_dataset_examples,country_examples,review_reason_examples,record_count
Bos taurus,9913,mammalia,artiodactyla,bovidae,Culex globocoxitus,FALSE,Culex globocoxitus,MapVEu,Australia,,1
Bos taurus,9913,mammalia,artiodactyla,bovidae,Culex pipiens molestus,TRUE,Culex pipiens molestus,MapVEu,Australia,vector_infraspecific,3
Bos taurus,9913,mammalia,artiodactyla,bovidae,Culex quinquefasciatus,FALSE,Culex quinquefasciatus,MapVEu,Australia,,3
Bos taurus,9913,mammalia,artiodactyla,bovidae,Ochlerotatus camptorhynchus,FALSE,Ochlerotatus camptorhynchus,MapVEu,Australia,,81
Bos taurus,9913,mammalia,artiodactyla,bovidae,gambiae species complex,TRUE,gambiae species complex,MapVEu,Tanzania,vector_complex,2
Bos taurus,9913,mammalia,artiodactyla,bovidae,nivipes species complex,TRUE,nivipes species complex,MapVEu,Cambodia,vector_complex,9
Butorides virescens,110671,,,,Culex erraticus,FALSE,Culex erraticus,MapVEu,United States,,1
Canis lupus,9615,mammalia,carnivora,canidae,Aedes aegypti,FALSE,Aedes aegypti,MapVEu,Grenada,,32
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles annulipes,FALSE,Anopheles annulipes,MapVEu,Australia,,1
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles arabiensis,FALSE,Anopheles arabiensis,MapVEu,Ethiopia; Ghana; Kenya; Madagascar,,18
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles bancroftii,FALSE,Anopheles bancroftii,MapVEu,Papua New Guinea,,3
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles coluzzii,FALSE,Anopheles coluzzii,MapVEu,Ghana,,5
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles coustani,FALSE,Anopheles coustani,MapVEu,Ethiopia; Kenya; Madagascar,,34
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles darlingi,FALSE,Anopheles darlingi,MapVEu,Peru,,4416
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles farauti,FALSE,Anopheles farauti,MapVEu,Papua New Guinea,,128
