source_dataset,analysis_unit_id,readiness_disease_name,disease_name,species_role,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_detection_tier,host_direct_detection_supported,host_role_assignment,host_role_confidence,host_role_assignment_status,host_role_needs_manual_review,modelling_role_proxy,modelling_role_proxy_basis,modelling_role_proxy_confidence,modelling_role_proxy_rule_id,modelling_role_proxy_needs_review,host_role_bucket,host_role_evidence_basis,host_role_weight,role_proxy_applied,group_proxy_applied,vector_group,vector_taxon_rank,vector_join_key,best_evidence_level,best_evidence_basis,has_disease_vector_evidence,has_host_vector_evidence,has_competence_evidence,bites_humans,bites_humans_known,bites_humans_true,vector_competence_status,transmission_demonstrated,natural_infection_reported,vector_role_hint,taxonomy_ok,sdm_needed_for_disease,sdm_available,sdm_species,model_quality_raw,model_quality_tier,model_quality_weight,retained_models,min_boyce,max_boyce,min_test_auc,max_test_auc,min_max_tss,max_max_tss,profile_broad,profile_supported,profile_strong,profile_strict,profile_group_proxy,biological_evidence_tier,no_spatial_layer,missingness_reason,tier_rule_id
repo_pilot,master_11,Lassa fever,Lassa fever,host,Canis lupus,9615,mammalia,carnivora,canidae,PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Canis lupus,,available_unscored,0.5,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Capra hircus,9925,mammalia,artiodactyla,bovidae,PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Capra hircus,,available_unscored,0.5,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Cavia porcellus,10141,mammalia,rodentia,caviidae,PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Cavia porcellus,,available_unscored,0.5,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,pcr_or_sequencing,TRUE,amplifying_host,medium,draft_needs_review,TRUE,amplifying_host,reviewed_role_assignment_needs_review,medium,reviewed_role_needs_review_v0_1,TRUE,reservoir_or_amplifying_host,exact_reviewed_needs_review,0.75,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,TRUE,host_role_review_needed; no_sdm,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Hylomyscus pamfi,913014,mammalia,rodentia,muridae,PCR/Sequencing,pcr_or_sequencing,TRUE,reservoir_host,medium,draft_source_backed,TRUE,reservoir_host,source_backed_role_assignment,medium,source_backed_role_v0_1,TRUE,reservoir_or_amplifying_host,exact_source_backed,0.75,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,strong,TRUE,host_role_review_needed; no_sdm,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Lophuromys sikapusi,83535,mammalia,rodentia,muridae,PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Lophuromys sikapusi,,available_unscored,0.5,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Macaca fascicularis,9541,mammalia,primates,cercopithecidae,Isolation/Observation,isolation_or_observation,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Macaca fascicularis,,available_unscored,0.5,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Mastomys,70830,,,,PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,TRUE,host_role_presence_only; host_role_review_needed; no_sdm,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Mastomys erythroleucus,41268,mammalia,rodentia,muridae,Isolation/Observation; PCR/Sequencing,pcr_or_sequencing,TRUE,reservoir_host,medium,draft_source_backed,TRUE,reservoir_host,source_backed_role_assignment,medium,source_backed_role_v0_1,TRUE,reservoir_or_amplifying_host,exact_source_backed,0.75,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Mastomys erythroleucus,,available_unscored,0.5,,,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,strong,FALSE,host_role_review_needed,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Mastomys huberti,121569,mammalia,rodentia,muridae,Isolation/Observation,isolation_or_observation,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Mastomys huberti,,available_unscored,0.5,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
