analysis_unit_id,readiness_disease_name,pathogen_species_name,pathogen_taxid,analysis_unit_label,family,in_master_who,priority_prototype_status,master_tier,modelling_scope_status,transmission_rule_review_status,recommended_next_action,readiness_blocker,vectored_status,generalist_status,transmission_complexity,guild,range_limiting_layer,host_sdm_needed,vector_sdm_needed,direct_vector_evidence_status,country_evidence_status,sdm_availability_status,role_assignment_status,evidence_join_status,has_direct_vector_evidence,host_sdm_species_available,vector_sdm_species_available,genbank_distinct_countries_or_territories,who_don_distinct_countries
master_17,Plague,Yersinia pestis,632,Yersinia pestis,Bacteria,TRUE,priority,1,include,reviewed,ready_for_model_spec_review,none,vectored,host_group_generalist,mixed,flea_borne_rodent_pathogen,reservoir_host,yes,optional,direct_vector_evidence_present,who_don_and_genbank,optional_sdms_missing,reviewed_assignment_present,matched_primary_name,TRUE,38,0,36,10
master_18,Oropouche fever,Orthobunyavirus oropoucheense,3052429,Oropouche virus,Peribunyaviridae,TRUE,prototype,1,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,restricted,complex,midge_borne_arbovirus,vector,uncertain,yes,direct_vector_evidence_present,who_don_and_genbank,sdm_not_required_or_not_model_ready,reviewed_assignment_present,matched_primary_name,TRUE,4,0,15,5
master_19,Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,3052499; 44755,Sinnombre virus,Hantaviridae,TRUE,both,1,include,reviewed,curate_role_evidence,missing_role_evidence,non_vectored,specialist,simple,rodent_reservoir_direct_or_environmental,reservoir_host,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,no_role_evidence_or_assignment,matched_primary_name,FALSE,12,0,2,1
master_20,Argentine hemorrhagic fever,Mammarenavirus juninense,2169991,Junin virus,Arenaviridae,TRUE,prototype,1,include,reviewed,ready_for_model_spec_review,none,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,reservoir_host,yes,no,not_expected_non_vectored,genbank_only,required_sdms_available,reviewed_assignment_present,matched_primary_name,FALSE,2,0,3,0
master_22,Severe Acute Respiratory Syndrome (SARS); COVID-19,,694009; 3418604,SARS-like bat sarbecoviruses,Coronaviridae,TRUE,both,3,defer_broad_or_aggregate_unit,reviewed,review_or_defer_scope,scope_not_include,non_vectored,host_group_generalist,mixed,bat_reservoir_spillover,mixed,yes,no,not_expected_non_vectored,no_country_evidence,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,unmatched_no_evidence,FALSE,0,0,0,0
master_23,Tick-borne encephalitis,Orthoflavivirus encephalitidis,11084; 3052465,Tick-borne encephalitis virus,Flaviviridae,TRUE,prototype,2,include,reviewed,find_or_build_vector_sdm,missing_required_vector_sdm,vectored,restricted,complex,tick_borne_pathogen,vector,optional,yes,direct_vector_evidence_present,genbank_only,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,TRUE,28,0,37,0
master_24,Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,1933190; 2748958,SFTS virus,Phenuiviridae,TRUE,both,2,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,host_group_generalist,mixed,tick_borne_pathogen,vector,optional,yes,direct_vector_evidence_present,genbank_only,sdm_not_required_or_not_model_ready,reviewed_assignment_present,matched_primary_name,TRUE,28,0,6,0
master_25,Venezuelan equine encephalitis,Alphavirus venezuelan,11036,Venezuelan equine encephalitis virus,Togaviridae,TRUE,both,1/2,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,host_group_generalist,complex,livestock_amplified_vector_borne,host_and_vector,yes,yes,direct_vector_evidence_present,genbank_only,sdm_not_required_or_not_model_ready,reviewed_assignment_present,matched_primary_name,TRUE,38,0,19,0
master_26,Borna disease (encephalitis),Orthobornavirus bornaense,1714619,Mammalian Bornavirus 1 (BoDV-1),Bornaviridae,TRUE,prototype,3,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,non_vectored,specialist,uncertain,small_mammal_reservoir_direct,reservoir_host,yes,no,not_expected_non_vectored,genbank_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,15,0,10,0
master_27,Lujo hemorrhagic fever,Mammarenavirus lujoense,3052314,Lujo virus,Arenaviridae,TRUE,prototype,3,defer_broad_or_aggregate_unit,reviewed,review_or_defer_scope,scope_not_include,non_vectored,uncertain,mixed,rodent_reservoir_direct_or_environmental,not_model_ready,uncertain,no,not_expected_non_vectored,genbank_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,3,0
