efsa_pathogen,efsa_pathogen_clean,efsa_abbreviation,vector_species,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,source,vector_species_raw
Getah virus,getah virus,GETV,Culex tritaeniorhynchus,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,Culex tritaeniorhynchus
Hepatozoon canis,hepatozoon canis,hepat,Rhipicephalus sanguineus,tick,potential,positive,,yes,yes,EFSA Appendix G,Rhipicephalus sanguineus
Highlands J virus,highlands j virus,HJV,Culex tarsalis,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex tarsalis
Japanese encephalitis virus,japanese encephalitis virus,JEV,Aedes aegypti,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes aegypti
Japanese encephalitis virus,japanese encephalitis virus,JEV,Aedes albopictus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes albopictus
Japanese encephalitis virus,japanese encephalitis virus,JEV,Aedes japonicus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes japonicus
Japanese encephalitis virus,japanese encephalitis virus,JEV,Aedes notoscriptus,mosquito,potential,,positive,no,no,EFSA Appendix G,Aedes notoscriptus
Japanese encephalitis virus,japanese encephalitis virus,JEV,Aedes purpureus,mosquito,potential,,positive,no,no,EFSA Appendix G,Aedes purpureus
Japanese encephalitis virus,japanese encephalitis virus,JEV,Aedes vigilax,mosquito,potential,positive,,no,no,EFSA Appendix G,Aedes vigilax
Japanese encephalitis virus,japanese encephalitis virus,JEV,Anopheles sinensis,mosquito,potential,positive,,no,no,EFSA Appendix G,Anopheles sinensis
Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex annulirostris,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex annulirostris
Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex annulus,mosquito,potential,positive,,no,no,EFSA Appendix G,Culex annulus
Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex gelidus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex gelidus
Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex pipiens,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,Culex pipiens
Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex pipiens biotype pipiens,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex pipiens biotype pipiens
Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex quinquefasciatus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex quinquefasciatus
Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex sitiens,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex sitiens
Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex sitiens group,mosquito,potential,positive,,yes,no,EFSA Appendix G,Culex sitiens group
Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex tritaeniorhynchus,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,Culex tritaeniorhynchus
Japanese encephalitis virus,japanese encephalitis virus,JEV,Culex vishnui,,potential,positive,,yes,no,EFSA Appendix G,Culex vishnui
Japanese encephalitis virus,japanese encephalitis virus,JEV,Culiseta annulata,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culiseta annulata
Japanese encephalitis virus,japanese encephalitis virus,JEV,Mansonia septempunctata,mosquito,potential,,positive,no,no,EFSA Appendix G,Mansonia septempunctata
Japanese encephalitis virus,japanese encephalitis virus,JEV,Mansonia uniformis,mosquito,potential,,positive,no,no,EFSA Appendix G,Mansonia uniformis
Leishmania infantum,leishmania infantum,CanL,Evandromyia cortelezii,sand_fly,potential,positive,,no,no,EFSA Appendix G,Evandromyia cortelezii
Leishmania infantum,leishmania infantum,CanL,Evandromyia edwardsi,sand_fly,potential,positive,,no,no,EFSA Appendix G,Evandromyia edwardsi
Leishmania infantum,leishmania infantum,CanL,Expapillata firmatoi,sand_fly,potential,positive,,no,no,EFSA Appendix G,Expapillata firmatoi
Leishmania infantum,leishmania infantum,CanL,Lutzomyia cavernicola,sand_fly,potential,positive,,no,no,EFSA Appendix G,Lutzomyia cavernicola
Leishmania infantum,leishmania infantum,CanL,Lutzomyia cortelezzii s.l.,sand_fly,potential,positive,,no,no,EFSA Appendix G,Lutzomyia cortelezzii s.l.
Leishmania infantum,leishmania infantum,CanL,Lutzomyia cruzi,sand_fly,potential,,positive,no,no,EFSA Appendix G,Lutzomyia cruzi
Leishmania infantum,leishmania infantum,CanL,Lutzomyia lloydi,sand_fly,potential,positive,,no,no,EFSA Appendix G,Lutzomyia lloydi
Leishmania infantum,leishmania infantum,CanL,Lutzomyia longipalpis,sand_fly,highly_likely,positive,positive,no,no,EFSA Appendix G,Lutzomyia longipalpis
