analysis_unit_id,master_row,disease_master_name,resolved_disease_name,resolved_pathogen_name,resolved_pathogen_rank,preferred_match_source,host_query_include_default,host_query_bucket,host_query_source,host_query_pathogen_names,host_query_taxids,match_method,match_review_flag,shared_species_proxy_flag,match_review_notes,source_database,source_assoc_id,source_detection_method,source_host_flag_id,source_pathogen_name,source_pathogen_taxid,source_pathogen_type,source_pathogen_family,source_pathogen_order,source_pathogen_class,source_host_name,source_host_taxid,source_host_genus,source_host_family,source_host_order,source_host_class
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,HP3,763120,Isolation/Observation,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,macaca radiata,9548,macaca,cercopithecidae,primates,mammalia
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,GenBank,763117,PCR/Sequencing,FALSE,orthoflavivirus kyasanurense,3048170,virus,flaviviridae,amarillovirales,flasuviricetes,macaca radiata,9548,macaca,cercopithecidae,primates,mammalia
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,HP3,770877,Antibodies,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,miniopterus schreibersii,9433,miniopterus,miniopteridae,chiroptera,mammalia
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,HP3,772034,Antibodies,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,mus booduga,27681,mus,muridae,rodentia,mammalia
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,GenBank,774031,PCR/Sequencing,FALSE,orthoflavivirus kyasanurense,3048170,virus,flaviviridae,amarillovirales,flasuviricetes,mus musculus,10090,mus,muridae,rodentia,mammalia
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,Shaw,798794,Antibodies,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,psilopogon zeylanicus,3150401,psilopogon,megalaimidae,piciformes,aves
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,HP3,803882,Antibodies,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,rattus rattus,10117,rattus,muridae,rodentia,mammalia
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,HP3,805974,Isolation/Observation,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,rhinolophus rouxii,89398,rhinolophus,rhinolophidae,chiroptera,mammalia
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,Shaw,806886,Antibodies,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,rhopocichla atriceps,1149666,rhopocichla,timaliidae,passeriformes,aves
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,HP3,807627,Antibodies,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,rousettus leschenaultii,9408,rousettus,pteropodidae,chiroptera,mammalia
