analysis_unit_id,master_row,disease_master_name,resolved_disease_name,resolved_pathogen_name,resolved_pathogen_rank,include_as_analysis_unit,split_group,clover_matched_pathogen_names,virion_matched_pathogen_names,clover_matched_taxids,virion_matched_taxids,clover_matched_families,virion_matched_families,clover_matched_source_types,virion_matched_source_types,clover_best_match_type,virion_best_match_type,clover_best_match_distance,virion_best_match_distance,clover_match_status,virion_match_status,clover_candidate_count,virion_candidate_count,clover_alias_types,virion_alias_types,clover_alias_notes,virion_alias_notes,clover_alias_review_flag,virion_alias_review_flag,preferred_match_source,overall_match_status,preferred_source_match_status,match_review_flag,shared_species_proxy_flag,match_review_notes
master_45,45,O'nyong-nyong,O'nyong-nyong fever,O'nyong-nyong virus,species,yes,onyong_nyong,,onyong-nyong virus,,2169701,,togaviridae,,virus,,manual_alias,,0,,accepted_candidate,,1,,spelling_variant,,Local VIRION spelling omits the apostrophe.,,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,Local VIRION spelling omits the apostrophe.
master_46,46,Scrub typhus,Scrub typhus,Orientia tsutsugamushi,species,yes,scrub_typhus,orientia tsutsugamushi,,784,,rickettsiaceae,,bacteria/rickettsia,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_47,47,Ross River virus,Ross River virus disease,Ross River virus,species,yes,ross_river_virus,ross river virus,alphavirus rossriver,11029,11029; 3426314,togaviridae,togaviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_48,48,Barmah Forest virus,Barmah Forest virus disease,Barmah Forest virus,species,yes,barmah_forest_virus,barmah forest virus,alphavirus barmah,11020,11020; 3426294,togaviridae,togaviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_49,49,Bartonellosis,Bartonellosis,Bartonella bacilliformis,species,yes,bartonellosis,bartonella bacilliformis,,774,,bartonellaceae,,bacteria/rickettsia,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_50,50,Murine typhus,Murine typhus,Rickettsia typhi,species,yes,murine_typhus,rickettsia typhi,,785,,rickettsiaceae,,bacteria/rickettsia,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_52,52,Bluetongue,Bluetongue,Bluetongue virus,species,yes,bluetongue,bluetongue virus,orbivirus caerulinguae,40051,3431240; 40051,reoviridae,sedoreoviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_53,53,Rabies,Rabies,Rabies lyssavirus,species,yes,rabies,rabies lyssavirus,lyssavirus rabies,11292,11292,rhabdoviridae,rhabdoviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_54,54,Lumpy skin disease,Lumpy skin disease,Lumpy skin disease virus,species,yes,lumpy_skin_disease,lumpy skin disease virus,capripoxvirus lumpyskinpox,59509,3427718; 59509,poxviridae,poxviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_55,55,Epizootic haemorrhagic disease,Epizootic haemorrhagic disease,Epizootic hemorrhagic disease virus,species,yes,epizootic_haemorrhagic_disease,epizootic hemorrhagic disease virus,orbivirus ruminantium,40054,3431252; 40054,reoviridae,sedoreoviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_56,56,African horse sickness,African horse sickness,African horse sickness virus,species,yes,african_horse_sickness,african horse sickness virus,orbivirus alphaequi,40050,40050,reoviridae,sedoreoviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_60,60,Tularemia,Tularemia,Francisella tularensis,species,yes,tularemia,francisella tularensis,,263,,francisellaceae,,bacteria/rickettsia,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_62,62,Q fever,Q fever,Coxiella burnetii,species,yes,q_fever,coxiella burnetii,,777,,coxiellaceae,,bacteria/rickettsia,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_63,63,Schmallenberg,Schmallenberg disease,Schmallenberg virus,species,yes,schmallenberg,,orthobunyavirus schmallenbergense,,159141; 159150; 3052437,,peribunyaviridae,,virus,,manual_alias,,0,,accepted_candidate,,3,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_65,65,Sin Nombre,Sin Nombre hantavirus infection,Sin Nombre orthohantavirus,species,yes,sin_nombre,sin nombre orthohantavirus,orthohantavirus sinnombreense,1980491,3052499; 44755,hantaviridae,hantaviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_66,66,Andes,Andes hantavirus infection,Andes orthohantavirus,species,yes,andes,andes orthohantavirus,orthohantavirus andesense,1980456,1980456,hantaviridae,hantaviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_67,67,Prospect Hill,Prospect Hill hantavirus infection,Prospect Hill orthohantavirus,species,yes,prospect_hill,prospect hill orthohantavirus,orthohantavirus prospectense,1980485,3052492,hantaviridae,hantaviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_69,69,Bayou,Bayou hantavirus infection,Bayou orthohantavirus,species,yes,bayou,bayou orthohantavirus,orthohantavirus bayoui,1980459,3052470,hantaviridae,hantaviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_72,72,Machupo,Bolivian hemorrhagic fever,Machupo mammarenavirus,species,yes,machupo,machupo mammarenavirus,mammarenavirus machupoense,11628,3052317,arenaviridae,arenaviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_73,73,Guanarito,Venezuelan hemorrhagic fever,Guanarito mammarenavirus,species,yes,guanarito,guanarito mammarenavirus,mammarenavirus guanaritoense,45219,3052307,arenaviridae,arenaviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_76,76,Irkut,Irkut lyssavirus infection,Irkut lyssavirus,species,yes,irkut,irkut lyssavirus,lyssavirus irkut,249583,249583,rhabdoviridae,rhabdoviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_77,77,Bokeloh bat lyssavirus,Bokeloh bat lyssavirus infection,Bokeloh bat lyssavirus,species,yes,bokeloh_bat_lyssavirus,bokeloh bat lyssavirus,lyssavirus bokeloh,1072176,1072176,rhabdoviridae,rhabdoviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_78,78,Duvenhage,Duvenhage lyssavirus infection,Duvenhage lyssavirus,species,yes,duvenhage,duvenhage lyssavirus,lyssavirus duvenhage,38767,38767,rhabdoviridae,rhabdoviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_79,79,Australian bat lyssavirus,Australian bat lyssavirus infection,Australian bat lyssavirus,species,yes,australian_bat_lyssavirus,australian bat lyssavirus,lyssavirus australis,90961,90961,rhabdoviridae,rhabdoviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,yes,alkhumra,,orthoflavivirus kyasanurense,,3048170; 33743,,flaviviridae,,virus,,manual_alias,,0,,accepted_candidate,,2,,shared_species_proxy,,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,,TRUE,virion,matched_or_candidate,preferred_source_matched,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.
master_82,82,Kyasanur Forest disease,Kyasanur Forest disease,Kyasanur Forest disease virus,species,yes,kyasanur_forest_disease,kyasanur forest disease virus,orthoflavivirus kyasanurense,33743,3048170; 33743,flaviviridae,flaviviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_83,83,Omsk HF,Omsk hemorrhagic fever,Omsk hemorrhagic fever virus,species,yes,omsk_hemorrhagic_fever,omsk hemorrhagic fever virus,orthoflavivirus omskense,12542,12542; 3048233,flaviviridae,flaviviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
