master_list_source,master_row,disease_master_name,pathogen_family_master,in_master_who,in_master_gibb,in_master_empres_i,in_master_atlas,master_gbif_checked,master_guild,master_livestock_amplified,master_tier,master_key_host_vector,master_notes,name_resolution_status,combined_row_type,existing_lookup_name,match_field,row_type,family,pheic_risk,source_pathogen,source_previous_name,source_msl39_viral_name,source_disease_name,is_priority_pathogen,is_prototype_pathogen,in_gibb_etal,in_empres_i,priority_prototype_status,region_africa,region_americas,region_europe,region_mediterranean,region_se_asia,region_western_pacific,source_unit_scope,analysis_unit,analysis_unit_label,analysis_unit_rank,analysis_decision,decision_rule_trigger,transmission_context,human_infection_status,host_link_status,vector_data_status,amplifier_data_status,example_members,rationale,notes
disease_master_list_v2,12,Nipah,Paramyxoviridae,TRUE,TRUE,TRUE,FALSE,FALSE,B,TRUE,1,Pteropus bats,Pig amplification in Malaysia outbreak,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Nipah virus disease,source_disease_name,source_row,Paramyxoviridae,High,Henipavirus nipahense,Nipah virus,Henipavirus nipahense,Nipah virus disease,TRUE,TRUE,TRUE,TRUE,both,none,none,none,none,both,both,specific_unit,Henipavirus nipahense,Nipah virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Pig amplification in Malaysia outbreak
disease_master_list_v2,14,MERS,Coronaviridae,TRUE,TRUE,TRUE,FALSE,FALSE,C,TRUE,1,Dromedary camels,Camel IS the livestock amplifier,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,MERS-CoV,analysis_unit_label,split_candidate,Coronaviridae,High,Subgenus Merbecovirus,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus,Middle East Respiratory Syndrome (MERS),TRUE,TRUE,FALSE,FALSE,both,none,none,none,both,none,none,broad_subgenus,Middle East respiratory syndrome-related coronavirus (MERS-CoV),MERS-CoV,species,keep,clear_human_infection_and_host_link,host_linked_non_vector,yes,yes,no,yes,,Clear human-pathogenic merbecovirus with established host and amplifier relevance.,Retained as a distinct analysis unit rather than folded into the broader merbecovirus placeholder.
disease_master_list_v2,15,Mpox,Poxviridae,TRUE,TRUE,TRUE,FALSE,FALSE,B,FALSE,1,Rodents (squirrels),Pre-2022 sylvatic data only,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Mpox (Monkeypox),source_disease_name,source_row,Poxviridae,High,Orthopoxvirus monkeypox,Monkeypox virus,Orthopoxvirus monkeypox,Mpox (Monkeypox),TRUE,TRUE,TRUE,TRUE,both,both,both,both,both,both,both,specific_unit,Orthopoxvirus monkeypox,Monkeypox virus,species_or_equivalent,keep,specific_source_row,mixed_or_context_dependent,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Pre-2022 sylvatic data only
disease_master_list_v2,16,Avian influenza (H5N1),Orthomyxoviridae,TRUE,TRUE,TRUE,FALSE,FALSE,C,TRUE,1,Wild waterfowl; poultry interface,Poultry amplification. Huge EMPRES-i dataset,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Alphainfluenzavirus influenzae (H5N1),source_pathogen,source_row,Orthomyxoviridae,High,Alphainfluenzavirus influenzae (H5N1),Influenza A,Alphainfluenzavirus influenzae,Influenza (H5N1 avian influenza),TRUE,TRUE,TRUE,TRUE,both,both,both,both,both,both,none,subtype_level,Alphainfluenzavirus influenzae (H5N1),Influenza A,subtype,keep,influenza_keep_h5n1_only,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,"Retained as the only active influenza analysis unit from the current WHO shortlist, following the decision to keep H5N1 but drop the other current influenza subtype rows.",Kept as the only influenza subtype from the current WHO shortlist in the active analysis-unit set.
disease_master_list_v2,17,Plague,Yersinia,TRUE,TRUE,FALSE,FALSE,FALSE,A/E,FALSE,1,Rodent fleas; wildlife cycle,,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Plague,source_disease_name,source_row,Bacteria,High,Yersinia pestis,,,Plague,TRUE,FALSE,TRUE,FALSE,priority,priority,priority,none,none,none,none,specific_unit,Yersinia pestis,Yersinia pestis,species_or_equivalent,keep,specific_source_row,mixed_or_context_dependent,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
disease_master_list_v2,18,Oropouche,Peribunyaviridae,TRUE,TRUE,FALSE,FALSE,FALSE,E,FALSE,1,Culicoides midges,,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Oropouche fever,source_disease_name,source_row,Peribunyaviridae,Low,Orthobunyavirus oropoucheense,Oropouche virus,Orthobunyavirus oropoucheense,Oropouche fever,FALSE,TRUE,TRUE,TRUE,prototype,none,prototype,none,none,none,none,specific_unit,Orthobunyavirus oropoucheense,Oropouche virus,species_or_equivalent,keep,specific_source_row,vector_associated_or_mixed,yes,yes_or_expected_from_source,yes_or_expected,unknown,,Specific zoonotic source row retained as the current analysis unit.,
disease_master_list_v2,19,HCPS (hantaviruses),Hantaviridae,TRUE,TRUE,FALSE,FALSE,FALSE,A,FALSE,1,Sigmodontine rodents,Split by virus in Atlas dataset,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Hantavirus pulmonary syndrome,source_disease_name,source_row,Hantaviridae,High,Orthohantavirus sinnombreense,Sinnombre virus,Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome,TRUE,TRUE,FALSE,FALSE,both,none,both,none,none,none,none,specific_unit,Orthohantavirus sinnombreense,Sinnombre virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,Split by virus in Atlas dataset
disease_master_list_v2,20,Argentine HF (Junin),Arenaviridae,TRUE,TRUE,FALSE,TRUE,FALSE,A,FALSE,1,Calomys musculinus,,matched_existing_unit_by_manual_alias,existing_who_analysis_unit,Argentine hemorrhagic fever,source_disease_name,source_row,Arenaviridae,High,Mammarenavirus juninense,Junin virus,Mammarenavirus juninense,Argentine hemorrhagic fever,FALSE,TRUE,TRUE,FALSE,prototype,none,prototype,none,none,none,none,specific_unit,Mammarenavirus juninense,Junin virus,species_or_equivalent,keep,specific_source_row,host_linked_non_vector,yes,yes_or_expected_from_source,not_central_or_unknown,unknown,,Specific zoonotic source row retained as the current analysis unit.,
disease_master_list_v2,30,Lyme disease,Borrelia,FALSE,TRUE,FALSE,TRUE,FALSE,E,FALSE,1,Ixodes ticks; rodent/deer,Highest n. High filling,needs_pathogen_name_resolution,master_list_review_unit,,,,Borrelia,,,,,Lyme disease,,,,,,,,,,,,disease_level_review,Lyme disease,Lyme disease,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,Highest n. High filling
disease_master_list_v2,31,Japanese encephalitis,Flaviviridae,FALSE,TRUE,TRUE,FALSE,FALSE,E,TRUE,1,Culex tritaeniorhynchus; pigs; wading birds,Pig amplification essential. Vaccination flag.,needs_pathogen_name_resolution,master_list_review_unit,,,,Flaviviridae,,,,,Japanese encephalitis,,,,,,,,,,,,disease_level_review,Japanese encephalitis,Japanese encephalitis,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,livestock_amplifier_flag_from_master_list,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,Pig amplification essential. Vaccination flag.
