analysis_unit_id,readiness_disease_name,disease_name,species_name,tax_id,species_role,sdm_needed_for_disease,host_role_assignment,host_role_confidence,host_role_needs_manual_review,host_role_assignment_status,vector_role_assignment,vector_role_confidence,vector_role_needs_manual_review,vector_role_assignment_status,sdm_available,sdm_species
master_12,Nipah virus disease,Nipah virus disease,Felis catus,9685,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Felis catus
master_12,Nipah virus disease,Nipah virus disease,Hipposideros armiger,186990,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Hipposideros armiger
master_12,Nipah virus disease,Nipah virus disease,Hipposideros larvatus,175524,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Hipposideros larvatus
master_12,Nipah virus disease,Nipah virus disease,Hipposideros pomona,334201,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_12,Nipah virus disease,Nipah virus disease,Homo sapiens,9606,host,yes,amplifying_host,medium,TRUE,draft_needs_review,,,,,FALSE,
master_12,Nipah virus disease,Nipah virus disease,Hypsignathus monstrosus,448084,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Hypsignathus monstrosus
master_12,Nipah virus disease,Nipah virus disease,Mus musculus,10090,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Mus musculus
master_12,Nipah virus disease,Nipah virus disease,Myotis daubentonii,98922,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Myotis daubentonii
master_12,Nipah virus disease,Nipah virus disease,Myotis pilosus,203696,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_12,Nipah virus disease,Nipah virus disease,Pteropus hypomelanus,9405,host,yes,reservoir_host,high,TRUE,draft_source_backed,,,,,FALSE,
master_12,Nipah virus disease,Nipah virus disease,Pteropus lylei,166054,host,yes,reservoir_host,medium,TRUE,draft_source_backed,,,,,TRUE,Pteropus lylei
master_12,Nipah virus disease,Nipah virus disease,Pteropus medius,143291,host,yes,reservoir_host,medium,TRUE,draft_source_backed,,,,,TRUE,Pteropus medius
master_12,Nipah virus disease,Nipah virus disease,Pteropus vampyrus,132908,host,yes,reservoir_host,high,TRUE,draft_source_backed,,,,,TRUE,Pteropus vampyrus
master_12,Nipah virus disease,Nipah virus disease,Rhinolophus affinis,59477,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Rhinolophus affinis
master_12,Nipah virus disease,Nipah virus disease,Rhinolophus sinicus,89399,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Rhinolophus sinicus
master_12,Nipah virus disease,Nipah virus disease,Rousettus leschenaultii,9408,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Rousettus leschenaultii
master_12,Nipah virus disease,Nipah virus disease,Scotophilus kuhlii,153297,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Scotophilus kuhlii
