analysis_unit_id,readiness_disease_name,pathogen_species_name,pathogen_taxid,pilot_subset,pilot_priority,pilot_next_step,modelling_scope_status,recommended_next_action,readiness_blocker,host_sdm_needed,vector_sdm_needed,direct_vector_evidence_status,country_evidence_status,sdm_availability_status,vectored_status,generalist_status,transmission_complexity,guild,range_limiting_layer,role_assignment_status,evidence_join_status,host_candidate_rows,roster_host_rows,roster_vector_rows,roster_vectors_with_host_vector_evidence,roster_vectors_with_human_biting,roster_taxonomy_caution_rows,host_role_evidence_rows,host_role_evidence_substantive_rows,vector_role_evidence_rows,vector_role_evidence_substantive_rows,host_role_assignment_rows,host_role_substantive_assignment_rows,vector_role_assignment_rows,vector_role_substantive_assignment_rows,direct_disease_vector_rows,direct_vector_species_or_taxa,direct_vector_confirmed_rows,direct_vector_probable_rows,direct_vector_candidate_rows,direct_vector_competence_joined_rows,direct_vector_competent_rows,direct_vector_mixed_competence_rows,direct_vector_not_competent_rows,direct_vector_unclear_competence_rows,direct_vector_transmission_yes_rows,direct_vector_natural_infection_yes_rows,direct_vector_taxonomy_review_needed_rows,genbank_country_rows,genbank_distinct_countries_or_territories,genbank_records_with_country,who_don_focal_country_rows,who_don_distinct_records,who_don_distinct_countries,who_don_high_confidence_rows,who_don_manual_review_rows,host_sdm_species_available,vector_sdm_species_available,host_sdm_projection_species_available,vector_sdm_projection_species_available,host_sdm_comparison_species_available,vector_sdm_comparison_species_available,has_substantive_host_role_evidence,has_substantive_vector_role_evidence,has_direct_vector_evidence,has_genbank_country_evidence,has_who_don_focal_evidence,evidence_qa_matched_disease_name,direct_vector_matched_disease_name,genbank_matched_disease_name,who_don_matched_disease_name,sdm_matched_disease_name
master_28,Hepatitis E,Paslahepevirus balayani,1678143,who_core,1,curate_role_evidence,include,curate_role_evidence,missing_role_evidence,optional,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,non_vectored,restricted,mixed,food_waterborne,human_exposure,no_role_evidence_or_assignment,matched_primary_name,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,11877,6,4,4,0,6,32,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,Hepatitis E,,Hepatitis E,Hepatitis E,Hepatitis E
master_3,Zika virus disease,Orthoflavivirus zikaense,3048459; 64320,who_core,1,find_or_build_vector_sdm,include,find_or_build_vector_sdm,missing_required_vector_sdm,no,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,vectored,restricted,mixed,mosquito_borne_arbovirus,vector,reviewed_assignment_present,matched_primary_name,18,18,56,29,29,2,1,1,3,3,1,1,3,3,57,56,7,7,27,27,4,10,7,6,7,11,0,78,78,2245,16,15,14,9,14,13,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,Zika virus disease,Zika virus disease,Zika virus disease,Zika virus disease,Zika virus disease
master_4,Chikungunya fever,Alphavirus chikungunya,3426298; 37124,who_core,1,find_or_build_vector_sdm,include,find_or_build_vector_sdm,missing_required_vector_sdm,no,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,vectored,restricted,simple,mosquito_borne_arbovirus,vector,reviewed_assignment_present,matched_primary_name,20,20,21,12,12,0,2,2,3,3,1,1,3,3,21,21,2,7,10,15,14,0,0,1,14,0,0,115,115,10709,11,8,6,3,11,14,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,Chikungunya fever,Chikungunya fever,Chikungunya fever,Chikungunya,Chikungunya fever
master_5,Yellow fever,Orthoflavivirus flavi,11089; 3046277,who_core,1,find_or_build_vector_sdm,include,find_or_build_vector_sdm,missing_required_vector_sdm,optional,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,host_and_vector,reviewed_assignment_present,matched_primary_name,23,23,30,12,12,0,2,2,6,6,1,1,6,6,32,30,18,7,7,29,20,2,0,7,20,10,0,42,42,1995,109,71,34,7,104,15,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,Yellow fever,Yellow fever,Yellow fever,Yellow fever,Yellow fever
master_6,West Nile fever,Orthoflavivirus nilense,11082; 3048448,who_core,1,find_or_build_vector_sdm,include,find_or_build_vector_sdm,missing_required_vector_sdm,optional,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,vector,reviewed_assignment_present,matched_primary_name,186,186,75,47,39,1,4,4,6,6,3,3,5,5,75,75,9,10,52,39,20,7,2,10,21,1,1,73,73,8316,14,11,4,0,14,25,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,West Nile fever,West Nile fever,West Nile fever,West Nile fever,West Nile fever
master_7,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,who_core,1,find_or_build_vector_sdm,include,find_or_build_vector_sdm,missing_required_vector_sdm,optional,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,vectored,host_group_generalist,mixed,tick_borne_pathogen,vector,reviewed_assignment_present,matched_primary_name,13,13,49,35,27,2,2,2,5,5,2,2,5,5,49,49,16,4,29,30,14,1,0,15,2,1,1,53,53,5335,4,4,3,0,4,10,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever
master_8,Rift Valley fever,Phlebovirus riftense,3052676,who_core,1,find_or_build_vector_sdm,include,find_or_build_vector_sdm,missing_required_vector_sdm,yes,yes,direct_vector_evidence_present,who_don_and_genbank,missing_required_vector_sdm,vectored,host_group_generalist,mixed,livestock_amplified_vector_borne,host_and_vector,reviewed_assignment_present,matched_primary_name,17,17,78,45,43,1,5,5,6,6,5,5,6,6,88,78,6,33,36,82,30,11,4,37,30,53,0,33,33,1793,18,13,10,1,18,15,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,Rift Valley fever,Rift Valley fever,Rift Valley fever,Rift Valley fever,Rift Valley fever
master_9,Ebola virus disease,Orthoebolavirus zairense,186538; 3052462,who_core,1,ready_for_model_spec_review,include,ready_for_model_spec_review,none,optional,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,non_vectored,restricted,complex,bat_reservoir_spillover,mixed,reviewed_assignment_present,matched_primary_name,16,16,0,0,0,0,5,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,3578,210,158,18,7,207,13,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,Ebola virus disease,,Ebola virus disease,Ebola virus disease,Ebola virus disease
who_18,Influenza (H7N9 avian influenza),Alphainfluenzavirus influenzae,11320; 2955291,who_core,1,curate_role_evidence,include,curate_role_evidence,missing_role_evidence,yes,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,non_vectored,host_group_generalist,mixed,avian_reservoir_non_vectored,livestock_host,no_role_evidence_or_assignment,matched_primary_name,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16128,4,3,3,0,4,71,0,1,0,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,Influenza (H7N9 avian influenza),,Influenza (H7N9 avian influenza),Influenza A(H7N9),Influenza (H7N9 avian influenza)
who_8,Hemorrhagic fever with renal syndrome (Hantaan virus),Orthohantavirus hantanense,3052480,who_core,1,ready_for_model_spec_review,include,ready_for_model_spec_review,none,yes,no,not_expected_non_vectored,genbank_only,required_sdms_available,non_vectored,specialist,simple,rodent_reservoir_direct_or_environmental,reservoir_host,reviewed_assignment_present,matched_primary_name,21,21,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2064,0,0,0,0,0,11,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,Hemorrhagic fever with renal syndrome (Hantaan virus),,Hemorrhagic fever with renal syndrome (Hantaan virus),,Hemorrhagic fever with renal syndrome (Hantaan virus)
