blood_meal_assay_id,sample_id,study_id,vector_species_raw,vector_species_assay_raw,vector_species_sample_raw,host_organism_raw,review_reason
2016-indian-icemr|Anopheles_culicifacies_BCE_0178.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0178,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0179.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0179,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0179.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0179,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_fluviatilis_T_0072.BM_BOVINE.1,2016-indian-icemr|Anopheles_fluviatilis_T_0072,2016-indian-icemr,Anopheles fluviatilis | Anopheles fluviatilis T,Anopheles fluviatilis | Anopheles fluviatilis T,fluviatilis species complex,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_fluviatilis_T_0072.BM_HUMAN.1,2016-indian-icemr|Anopheles_fluviatilis_T_0072,2016-indian-icemr,Anopheles fluviatilis | Anopheles fluviatilis T,Anopheles fluviatilis | Anopheles fluviatilis T,fluviatilis species complex,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0225.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0225,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0225.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0225,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0226.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0226,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0226.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0226,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0227.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0227,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0227.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0227,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0273.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0273,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0273.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0273,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0327.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0327,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0327.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0327,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0328.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0328,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0328.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0328,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0329.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0329,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0329.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0329,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0398.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0398,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0398.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0398,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0399.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0399,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0399.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0399,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0464.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0464,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0464.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0464,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0465.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0465,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0465.BM_HUMAN.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0465,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Homo sapiens,sample_species_differs_from_species_assay
2016-indian-icemr|Anopheles_culicifacies_BCE_0466.BM_BOVINE.1,2016-indian-icemr|Anopheles_culicifacies_BCE_0466,2016-indian-icemr,Anopheles culicifacies BCE subgroup | culicifacies species complex,Anopheles culicifacies BCE subgroup | culicifacies species complex,Myzomyia,Bos taurus,sample_species_differs_from_species_assay
