Family,PHEIC risk,Pathogens,is_priority_pathogen,is_prototype_pathogen,priority_prototype_status,region_africa,region_americas,region_europe,region_mediterranean,region_se_asia,region_western_pacific,previous_name,msl39_viral_name
Peribunyaviridae,Low,Orthobunyavirus oropoucheense,FALSE,TRUE,prototype,none,prototype,none,none,none,none,Oropouche virus,Orthobunyavirus oropoucheense
Filoviridae,High,Orthoebolavirus sudanense,TRUE,FALSE,priority,priority,none,none,priority,none,none,Sudan ebolavirus,Orthoebolavirus sudanense
Filoviridae,High,Orthoebolavirus zairense,TRUE,TRUE,both,both,none,none,none,none,none,Ebola virus,Orthoebolavirus zairense
Flaviviridae,High,Orthoflavivirus denguei,TRUE,TRUE,both,both,both,both,both,both,both,Dengue virus,Orthoflavivirus denguei
Flaviviridae,High,Orthoflavivirus encephalitidis,FALSE,TRUE,prototype,none,prototype,prototype,none,none,none,Tick-borne encephalitis virus,Orthoflavivirus encephalitidis
Flaviviridae,High,Orthoflavivirus flavi,TRUE,FALSE,priority,priority,priority,none,none,none,none,Yellow fever virus,Orthoflavivirus flavi
Flaviviridae,High,Orthoflavivirus nilense,FALSE,TRUE,prototype,prototype,prototype,prototype,prototype,prototype,prototype,West Nile virus,Orthoflavivirus nilense
Flaviviridae,High,Orthoflavivirus zikaense,TRUE,TRUE,both,both,both,none,none,both,both,Zika virus,Orthoflavivirus zikaense
Hantaviridae,High,Orthohantavirus hantanense,TRUE,FALSE,priority,none,none,priority,none,none,priority,Hantaan orthohantavirus,Orthohantavirus hantanense
Hantaviridae,High,Orthohantavirus sinnombreense,TRUE,TRUE,both,none,both,none,none,none,none,Sinnombre virus,Orthohantavirus sinnombreense
Hepadnaviridae,Low,Orthohepadnavirus hominoidei,FALSE,TRUE,prototype,none,none,none,none,prototype,none,NA,NA
Filoviridae,High,Orthomarburgvirus marburgense,TRUE,FALSE,priority,priority,none,none,none,none,none,Marburg virus,Orthomarburgvirus marburgense
Nairoviridae,High,Orthonairovirus haemorrhagiae,TRUE,TRUE,both,both,none,both,both,none,both,NA,NA
Picobirnaviridae,Low,Orthopicobirnavirus hominis,FALSE,TRUE,prototype,prototype,prototype,prototype,prototype,prototype,none,Human picobirnavirus,Orthopicobirnavirus hominis
Poxviridae,High,Orthopoxvirus monkeypox,TRUE,TRUE,both,both,both,both,both,both,both,Monkeypox virus,Orthopoxvirus monkeypox
Poxviridae,High,Orthopoxvirus vaccinia,TRUE,TRUE,both,none,prototype,none,prototype,prototype,both,Vaccinia virus,Orthopoxvirus vaccinia
Spinareoviridae,Low,Orthoreovirus mammalis,FALSE,TRUE,prototype,prototype,prototype,prototype,prototype,prototype,prototype,Mammalian orthoreovirus,Orthoreovirus mammalis
Hepeviridae,Low,Paslahepevirus balayani genotype 3,FALSE,TRUE,prototype,prototype,prototype,prototype,prototype,prototype,prototype,Hepatitis E virus,Paslahepevirus balayani
Phenuiviridae,High,Phlebovirus riftense,FALSE,TRUE,prototype,prototype,none,none,none,none,none,Rift Valley Fever virus,Phlebovirus riftense
Parvoviridae,Low,Protoparvovirus carnivoran,FALSE,TRUE,prototype,prototype,prototype,prototype,prototype,prototype,none,Carnivore protoparvoviruses,Protoparvovirus carnivoran
Adenoviridae,Low-Medium,Recombinant mastadenovirus,FALSE,TRUE,prototype,prototype,prototype,prototype,prototype,prototype,none,NA,NA
Bacteria,High,Salmonella enterica non typhoidal serovars,TRUE,FALSE,priority,priority,priority,priority,priority,priority,priority,NA,NA
Bacteria,High,Shigella dysenteriae serotype 1,TRUE,FALSE,priority,priority,none,none,priority,priority,none,NA,NA
Coronaviridae,High,Subgenus Sarbecovirus,TRUE,TRUE,both,both,none,both,none,prototype,both,NA,NA
Bacteria,High,Vibrio cholerae serogroup 0139,TRUE,FALSE,priority,priority,none,none,priority,priority,priority,NA,NA
Bacteria,High,Yersinia pestis,TRUE,FALSE,priority,priority,priority,none,none,none,none,NA,NA
Coronaviridae,High,subgenus Merbecovirus,TRUE,TRUE,both,none,none,none,both,none,none,Middle East Respiratory Syndrome Coronavirus,subgenus Merbecovirus
Coronaviridae,High,subgenus Sarbecovirus,TRUE,TRUE,both,none,both,none,both,priority,none,Severe Acute Respiratory Syndrome coronavirus,subgenus Sarbecovirus
