Pathogens,Disease_name,Family,previous_name,msl39_viral_name,virion_tax_ids,virion_names,clover_tax_ids,clover_names,manual_query_aliases,taxid_query,name_query,taxid_geo_query,name_geo_query,query_strategy
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Flaviviridae,Tick-borne encephalitis virus,Orthoflavivirus encephalitidis,11084; 3052465,orthoflavivirus encephalitidis,,,Tick-borne encephalitis,txid11084[Organism:exp] OR txid3052465[Organism:exp],"""Orthoflavivirus encephalitidis""[Organism] OR ""Tick-borne encephalitis virus""[Organism] OR ""orthoflavivirus encephalitidis""[Organism] OR ""Tick-borne encephalitis""[Organism]","(txid11084[Organism:exp] OR txid3052465[Organism:exp]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])","(""Orthoflavivirus encephalitidis""[Organism] OR ""Tick-borne encephalitis virus""[Organism] OR ""orthoflavivirus encephalitidis""[Organism] OR ""Tick-borne encephalitis""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",taxid
Alphainfluenzavirus influenzae (H2N1),Influenza (H2N1),Orthomyxoviridae,Influenza A,Alphainfluenzavirus influenzae,11320; 2955291,alphainfluenzavirus influenzae,,,Influenza (H2N1),txid11320[Organism:exp] OR txid2955291[Organism:exp],"""Alphainfluenzavirus influenzae (H2N1)""[Organism] OR ""Influenza A""[Organism] OR ""Alphainfluenzavirus influenzae""[Organism] OR ""alphainfluenzavirus influenzae""[Organism] OR ""Influenza (H2N1)""[Organism]","(txid11320[Organism:exp] OR txid2955291[Organism:exp]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])","(""Alphainfluenzavirus influenzae (H2N1)""[Organism] OR ""Influenza A""[Organism] OR ""Alphainfluenzavirus influenzae""[Organism] OR ""alphainfluenzavirus influenzae""[Organism] OR ""Influenza (H2N1)""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",taxid
