Pathogens,Disease_name,network_pathogen,network_disease_name,who_match_status,who_match_count,who_pathogen_candidates,Family,PHEIC_risk,previous_name,msl39_viral_name,virion_tax_ids,virion_names,matched_name_types,clover_tax_ids,clover_names,network_aliases,influenza_search_mode,influenza_exact_subtypes,influenza_family_fallbacks,influenza_family_policy,manual_query_aliases,target_resolution_type,query_profile,taxid_query,organism_query,all_fields_query,name_query,allow_taxonomy_link_fallback,query_specificity_status,query_specificity_reason,preferred_metadata_source,metadata_source_reason,query_strategy,search_query,geo_query,pathogen_run_id,pathogen_log_path,pathogen_records_path
Orthoebolavirus sudanense,Sudan virus disease (Ebola virus disease),Orthoebolavirus sudanense,Sudan virus disease (Ebola virus disease),exact_pair,1,Orthoebolavirus sudanense,Filoviridae,High,Sudan ebolavirus,Orthoebolavirus sudanense,186540; 3052460,orthoebolavirus sudanense,Pathogens; msl39_viral_name,,,Orthoebolavirus sudanense,,,,,Orthoebolavirus sudanense,exact_candidate,exact_candidate,txid186540[Organism:exp] OR txid3052460[Organism:exp],"""Orthoebolavirus sudanense""[Organism] OR ""Sudan ebolavirus""[Organism] OR ""orthoebolavirus sudanense""[Organism]",,"""Orthoebolavirus sudanense""[Organism] OR ""Sudan ebolavirus""[Organism] OR ""orthoebolavirus sudanense""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthoebolavirus sudanense""[Organism] OR ""Sudan ebolavirus""[Organism] OR ""orthoebolavirus sudanense""[Organism]","(""Orthoebolavirus sudanense""[Organism] OR ""Sudan ebolavirus""[Organism] OR ""orthoebolavirus sudanense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_011_Orthoebolavirus_sudanense__Sudan_virus_disease_Ebola_virus_disease,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_011_Orthoebolavirus_sudanense__Sudan_virus_disease_Ebola_virus_disease.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_011_Orthoebolavirus_sudanense__Sudan_virus_disease_Ebola_virus_disease.csv
Orthoflavivirus denguei,Dengue,Orthoflavivirus denguei,Dengue,exact_pair,1,Orthoflavivirus denguei,Flaviviridae,High,Dengue virus,Orthoflavivirus denguei,12637; 3052464,orthoflavivirus denguei; dengue virus,Pathogens; msl39_viral_name; previous_name,,,Orthoflavivirus denguei,,,,,Orthoflavivirus denguei,exact_candidate,exact_candidate,txid12637[Organism:exp] OR txid3052464[Organism:exp],"""Orthoflavivirus denguei""[Organism] OR ""Dengue virus""[Organism] OR ""orthoflavivirus denguei""[Organism] OR ""dengue virus""[Organism]",,"""Orthoflavivirus denguei""[Organism] OR ""Dengue virus""[Organism] OR ""orthoflavivirus denguei""[Organism] OR ""dengue virus""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthoflavivirus denguei""[Organism] OR ""Dengue virus""[Organism] OR ""orthoflavivirus denguei""[Organism] OR ""dengue virus""[Organism]","(""Orthoflavivirus denguei""[Organism] OR ""Dengue virus""[Organism] OR ""orthoflavivirus denguei""[Organism] OR ""dengue virus""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_012_Orthoflavivirus_denguei__Dengue,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_012_Orthoflavivirus_denguei__Dengue.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_012_Orthoflavivirus_denguei__Dengue.csv
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Orthoflavivirus encephalitidis,Tick-borne encephalitis,exact_pair,1,Orthoflavivirus encephalitidis,Flaviviridae,High,Tick-borne encephalitis virus,Orthoflavivirus encephalitidis,11084; 3052465,orthoflavivirus encephalitidis,Pathogens; msl39_viral_name,,,Orthoflavivirus encephalitidis,,,,,Orthoflavivirus encephalitidis,exact_candidate,exact_candidate,txid11084[Organism:exp] OR txid3052465[Organism:exp],"""Orthoflavivirus encephalitidis""[Organism] OR ""orthoflavivirus encephalitidis""[Organism]",,"""Orthoflavivirus encephalitidis""[Organism] OR ""orthoflavivirus encephalitidis""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthoflavivirus encephalitidis""[Organism] OR ""orthoflavivirus encephalitidis""[Organism]","(""Orthoflavivirus encephalitidis""[Organism] OR ""orthoflavivirus encephalitidis""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_013_Orthoflavivirus_encephalitidis__Tick_borne_encephalitis,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_013_Orthoflavivirus_encephalitidis__Tick_borne_encephalitis.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_013_Orthoflavivirus_encephalitidis__Tick_borne_encephalitis.csv
Orthoflavivirus nilense,West Nile fever,Orthoflavivirus nilense,West Nile fever,exact_pair,1,Orthoflavivirus nilense,Flaviviridae,High,West Nile virus,Orthoflavivirus nilense,11082; 3048448,orthoflavivirus nilense; west nile virus,Pathogens; msl39_viral_name; previous_name,,,Orthoflavivirus nilense,,,,,Orthoflavivirus nilense,exact_candidate,exact_candidate,txid11082[Organism:exp] OR txid3048448[Organism:exp],"""Orthoflavivirus nilense""[Organism] OR ""West Nile virus""[Organism] OR ""orthoflavivirus nilense""[Organism] OR ""west nile virus""[Organism]",,"""Orthoflavivirus nilense""[Organism] OR ""West Nile virus""[Organism] OR ""orthoflavivirus nilense""[Organism] OR ""west nile virus""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthoflavivirus nilense""[Organism] OR ""West Nile virus""[Organism] OR ""orthoflavivirus nilense""[Organism] OR ""west nile virus""[Organism]","(""Orthoflavivirus nilense""[Organism] OR ""West Nile virus""[Organism] OR ""orthoflavivirus nilense""[Organism] OR ""west nile virus""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_014_Orthoflavivirus_nilense__West_Nile_fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_014_Orthoflavivirus_nilense__West_Nile_fever.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_014_Orthoflavivirus_nilense__West_Nile_fever.csv
Orthoflavivirus flavi,Yellow fever,Orthoflavivirus flavi,Yellow fever,exact_pair,1,Orthoflavivirus flavi,Flaviviridae,High,Yellow fever virus,Orthoflavivirus flavi,11089; 3046277,orthoflavivirus flavi; yellow fever virus,Pathogens; msl39_viral_name; previous_name,,,Orthoflavivirus flavi,,,,,Orthoflavivirus flavi,exact_candidate,exact_candidate,txid11089[Organism:exp] OR txid3046277[Organism:exp],"""Orthoflavivirus flavi""[Organism]",,"""Orthoflavivirus flavi""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthoflavivirus flavi""[Organism]","(""Orthoflavivirus flavi""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_015_Orthoflavivirus_flavi__Yellow_fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_015_Orthoflavivirus_flavi__Yellow_fever.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_015_Orthoflavivirus_flavi__Yellow_fever.csv
Orthoflavivirus zikaense,Zika virus disease,Orthoflavivirus zikaense,Zika virus disease,exact_pair,1,Orthoflavivirus zikaense,Flaviviridae,High,Zika virus,Orthoflavivirus zikaense,3048459; 64320,orthoflavivirus zikaense; zika virus,Pathogens; msl39_viral_name; previous_name,,,Orthoflavivirus zikaense,,,,,Orthoflavivirus zikaense,exact_candidate,exact_candidate,txid3048459[Organism:exp] OR txid64320[Organism:exp],"""Orthoflavivirus zikaense""[Organism] OR ""Zika virus""[Organism] OR ""orthoflavivirus zikaense""[Organism] OR ""zika virus""[Organism]",,"""Orthoflavivirus zikaense""[Organism] OR ""Zika virus""[Organism] OR ""orthoflavivirus zikaense""[Organism] OR ""zika virus""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthoflavivirus zikaense""[Organism] OR ""Zika virus""[Organism] OR ""orthoflavivirus zikaense""[Organism] OR ""zika virus""[Organism]","(""Orthoflavivirus zikaense""[Organism] OR ""Zika virus""[Organism] OR ""orthoflavivirus zikaense""[Organism] OR ""zika virus""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_016_Orthoflavivirus_zikaense__Zika_virus_disease,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_016_Orthoflavivirus_zikaense__Zika_virus_disease.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_016_Orthoflavivirus_zikaense__Zika_virus_disease.csv
Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome,Orthohantavirus sinnombreense,Hantavirus pulmonary syndrome,exact_pair,1,Orthohantavirus sinnombreense,Hantaviridae,High,Sinnombre virus,Orthohantavirus sinnombreense,3052499; 44755,orthohantavirus sinnombreense,Pathogens; msl39_viral_name,,,Orthohantavirus sinnombreense,,,,,Orthohantavirus sinnombreense,exact_candidate,exact_candidate,txid3052499[Organism:exp] OR txid44755[Organism:exp],"""Orthohantavirus sinnombreense""[Organism] OR ""Sinnombre virus""[Organism] OR ""orthohantavirus sinnombreense""[Organism]",,"""Orthohantavirus sinnombreense""[Organism] OR ""Sinnombre virus""[Organism] OR ""orthohantavirus sinnombreense""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthohantavirus sinnombreense""[Organism] OR ""Sinnombre virus""[Organism] OR ""orthohantavirus sinnombreense""[Organism]","(""Orthohantavirus sinnombreense""[Organism] OR ""Sinnombre virus""[Organism] OR ""orthohantavirus sinnombreense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_017_Orthohantavirus_sinnombreense__Hantavirus_pulmonary_syndrome,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_017_Orthohantavirus_sinnombreense__Hantavirus_pulmonary_syndrome.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_017_Orthohantavirus_sinnombreense__Hantavirus_pulmonary_syndrome.csv
Orthohantavirus hantanense,Hemorrhagic fever with renal syndrome (Hantaan virus),Orthohantavirus hantanense,Hemorrhagic fever with renal syndrome (Hantaan virus),exact_pair,1,Orthohantavirus hantanense,Hantaviridae,High,Hantaan orthohantavirus,Orthohantavirus hantanense,286540; 3052480; 86782,orthohantavirus hantanense,Pathogens; msl39_viral_name,,,Orthohantavirus hantanense,,,,,Orthohantavirus hantanense,exact_candidate,exact_candidate,txid286540[Organism:exp] OR txid3052480[Organism:exp] OR txid86782[Organism:exp],"""Orthohantavirus hantanense""[Organism] OR ""Hantaan orthohantavirus""[Organism] OR ""orthohantavirus hantanense""[Organism]",,"""Orthohantavirus hantanense""[Organism] OR ""Hantaan orthohantavirus""[Organism] OR ""orthohantavirus hantanense""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthohantavirus hantanense""[Organism] OR ""Hantaan orthohantavirus""[Organism] OR ""orthohantavirus hantanense""[Organism]","(""Orthohantavirus hantanense""[Organism] OR ""Hantaan orthohantavirus""[Organism] OR ""orthohantavirus hantanense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_018_Orthohantavirus_hantanense__Hemorrhagic_fever_with_renal_syndrome_Hantaan_virus,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_018_Orthohantavirus_hantanense__Hemorrhagic_fever_with_renal_syndrome_Hantaan_virus.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_018_Orthohantavirus_hantanense__Hemorrhagic_fever_with_renal_syndrome_Hantaan_virus.csv
Paslahepevirus balayani genotype 3,Hepatitis E,Paslahepevirus balayani genotype 3,Hepatitis E,exact_pair,1,Paslahepevirus balayani genotype 3,Hepeviridae,Low,Hepatitis E virus,Paslahepevirus balayani,1678143,paslahepevirus balayani,msl39_viral_name,,,Paslahepevirus balayani genotype 3,,,,,Paslahepevirus balayani genotype 3,exact_candidate,exact_candidate,txid1678143[Organism:exp],"""Paslahepevirus balayani genotype 3""[Organism]",,"""Paslahepevirus balayani genotype 3""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Paslahepevirus balayani genotype 3""[Organism]","(""Paslahepevirus balayani genotype 3""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_019_Paslahepevirus_balayani_genotype_3__Hepatitis_E,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_019_Paslahepevirus_balayani_genotype_3__Hepatitis_E.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_019_Paslahepevirus_balayani_genotype_3__Hepatitis_E.csv
Orthonairovirus haemorrhagiae,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,Crimean-Congo hemorrhagic fever,exact_pair,1,Orthonairovirus haemorrhagiae,Nairoviridae,High,,,3052518,orthonairovirus haemorrhagiae,Pathogens,,,Orthonairovirus haemorrhagiae,,,,,Orthonairovirus haemorrhagiae,exact_candidate,exact_candidate,txid3052518[Organism:exp],"""Orthonairovirus haemorrhagiae""[Organism] OR ""orthonairovirus haemorrhagiae""[Organism]",,"""Orthonairovirus haemorrhagiae""[Organism] OR ""orthonairovirus haemorrhagiae""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthonairovirus haemorrhagiae""[Organism] OR ""orthonairovirus haemorrhagiae""[Organism]","(""Orthonairovirus haemorrhagiae""[Organism] OR ""orthonairovirus haemorrhagiae""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_020_Orthonairovirus_haemorrhagiae__Crimean_Congo_hemorrhagic_fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_020_Orthonairovirus_haemorrhagiae__Crimean_Congo_hemorrhagic_fever.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_020_Orthonairovirus_haemorrhagiae__Crimean_Congo_hemorrhagic_fever.csv
Alphainfluenzavirus influenzae,Influenza,Alphainfluenzavirus influenzae,Influenza,pathogen_only_fuzzy,8,Alphainfluenzavirus influenzae (H10N1); Alphainfluenzavirus influenzae (H1N1); Alphainfluenzavirus influenzae (H2N1); Alphainfluenzavirus influenzae (H3N1); Alphainfluenzavirus influenzae (H3N2); Alphainfluenzavirus influenzae (H5N1); Alphainfluenzavirus influenzae (H6N1); Alphainfluenzavirus influenzae (H7N1),Orthomyxoviridae,High,Influenza A,Alphainfluenzavirus influenzae,11320; 2955291,alphainfluenzavirus influenzae,msl39_viral_name,,,Alphainfluenzavirus influenzae,subtype_expansion,Alphainfluenzavirus influenzae (H10N1); Alphainfluenzavirus influenzae (H1N1); Alphainfluenzavirus influenzae (H2N1); Alphainfluenzavirus influenzae (H3N1); Alphainfluenzavirus influenzae (H3N2); Alphainfluenzavirus influenzae (H5N1); Alphainfluenzavirus influenzae (H6N1); Alphainfluenzavirus influenzae (H7N1),,fallback_only,Alphainfluenzavirus influenzae,disease_profile,influenza_subtype_expansion,txid11320[Organism:exp] OR txid2955291[Organism:exp],"""Influenza A virus""[Organism]",,"""Influenza A virus""[Organism]",FALSE,disease_broad_but_acceptable,Broad influenza network target will be executed as a subtype-specific union with fallback family rows.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,name_subtype,"""Influenza A virus""[Organism]","(""Influenza A virus""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_021_Alphainfluenzavirus_influenzae__Influenza,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_021_Alphainfluenzavirus_influenzae__Influenza.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_021_Alphainfluenzavirus_influenzae__Influenza.csv
Alphainfluenzavirus influenzae,,Alphainfluenzavirus influenzae,,pathogen_only_fuzzy,8,Alphainfluenzavirus influenzae (H10N1); Alphainfluenzavirus influenzae (H1N1); Alphainfluenzavirus influenzae (H2N1); Alphainfluenzavirus influenzae (H3N1); Alphainfluenzavirus influenzae (H3N2); Alphainfluenzavirus influenzae (H5N1); Alphainfluenzavirus influenzae (H6N1); Alphainfluenzavirus influenzae (H7N1),Orthomyxoviridae,High,Influenza A,Alphainfluenzavirus influenzae,11320; 2955291,alphainfluenzavirus influenzae,msl39_viral_name,,,Alphainfluenzavirus influenzae,subtype_expansion,Alphainfluenzavirus influenzae (H10N1); Alphainfluenzavirus influenzae (H1N1); Alphainfluenzavirus influenzae (H2N1); Alphainfluenzavirus influenzae (H3N1); Alphainfluenzavirus influenzae (H3N2); Alphainfluenzavirus influenzae (H5N1); Alphainfluenzavirus influenzae (H6N1); Alphainfluenzavirus influenzae (H7N1),,fallback_only,Alphainfluenzavirus influenzae,disease_profile,influenza_subtype_expansion,txid11320[Organism:exp] OR txid2955291[Organism:exp],"""Influenza A virus""[Organism]",,"""Influenza A virus""[Organism]",FALSE,disease_broad_but_acceptable,Broad influenza network target will be executed as a subtype-specific union with fallback family rows.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,name_subtype,"""Influenza A virus""[Organism]","(""Influenza A virus""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_022_Alphainfluenzavirus_influenzae__missing,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_022_Alphainfluenzavirus_influenzae__missing.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_022_Alphainfluenzavirus_influenzae__missing.csv
Henipavirus nipahense,Nipah virus disease,Henipavirus nipahense,Nipah virus disease,exact_pair,1,Henipavirus nipahense,Paramyxoviridae,High,Nipah virus,Henipavirus nipahense,3052225,henipavirus nipahense,Pathogens; msl39_viral_name,,,Henipavirus nipahense,,,,,Henipavirus nipahense,exact_candidate,exact_candidate,txid3052225[Organism:exp],"""Henipavirus nipahense""[Organism] OR ""Nipah virus""[Organism] OR ""henipavirus nipahense""[Organism]",,"""Henipavirus nipahense""[Organism] OR ""Nipah virus""[Organism] OR ""henipavirus nipahense""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Henipavirus nipahense""[Organism] OR ""Nipah virus""[Organism] OR ""henipavirus nipahense""[Organism]","(""Henipavirus nipahense""[Organism] OR ""Nipah virus""[Organism] OR ""henipavirus nipahense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_023_Henipavirus_nipahense__Nipah_virus_disease,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_023_Henipavirus_nipahense__Nipah_virus_disease.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_023_Henipavirus_nipahense__Nipah_virus_disease.csv
Orthobunyavirus oropoucheense,Oropouche fever,Orthobunyavirus oropoucheense,Oropouche fever,exact_pair,1,Orthobunyavirus oropoucheense,Peribunyaviridae,Low,Oropouche virus,Orthobunyavirus oropoucheense,3052429,orthobunyavirus oropoucheense,Pathogens; msl39_viral_name,,,Orthobunyavirus oropoucheense,,,,,Orthobunyavirus oropoucheense,exact_candidate,exact_candidate,txid3052429[Organism:exp],"""Orthobunyavirus oropoucheense""[Organism] OR ""Oropouche virus""[Organism] OR ""orthobunyavirus oropoucheense""[Organism]",,"""Orthobunyavirus oropoucheense""[Organism] OR ""Oropouche virus""[Organism] OR ""orthobunyavirus oropoucheense""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Orthobunyavirus oropoucheense""[Organism] OR ""Oropouche virus""[Organism] OR ""orthobunyavirus oropoucheense""[Organism]","(""Orthobunyavirus oropoucheense""[Organism] OR ""Oropouche virus""[Organism] OR ""orthobunyavirus oropoucheense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_024_Orthobunyavirus_oropoucheense__Oropouche_fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_024_Orthobunyavirus_oropoucheense__Oropouche_fever.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_024_Orthobunyavirus_oropoucheense__Oropouche_fever.csv
Phlebovirus riftense,Rift Valley fever,Phlebovirus riftense,Rift Valley fever,exact_pair,1,Phlebovirus riftense,Phenuiviridae,High,Rift Valley Fever virus,Phlebovirus riftense,3052676,phlebovirus riftense,Pathogens; msl39_viral_name,,,Phlebovirus riftense,,,,,Phlebovirus riftense,exact_candidate,exact_candidate,txid3052676[Organism:exp],"""Phlebovirus riftense""[Organism] OR ""phlebovirus riftense""[Organism]",,"""Phlebovirus riftense""[Organism] OR ""phlebovirus riftense""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Phlebovirus riftense""[Organism] OR ""phlebovirus riftense""[Organism]","(""Phlebovirus riftense""[Organism] OR ""phlebovirus riftense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_025_Phlebovirus_riftense__Rift_Valley_fever,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_025_Phlebovirus_riftense__Rift_Valley_fever.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_025_Phlebovirus_riftense__Rift_Valley_fever.csv
Bandavirus dabieense,Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,Severe fever with thrombocytopenia syndrome (SFTS),exact_pair,1,Bandavirus dabieense,Phenuiviridae,High,SFTS virus,Bandavirus dabieense,1933190; 2748958,bandavirus dabieense,Pathogens; msl39_viral_name,,,Bandavirus dabieense,,,,,Bandavirus dabieense,exact_candidate,exact_candidate,txid1933190[Organism:exp] OR txid2748958[Organism:exp],"""Bandavirus dabieense""[Organism] OR ""SFTS virus""[Organism] OR ""bandavirus dabieense""[Organism]",,"""Bandavirus dabieense""[Organism] OR ""SFTS virus""[Organism] OR ""bandavirus dabieense""[Organism]",FALSE,specific,Exact WHO/network target with narrow organism-level search terms.,nuccore,Virus or virus-like pathogen with VIRION/ICTV-style support; accession source qualifiers are a good first-pass geography source.,taxid,"""Bandavirus dabieense""[Organism] OR ""SFTS virus""[Organism] OR ""bandavirus dabieense""[Organism]","(""Bandavirus dabieense""[Organism] OR ""SFTS virus""[Organism] OR ""bandavirus dabieense""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",network_v2_026_Bandavirus_dabieense__Severe_fever_with_thrombocytopenia_syndrome_SFTS,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/search_logs/network_v2_026_Bandavirus_dabieense__Severe_fever_with_thrombocytopenia_syndrome_SFTS.csv,/Users/arturtrebski/Documents/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank/pathogen_runs/country_records/network_v2_026_Bandavirus_dabieense__Severe_fever_with_thrombocytopenia_syndrome_SFTS.csv
